stratum,n_genes,n_tasks,observed_mean_state_delta,bootstrap_draws,bootstrap_seed,bootstrap_ci95_lower,bootstrap_ci95_upper,permutation_draws,permutation_seed,permutation_p_one_sided,permutation_null_mean,permutation_null_std,permutation_null_sha256_float64
all_200,200,600,0.0010605309389236928,10000,2026071681,-0.0031803375705692421,0.0049744976819860844,100000,2026071682,0.4127658723412766,2.9840645664236851e-05,0.0046616567640104193,caa740e6a4f25414b7528ae1b9aaade6fa4ef4a76e29efd3082e859d4ce6b156
seen_160,160,480,0.0020449786857277921,10000,2026071681,-0.0010045638180924026,0.0055593082542936068,100000,2026071682,0.34980650193498064,2.5555068022318333e-05,0.0052127561582718633,f94ccc90df094a6f45c6a46ad7c24eb712cd64810a0881468b37e01acccf615d
