dataset_name,score_name,n,aligned_rho,partial_rho_control_magnitude,aurc,oracle_aurc,random_aurc,excess_aurc,aurc_reduction_vs_random_pct,avoidable_gap_captured_pct,excess_aurc_ci_low,excess_aurc_ci_high,reduction_ci_low,reduction_ci_high,n_task_clusters
McFarlandTsherniak2020,predicted_magnitude,2326,0.13737788626163236,-0.1224623161501657,1.3721879877417917,0.8074088133760674,1.5409755797887161,0.5647791743657243,10.953294410419335,23.009165596792776,0.5180322381703435,0.6177718781977578,7.634700115138607,14.134102138371144,1163
McFarlandTsherniak2020,protocol_v0_2_family_confidence,2326,-0.08593379956770722,-0.08075846923918731,1.7342855843573284,0.8074088133760674,1.5409755797887161,0.926876770981261,-12.544650746192687,-26.35206683557292,0.8489245838531972,1.0126477387009007,-16.81208939814059,-8.255909172442717,1304
McFarlandTsherniak2020,safeconf_perdataset_risk,2326,0.6444847170177889,0.37700276895424745,1.0096966319087508,0.8074088133760674,1.5409755797887161,0.2022878185326834,34.47679215999057,72.42407538145046,0.18174375193504466,0.22636315315009362,31.94801813062844,36.77714674574696,1163
McFarlandTsherniak2020,safeconf_lodo_risk,2326,0.2480945436934317,0.16222421159823458,1.3125042400731066,0.8074088133760674,1.5409755797887161,0.5050954266970392,14.82640884853836,31.145268594009472,0.45064539072889404,0.5625144918359907,10.71366923365146,18.73864224086333,1163
McFarlandTsherniak2020,safeconf_lodo_linear_risk,2326,0.2629271964583539,0.12117161174066174,1.3244251802694045,0.8074088133760674,1.5409755797887161,0.5170163668933371,14.052811891347622,29.520203127290657,0.4606362257877998,0.5757346324992101,10.037025487790885,18.12824878327851,1163
McFarlandTsherniak2020,oracle_magnitude_diagnostic,2326,0.7954459780613539,0.021157958859033207,0.9479745580621819,0.8074088133760674,1.5409755797887161,0.1405657446861145,38.482181645463896,80.83804349895495,0.12796885506018973,0.15452982977916158,36.120096364229184,40.59628271801109,1163
SantinhaPlatt2023,random,546,-0.0016418547824213422,0.024927869068999995,0.3705507263663291,0.21248746799938567,0.3793205071501403,0.1580632583669434,2.311971174376829,5.2566211275973,0.1365178349942869,0.18069818437307786,-2.2914141094793408,6.909728607531874,273
SantinhaPlatt2023,predicted_magnitude,546,0.3522916243141659,0.4686825398022501,0.33469963863016533,0.21248746799938567,0.3793205071501403,0.12221217063077966,11.76336835970575,26.745822498416764,0.09388070755165219,0.15071341188020743,6.188227233730492,17.605288858647338,273
SantinhaPlatt2023,protocol_v0_2_family_confidence,546,0.15240997985011642,0.15175501325829263,0.3454301568851313,0.21248746799938567,0.3793205071501403,0.13294268888574562,8.934489337164878,20.313932082952004,0.113663779004606,0.15395183823338757,4.406181279306173,12.976715492844654,459
SantinhaPlatt2023,safeconf_perdataset_risk,546,0.7718798653394227,0.5128245994584769,0.2495660322865654,0.21248746799938567,0.3793205071501403,0.03707856428717973,34.20708145690006,77.77504715137714,0.028591257580648986,0.04706206583151349,30.86964126958932,36.88319534610807,273
SantinhaPlatt2023,safeconf_lodo_risk,546,0.12816858223199107,0.2953304513545568,0.362860861141823,0.21248746799938567,0.3793205071501403,0.1503733931424373,4.339244965156178,9.865939080234568,0.12128595425414743,0.18088384249897327,-2.7193130834574015,10.385068629702928,273
SantinhaPlatt2023,safeconf_lodo_linear_risk,546,0.22161604056845824,0.26765851899036636,0.3534950215285917,0.21248746799938567,0.3793205071501403,0.14100755352920602,6.808354711844393,15.479838857465186,0.11183572427526434,0.17028132930130813,0.4546745218453829,12.950282411779897,273
SantinhaPlatt2023,oracle_magnitude_diagnostic,546,0.8398538819038709,-0.019473072845681342,0.2353667052070976,0.21248746799938567,0.3793205071501403,0.022879237207711928,37.95044012372993,86.28614732179179,0.018557255560035794,0.02696052000924251,34.43381755816998,40.97086874343244,273
SrivatsanTrapnell2020_sciplex3,random,1128,0.03174474708328674,0.034127961559754325,0.05689117557370758,0.03695714090213314,0.05814300430013103,0.019934034671574438,2.1530169303973024,5.908792589221325,0.016955921679707844,0.0230579007547255,-0.9968131154738583,5.572326604847533,564
SrivatsanTrapnell2020_sciplex3,predicted_magnitude,1128,0.5627128793807584,0.7732685216126838,0.04482266936183612,0.03695714090213314,0.05814300430013103,0.00786552845970298,22.909608986725324,62.87369406693008,0.006866528263058155,0.008895379247191436,19.48517477298116,26.1874490760916,564
SrivatsanTrapnell2020_sciplex3,protocol_v0_2_family_confidence,1128,0.42778139041020513,0.4268695150400821,0.047673975330501675,0.03695714090213314,0.05814300430013103,0.010716834428368537,18.005655358964244,49.415163181967365,0.009588094603065731,0.012109106449669354,15.455123572368432,20.46803364055393,541
SrivatsanTrapnell2020_sciplex3,safeconf_perdataset_risk,1128,0.7324616296650851,0.6549072456102468,0.041220253427036474,0.03695714090213314,0.05814300430013103,0.0042631125249033355,29.10539466749987,79.87756059398453,0.003468536298509557,0.005037759815225009,26.276538845342383,32.14472892806858,564
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_risk,1128,0.5008327161174106,0.5938325645724729,0.045873004539368094,0.03695714090213314,0.05814300430013103,0.008915863637234955,21.103140280515714,57.91597694301417,0.007656738069901755,0.010219038334940958,17.792805080079173,24.398303976418735,564
SrivatsanTrapnell2020_sciplex3,safeconf_lodo_linear_risk,1128,0.4514743456410969,0.47787914840627366,0.04601384086408024,0.03695714090213314,0.05814300430013103,0.0090566999619471,20.86091625647809,57.251211377096965,0.007891933526496293,0.010370505703494352,17.319391518521854,24.271371220385916,564
SrivatsanTrapnell2020_sciplex3,oracle_magnitude_diagnostic,1128,0.7403023289344335,0.11276697354645684,0.042132512661282484,0.03695714090213314,0.05814300430013103,0.005175371759149346,27.536402412581328,75.5715796806354,0.004296258825856015,0.006246547804615487,24.183489325465093,30.968649876208502,564
