dataset_name,score_name,n,aligned_rho,partial_rho_control_magnitude,aurc,oracle_aurc,random_aurc,excess_aurc,aurc_reduction_vs_random_pct,avoidable_gap_captured_pct,excess_aurc_ci_low,excess_aurc_ci_high,reduction_ci_low,reduction_ci_high,n_task_clusters
CuiHacohen2023,random,2506,-0.00027401052547369184,0.012070757094059775,0.20779708435625033,0.1114448448126939,0.21104441417229275,0.09635223954355643,1.5386949845502005,3.2603853981718665,0.08544835290569307,0.10826152362947111,-2.8567225835162606,5.5786205504534,1253
CuiHacohen2023,predicted_magnitude,2506,0.3915690388071376,0.1291620440598516,0.16496152737334766,0.1114448448126939,0.21104441417229275,0.053516682560653756,21.835634446749147,46.2681586830615,0.04718355919369203,0.060051995378976444,17.8501502056409,25.352365152517905,1253
CuiHacohen2023,protocol_v0_2_family_confidence,2506,0.44537588172141973,0.44524996087117735,0.1539464813488937,0.1114448448126939,0.21104441417229275,0.04250163653619979,27.054936775907922,57.32748965735993,0.03925000579221466,0.04559199276242778,24.040979388812303,29.58169157378619,1439
CuiHacohen2023,safeconf_perdataset_risk,2506,0.7567952342011334,0.5396453504564223,0.13048138476085233,0.1114448448126939,0.21104441417229275,0.019036539948158432,38.17349524620455,80.88692544500063,0.017245786614775944,0.020946363787182867,35.16019495392892,41.1746836974501,1253
CuiHacohen2023,safeconf_lodo_risk,2506,0.37471842201357575,0.23920356394615344,0.16920424727922045,0.1114448448126939,0.21104441417229275,0.057759402466526555,19.825289883727866,42.008381323427855,0.05044765691490151,0.06645796325928403,15.351008570409613,23.75462893603248,1253
CuiHacohen2023,safeconf_lodo_linear_risk,2506,0.3667499038210165,0.20286445266813352,0.16581063768837245,0.1114448448126939,0.21104441417229275,0.054365792875678554,21.433297185962136,45.4156346003929,0.04799229108496583,0.06168089236210374,17.174376167407335,25.1459439244489,1253
CuiHacohen2023,oracle_magnitude_diagnostic,2506,0.7358455041044433,0.009115707609357095,0.12876670753066127,0.1114448448126939,0.21104441417229275,0.017321862717967373,38.98596746297274,82.60849637268237,0.015464342666521053,0.019429691035046066,35.69900403726013,42.06191428396575,1253
Frangieh,random,1266,0.011015133397918826,-0.00012012345192891615,0.05617840278424051,0.04510401932543111,0.056114424976423286,0.0110743834588094,-0.11401312201649248,-0.5810667639793763,0.009653609787780917,0.012566155516492206,-1.9966535727506818,1.635690575596816,633
Frangieh,predicted_magnitude,1266,0.8593654059623044,0.9001781561498481,0.046443595276597034,0.04510401932543111,0.056114424976423286,0.0013395759511659264,17.234124209398015,87.83354588715618,0.001202975990482096,0.0014768360382986304,15.574379166682858,18.872951311410073,633
Frangieh,protocol_v0_2_family_confidence,1266,0.582722177199959,0.4738196230565,0.04934397738081596,0.04510401932543111,0.056114424976423286,0.0042399580553848515,12.06543165763876,61.49135472585628,0.0034814812455188156,0.005126510491929302,10.285771131967667,13.800479845139046,633
Frangieh,safeconf_perdataset_risk,1266,0.6927574276090832,0.42353265447843386,0.04743133143111676,0.04510401932543111,0.056114424976423286,0.0023273121056856527,15.47390630654197,78.8626125189499,0.0022149436416850324,0.0024417966752710205,13.751815511788024,17.225416445144017,633
Frangieh,safeconf_lodo_risk,1266,0.5407186872605064,0.20618786351278062,0.04842011598878373,0.04510401932543111,0.056114424976423286,0.0033160966633526204,13.711820072775144,69.88215722048535,0.0029836584003461,0.003667483621312523,11.965247509133004,15.426040458972937,633
Frangieh,safeconf_lodo_linear_risk,1266,0.4223899342414244,-0.17783110686092726,0.049297760086986255,0.04510401932543111,0.056114424976423286,0.004193740761555147,12.147794247737693,61.91111486271864,0.0038663047440082405,0.004551155963348102,10.196690343746798,13.959666876500673,633
Frangieh,oracle_magnitude_diagnostic,1266,0.79733365483015,0.02529238049216522,0.04670256509350064,0.04510401932543111,0.056114424976423286,0.0015985457680695314,16.772621098544768,85.48149978538274,0.0014111208851340538,0.0018191936808562685,14.939802740068703,18.567911976962574,633
LaraAstiasoHuntly2023_exvivo,random,646,-0.004890240939896284,0.007144060146349218,1.3043100067859184,0.3714294079460947,1.2617233380740374,0.9328805988398237,-3.375277878024162,-4.78343918460288,0.6618222792912333,1.219997394115411,-14.3662307160335,8.0094406731364,323
LaraAstiasoHuntly2023_exvivo,predicted_magnitude,646,0.4573124540196879,0.521608734960635,1.0833325499063629,0.3714294079460947,1.2617233380740374,0.7119031419602682,14.138661209198194,20.037291295700317,0.47623628788262723,0.9479830121255595,3.9857263983370483,24.37075608752916,323
LaraAstiasoHuntly2023_exvivo,protocol_v0_2_family_confidence,646,0.5631508494546714,0.5648929477813909,0.5340876669792122,0.3714294079460947,1.2617233380740374,0.16265825903311748,57.669985894493124,81.72982500175621,0.14492364491559567,0.18147751638943393,53.56799189979159,61.209971255404255,369
LaraAstiasoHuntly2023_exvivo,safeconf_perdataset_risk,646,0.8331101351089847,0.7870014526349167,0.4430703966941242,0.3714294079460947,1.2617233380740374,0.07164098874802949,64.88371235405293,91.95310825743425,0.057342760332330274,0.08918552591509715,60.47445758310962,68.15574308928333,323
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,646,0.45193491732373575,0.4878451603550968,0.825600212942588,0.3714294079460947,1.2617233380740374,0.4541708049964933,34.56566998254714,48.98642014427469,0.3269019256629417,0.5938219271427825,28.80549124675613,39.80942953364434,323
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_linear_risk,646,0.3225744011667691,0.421668549373767,1.120511511913006,0.3714294079460947,1.2617233380740374,0.7490821039669113,11.191980198811628,15.86125900473544,0.5235115932614053,0.9906837724007375,2.114925964930937,20.106410794400876,323
LaraAstiasoHuntly2023_exvivo,oracle_magnitude_diagnostic,646,0.4860059157508023,-0.035959536858428676,0.6355827161563743,0.3714294079460947,1.2617233380740374,0.2641533082102796,49.62582548987625,70.32965189683831,0.21057430857136886,0.331097726386597,40.09765871268959,57.0698150368507,323
LaraAstiasoHuntly2023_invivo,random,750,-0.0024896755726097368,-0.04371738301537913,4.9258251531389625,1.4947340360522943,5.023519915923288,3.4310911170866683,1.9447471975707218,2.768509229806167,2.775146918558191,4.172381844837119,-8.013252194838199,11.689968630750572,375
LaraAstiasoHuntly2023_invivo,predicted_magnitude,750,0.6208705499039938,0.5739310151105212,3.302890234992349,1.4947340360522943,5.023519915923288,1.8081561989400545,34.25147525496969,48.75982106893497,1.307136676327804,2.3998798381882653,26.0163842761681,42.02987935364603,375
LaraAstiasoHuntly2023_invivo,protocol_v0_2_family_confidence,750,0.3941619423269889,0.39427579048423067,3.5140105578727745,1.4947340360522943,5.023519915923288,2.0192765218204802,30.048837932656546,42.777017632639655,1.6255559399448702,2.483988370835413,22.964601952706282,36.695549756336426,532
LaraAstiasoHuntly2023_invivo,safeconf_perdataset_risk,750,0.8430634478466351,0.7426777504773554,1.8899817751002799,1.4947340360522943,5.023519915923288,0.3952477390479856,62.37734085397939,88.79932779989375,0.31636343580628323,0.4884268561194994,59.719964632758916,64.8861529872377,375
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,750,0.4210436345089804,0.4067195370977943,3.78388697967746,1.4947340360522943,5.023519915923288,2.2891529436251656,24.67658050516541,35.12916278987001,1.665511400814159,3.0947102548245957,12.157861413924836,34.36256476205579,375
LaraAstiasoHuntly2023_invivo,safeconf_lodo_linear_risk,750,0.35456800249697157,0.4046072460565718,4.437571049948823,1.4947340360522943,5.023519915923288,2.9428370138965287,11.664109544328769,16.604829137320344,2.1722085261120134,3.840361673878847,-0.5805856233885386,23.180814999219553,375
LaraAstiasoHuntly2023_invivo,oracle_magnitude_diagnostic,750,0.6342139281951766,0.10730773447502888,2.277214515708585,1.4947340360522943,5.023519915923288,0.7824804796562908,54.668946200643276,77.82578750046186,0.6648414456621116,0.9148277059623591,49.5229083775942,58.83823247870917,375
McFarlandTsherniak2020,random,2326,-0.00794768662394335,-0.007132005429539874,1.577353511344367,0.8074088133760674,1.5409755797887161,0.7699446979682997,-2.360707854996556,-4.959048476739129,0.6879820206210019,0.862398985501648,-6.105310013768595,1.0801498743619373,1163
