dataset_name,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
CuiHacohen2023,safeconf_lodo_risk,0,627,3.0313572089935006,8.121865642413434,0.3885929823367247
CuiHacohen2023,safeconf_lodo_risk,1,626,8.121865642413434,12.03896728910352,0.39268965547950213
CuiHacohen2023,safeconf_lodo_risk,2,626,12.03896728910352,18.796838230766504,0.09871914818723317
CuiHacohen2023,safeconf_lodo_risk,3,627,18.796838230766504,279.19103405993167,0.038395331037245524
Frangieh,safeconf_lodo_risk,0,317,2.105267365542812,2.5118209089653085,0.05597869599044164
Frangieh,safeconf_lodo_risk,1,316,2.5118209089653085,2.8305064096909414,0.10104487247167455
Frangieh,safeconf_lodo_risk,2,316,2.8305064096909414,3.267514061452535,0.22548997146026212
Frangieh,safeconf_lodo_risk,3,317,3.267514061452535,8.537299169273812,0.4415111078524076
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,0,162,11.016681954538228,22.184783691477993,0.5985223551998734
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,1,161,22.241372641125793,33.16148887182573,0.5144284236460551
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,2,161,33.16148887182573,49.8802726816134,0.5210583751132243
LaraAstiasoHuntly2023_exvivo,safeconf_lodo_risk,3,162,49.884182010348724,1409.850861545876,0.01816923184400373
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,0,188,15.998204475816111,68.54156772149231,0.4260831324900397
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,1,187,68.61144124931188,111.62439139329511,0.5731640905115334
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,2,187,111.62439139329511,265.1676260719824,0.5220295219562588
LaraAstiasoHuntly2023_invivo,safeconf_lodo_risk,3,188,268.1715552716967,3331.6815776035787,-0.0007576236443643033
McFarlandTsherniak2020,safeconf_lodo_risk,0,582,7.750976658324057,60.715279610983806,0.4124401349868941
McFarlandTsherniak2020,safeconf_lodo_risk,1,581,60.71981599887744,100.33188903238062,0.07243258258706886
McFarlandTsherniak2020,safeconf_lodo_risk,2,581,100.33188903238062,164.65038063407488,0.109179432928416
McFarlandTsherniak2020,safeconf_lodo_risk,3,582,164.99452356022024,1590.562080487464,0.02186405954143582
SantinhaPlatt2023,safeconf_lodo_risk,0,137,4.237872360195846,10.491215657110573,0.5914109599146686
SantinhaPlatt2023,safeconf_lodo_risk,1,136,10.491215657110573,15.209640226184646,0.3366367100669924
SantinhaPlatt2023,safeconf_lodo_risk,2,136,15.209640226184646,28.41949331787328,0.28834639734309025
