source_dataset,target_dataset,target_error,observed_spearman_delta_combined_minus_magnitude,bootstrap_delta_mean,bootstrap_delta_ci95_low,bootstrap_delta_ci95_high,combined_reliably_better_than_magnitude
Adamson,Norman,gears_ensemble_rmse,1.0852173913043477,1.0641868406937447,0.48888564147822133,1.5979370476417718,True
Adamson,Norman,scgpt_finetuned_rmse,0.014782608695652177,0.013420820952410168,-0.11615847388592875,0.1667522677531799,False
Adamson,Norman,task_mean_rmse,0.11304347826086952,0.11457807581542627,-0.026302275941091476,0.2890877346137051,False
Adamson,Norman,task_max_rmse,0.13913043478260861,0.13821690967444852,-0.06147502427978321,0.3768855287305796,False
Norman,Adamson,gears_ensemble_rmse,0.2591304347826087,0.2401884972721932,-0.39250097082665897,0.812662102503966,False
Norman,Adamson,scgpt_finetuned_rmse,0.18608695652173907,0.18035009510100353,-0.028922632501499214,0.47290726736097316,False
Norman,Adamson,task_mean_rmse,0.1869565217391304,0.1806710934781581,-0.048980019980020044,0.48338971596196034,False
Norman,Adamson,task_max_rmse,0.22086956521739132,0.2149266492509047,-0.1708512430308616,0.6783224444267388,False
