source_dataset,target_dataset,target_error,risk_model,features,selected_alpha_source_loo,source_loo_mae,target_spearman,target_mae,top20_k,top20_error_enrichment,target_truth_used_for_fit_or_standardization,source_feature_mean,source_feature_std,coefficients,intercept
Adamson,Norman,gears_ensemble_rmse,magnitude,risk_gears_predicted_magnitude,100.0,0.05042990328355542,-0.37739130434782603,0.02710028010122248,5,1.1000064443135318,False,[0.9534202391902605],[0.28639887643164263],[-0.00017104543826049705],0.100131818269817
Adamson,Norman,gears_ensemble_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_gears_scgpt_disagreement,100.0,0.05014173055571678,0.7078260869565216,0.022402051380129972,5,1.283876335089138,False,"[0.9534202391902605, 0.07887286653322684]","[0.28639887643164263, 0.013034318150435186]","[5.609410947011277e-05, 0.0033954107226904593]",0.100131818269817
Adamson,Norman,scgpt_finetuned_rmse,magnitude,risk_scgpt_predicted_magnitude,100.0,0.040982813510807736,0.33999999999999997,0.0368766083215805,5,1.1394585687073768,False,[1.9062169392903645],[0.3883184082384241],[0.0037554519506307373],0.11505550840568807
Adamson,Norman,scgpt_finetuned_rmse,magnitude_plus_disagreement,risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,100.0,0.04078921720217901,0.35478260869565215,0.039395838146128494,5,1.1394585687073764,False,"[1.9062169392903645, 0.07887286653322684]","[0.3883184082384241, 0.013034318150435186]","[0.003103471906178354, 0.004375887268018883]",0.11505550840568807
Adamson,Norman,task_mean_rmse,magnitude,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude,100.0,0.045836002762142745,0.4339130434782608,0.023866088636349623,5,1.1907772559621703,False,"[0.9534202391902605, 1.9062169392903645]","[0.28639887643164263, 0.3883184082384241]","[-0.0006540750011047718, 0.003343535009713933]",0.10759366333775251
Adamson,Norman,task_mean_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,100.0,0.04571125708801083,0.5469565217391303,0.023494605604181467,5,1.1907772559621703,False,"[0.9534202391902605, 1.9062169392903645, 0.07887286653322684]","[0.28639887643164263, 0.3883184082384241, 0.013034318150435186]","[-0.000393885122026258, 0.0027894796676724743, 0.0036730072700193335]",0.10759366333775251
Adamson,Norman,task_max_rmse,magnitude,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude,100.0,0.04461936725257557,0.40347826086956523,0.02968635919260763,5,1.131609261253604,False,"[0.9534202391902605, 1.9062169392903645]","[0.28639887643164263, 0.3883184082384241]","[-0.001179780945218123, 0.004030749792034379]",0.1187778034216892
Adamson,Norman,task_max_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,100.0,0.04436008338881705,0.5426086956521738,0.028831363480759948,5,1.4564667712438646,False,"[0.9534202391902605, 1.9062169392903645, 0.07887286653322684]","[0.28639887643164263, 0.3883184082384241, 0.013034318150435186]","[-0.0008599084065199419, 0.0033496045858266805, 0.004515525985403255]",0.1187778034216892
Norman,Adamson,gears_ensemble_rmse,magnitude,risk_gears_predicted_magnitude,100.0,0.026665252641158654,0.07565217391304348,0.05148314480115614,5,0.9369276691609554,False,[2.850284144282341],[1.0456125136218721],[0.001794372524191546],0.11199510557036962
Norman,Adamson,gears_ensemble_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_gears_scgpt_disagreement,10.0,0.02235553886131895,0.3347826086956522,0.04451380486491366,5,1.377177588224566,False,"[2.850284144282341, 0.10210713130167874]","[1.0456125136218721, 0.023601454099537417]","[-0.00023190267931019797, 0.018509649027577204]",0.11199510557036964
Norman,Adamson,scgpt_finetuned_rmse,magnitude,risk_scgpt_predicted_magnitude,10.0,0.026443069844934827,0.37130434782608696,0.03919318689793813,5,1.2294211032305373,False,[3.4001679519812265],[1.2455123011219673],[0.009847816886645476],0.10391293285944449
Norman,Adamson,scgpt_finetuned_rmse,magnitude_plus_disagreement,risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,100.0,0.02677663850269137,0.557391304347826,0.038173424772290736,5,1.452841369576231,False,"[3.4001679519812265, 0.10210713130167874]","[1.2455123011219673, 0.023601454099537417]","[0.0024548467422549477, 0.0020096626087661314]",0.10391293285944449
Norman,Adamson,task_mean_rmse,magnitude,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude,10.0,0.024358025758603866,0.2843478260869565,0.04039743620771808,5,1.1464075507145062,False,"[2.850284144282341, 3.4001679519812265]","[1.0456125136218721, 1.2455123011219673]","[-8.103375040065125e-05, 0.008770339572144162]",0.10795401921490706
Norman,Adamson,task_mean_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,10.0,0.020593384558871764,0.47130434782608693,0.03927998958321268,5,1.4176331994624911,False,"[2.850284144282341, 3.4001679519812265, 0.10210713130167874]","[1.0456125136218721, 1.2455123011219673, 0.023601454099537417]","[-0.002580199217468528, 0.004421665024230268, 0.012399318653875347]",0.10795401921490706
Norman,Adamson,task_max_rmse,magnitude,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude,100.0,0.03092234286459378,0.368695652173913,0.04122135158772916,5,1.1208372402214621,False,"[2.850284144282341, 3.4001679519812265]","[1.0456125136218721, 1.2455123011219673]","[0.0013823185370711003, 0.0029777945619789852]",0.12157108505410609
Norman,Adamson,task_max_rmse,magnitude_plus_disagreement,risk_gears_predicted_magnitude;risk_scgpt_predicted_magnitude;risk_gears_scgpt_disagreement,1.0,0.025090347019942078,0.5895652173913043,0.03707265085384113,5,1.4807315682050992,False,"[2.850284144282341, 3.4001679519812265, 0.10210713130167874]","[1.0456125136218721, 1.2455123011219673, 0.023601454099537417]","[-0.0074346181199387625, 0.0031341755606201396, 0.02850348490872807]",0.1215710850541061
