source_dataset,target_dataset,target_error,risk_model,reject_fraction,n_kept,kept_mean_error,kept_vs_all_error_ratio
Adamson,Norman,gears_ensemble_rmse,magnitude,0.0,24,0.11199510557036962,1.0
Adamson,Norman,gears_ensemble_rmse,magnitude,0.1,21,0.10875147747427077,0.9710377691991121
Adamson,Norman,gears_ensemble_rmse,magnitude,0.2,19,0.10904767602073508,0.9736825146543338
Adamson,Norman,gears_ensemble_rmse,magnitude,0.3,16,0.11359968023243514,1.0143271855845282
Adamson,Norman,gears_ensemble_rmse,magnitude_plus_disagreement,0.0,24,0.11199510557036964,1.0000000000000002
Adamson,Norman,gears_ensemble_rmse,magnitude_plus_disagreement,0.1,21,0.10721445944849593,0.9573137942276426
Adamson,Norman,gears_ensemble_rmse,magnitude_plus_disagreement,0.2,19,0.10362858975004394,0.9252957012923322
Adamson,Norman,gears_ensemble_rmse,magnitude_plus_disagreement,0.3,16,0.09447357300176024,0.8435509080564229
Adamson,Norman,scgpt_finetuned_rmse,magnitude,0.0,24,0.10391293285944447,0.9999999999999999
Adamson,Norman,scgpt_finetuned_rmse,magnitude,0.1,21,0.0988434820975558,0.9512144386421488
Adamson,Norman,scgpt_finetuned_rmse,magnitude,0.2,19,0.10009936736292768,0.9633003766559535
Adamson,Norman,scgpt_finetuned_rmse,magnitude,0.3,16,0.0958321194323126,0.9222347670808
Adamson,Norman,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.0,24,0.10391293285944447,0.9999999999999999
Adamson,Norman,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.1,21,0.0984532870823765,0.9474594198543808
Adamson,Norman,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.2,19,0.1000993673629277,0.9633003766559537
Adamson,Norman,scgpt_finetuned_rmse,magnitude_plus_disagreement,0.3,16,0.09648417115955076,0.928509748541675
Adamson,Norman,task_mean_rmse,magnitude,0.0,24,0.10795401921490706,1.0
Adamson,Norman,task_mean_rmse,magnitude,0.1,21,0.10470912401070769,0.9699418768490715
Adamson,Norman,task_mean_rmse,magnitude,0.2,19,0.10253423722651038,0.9497954589573235
Adamson,Norman,task_mean_rmse,magnitude,0.3,16,0.09973166958464892,0.9238347058307326
Adamson,Norman,task_mean_rmse,magnitude_plus_disagreement,0.0,24,0.10795401921490706,1.0
Adamson,Norman,task_mean_rmse,magnitude_plus_disagreement,0.1,21,0.10224560003770926,0.9471217540698147
Adamson,Norman,task_mean_rmse,magnitude_plus_disagreement,0.2,19,0.10253423722651038,0.9497954589573235
Adamson,Norman,task_mean_rmse,magnitude_plus_disagreement,0.3,16,0.09341716882385531,0.8653422031271217
Adamson,Norman,task_max_rmse,magnitude,0.0,24,0.12157108505410608,0.9999999999999999
Adamson,Norman,task_max_rmse,magnitude,0.1,21,0.11708443683424005,0.9630944462010089
