perturbation,mse,pearson,mse_de,pearson_de
AMIGO3+ctrl,0.000962770136538893,0.9978296514347903,0.00751871895045042,0.9990862382382479
ASCC3+ctrl,0.0029832348227500916,0.9930954092649874,0.2470962256193161,0.9840769232932942
CAD+ctrl,0.006239407695829868,0.9855489131856418,0.40851029753685,0.9417809567443814
COPB1+ctrl,0.0022169698495417833,0.9948469532553434,0.020199419930577278,0.9978658564410998
DDOST+ctrl,0.0014059311943128705,0.9967647357020997,0.07885777205228806,0.9857398681767201
DDRGK1+ctrl,0.0009551788680255413,0.9978802668572355,0.025416996330022812,0.9866237029170333
GMPPB+ctrl,0.0008529555634595454,0.9980689171645257,0.005123324226588011,0.9979332371060265
HSD17B12+ctrl,0.001968833850696683,0.9954140532591782,0.10611984878778458,0.9767112198453882
HSPA5+ctrl,0.007128950674086809,0.9838015688399161,0.9509609937667847,0.8285717045508393
MRGBP+ctrl,0.0019882803317159414,0.995593108922697,0.0824691504240036,0.9943041222296429
MTHFD1+ctrl,0.004749333020299673,0.9892249410649564,0.1908540427684784,0.9603680028304904
P4HB+ctrl,0.001006504986435175,0.9976796082353134,0.03415009379386902,0.9938025597947049
PPWD1+ctrl,0.0035124828573316336,0.9917578097845311,0.07760097086429596,0.9749339219332408
SCYL1+ctrl,0.001451816875487566,0.9966411022269803,0.11340785026550293,0.9765599792074279
SEC61A1+ctrl,0.005290829110890627,0.9877578433663428,0.23205943405628204,0.9402296774557202
SEC61B+ctrl,0.0010543310781940818,0.9975754797601486,0.11317412555217743,0.8435804886007353
SOCS1+ctrl,0.0013166498392820358,0.997026225368479,0.11433887481689453,0.95015144677358
SPCS2+ctrl,0.0020037638023495674,0.9954541502189063,0.06951671093702316,0.9579649270069416
SRP72+ctrl,0.001196828787215054,0.9972541762345831,0.0732496976852417,0.9704169509290133
SRPRB+ctrl,0.002126367064192891,0.9952684132370669,0.12645530700683594,0.9821472567681909
TMED10+ctrl,0.0008888265583664179,0.997959366954194,0.03840482980012894,0.9864657494355309
TMED2+ctrl,0.0011439138324931264,0.9973843468194693,0.07086701691150665,0.9570580663096747
TTI2+ctrl,0.0009888106724247336,0.9977545738485879,0.00874438975006342,0.9948377573688981
UFM1+ctrl,0.000772755010984838,0.9982492203071783,0.022157948464155197,0.9903124331215925
