manifest_id,quadrant,score_name,coverage,retained_mean_error,normalized_retained_error,n_retained
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.5,0.37146759192858425,0.9542261667813152,14
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.55,0.3752886834554374,0.9640417889239076,16
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.6,0.3762895180022015,0.9666127332913091,17
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.65,0.37715810105988856,0.9688439499564422,19
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.7,0.37824694253504276,0.9716409665728168,20
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.75,0.3795602218735786,0.9750145193035354,21
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.8,0.38188973166372464,0.980998565411003,23
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.85,0.38416585978120565,0.9868454846465972,24
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.9,0.38724429418261236,0.9947533687322345,26
E81_r1_p25,new_context_new_perturbation,model_disagreement,0.95,0.38797012330205355,0.9966178789975493,27
E81_r1_p25,new_context_new_perturbation,model_disagreement,1.0,0.3892867381551436,1.0,28
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.5,0.37696485061730656,0.9683475281068363,14
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.55,0.37686064140871167,0.9680798354310244,16
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.6,0.3762895180022015,0.9666127332913091,17
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.65,0.37715810105988856,0.9688439499564422,19
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.7,0.37824694253504276,0.9716409665728168,20
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.75,0.3795602218735786,0.9750145193035354,21
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.8,0.38188973166372464,0.980998565411003,23
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.85,0.38416585978120565,0.9868454846465972,24
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.9,0.38724429418261236,0.9947533687322345,26
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,0.95,0.38797012330205355,0.9966178789975493,27
E81_r1_p25,new_context_new_perturbation,predicted_magnitude,1.0,0.3892867381551436,1.0,28
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.5,0.3216344891116023,0.9222452114012392,4
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.55,0.32600362971425056,0.934773155807515,5
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.6,0.32600362971425056,0.934773155807515,5
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.65,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.7,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.75,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.8,0.33860193246177267,0.9708971561060458,7
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.85,0.33860193246177267,0.9708971561060458,7
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.9,0.3487515957094729,1.0,8
E81_r1_p25,new_context_seen_perturbation,model_disagreement,0.95,0.3487515957094729,1.0,8
E81_r1_p25,new_context_seen_perturbation,model_disagreement,1.0,0.3487515957094729,1.0,8
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.5,0.3194066369906068,0.9158571341898264,4
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.55,0.32600362971425056,0.934773155807515,5
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.6,0.32600362971425056,0.934773155807515,5
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.65,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.7,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.75,0.3292543621112903,0.9440942096378973,6
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.8,0.33860193246177267,0.9708971561060458,7
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.85,0.33860193246177267,0.9708971561060458,7
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.9,0.3487515957094729,1.0,8
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,0.95,0.3487515957094729,1.0,8
E81_r1_p25,new_context_seen_perturbation,predicted_magnitude,1.0,0.3487515957094729,1.0,8
E81_r1_p25,seen_context_new_perturbation,model_disagreement,0.5,0.2654729147370045,0.9516847714177787,26
E81_r1_p25,seen_context_new_perturbation,model_disagreement,0.55,0.2664764158684632,0.9552821882987281,29
E81_r1_p25,seen_context_new_perturbation,model_disagreement,0.6,0.26623357015271343,0.954411618998986,31
