quadrant,metric,n_manifests,model_disagreement_mean,predicted_magnitude_mean,favorable_delta_definition,favorable_delta_mean,favorable_delta_bootstrap_ci95_low,favorable_delta_bootstrap_ci95_high,manifests_where_disagreement_better
new_context_new_perturbation,top20_error_enrichment,8,1.171163542262692,1.1736883474637652,disagreement_minus_magnitude,-0.002524805201073177,-0.014847309502737854,0.00631355371450773,2
new_context_new_perturbation,reject20_remaining_error_reduction,8,0.05156271185089119,0.05216416752044001,disagreement_minus_magnitude,-0.0006014556695488199,-0.0037118273756844428,0.0014352702765214886,3
new_context_new_perturbation,normalized_aurc_50_100,8,0.953294797614585,0.9532303609729738,magnitude_minus_disagreement,-6.443664161119578e-05,-0.0018721459789967365,0.0010942043073522284,6
new_context_seen_perturbation,top20_error_enrichment,8,1.1959694402384067,1.2179383148067682,disagreement_minus_magnitude,-0.021968874568361663,-0.056337130801194374,0.0007725355817531088,1
new_context_seen_perturbation,reject20_remaining_error_reduction,8,0.05947561800751518,0.06539553560491677,disagreement_minus_magnitude,-0.005919917597401597,-0.014531295045153658,0.00023176067452596039,1
new_context_seen_perturbation,normalized_aurc_50_100,8,0.9448029819236838,0.9419529544742409,magnitude_minus_disagreement,-0.0028500274494430017,-0.005920852573003828,-0.0007467864498475203,1
seen_context_new_perturbation,top20_error_enrichment,8,1.1122815062172513,1.1534694187841916,disagreement_minus_magnitude,-0.04118791256694024,-0.10284089574794877,0.021226281761623944,3
seen_context_new_perturbation,reject20_remaining_error_reduction,8,0.030165749011390214,0.04221266033281468,disagreement_minus_magnitude,-0.012046911321424464,-0.029124054781576092,0.005080798837341957,3
seen_context_new_perturbation,normalized_aurc_50_100,8,0.9682307871559707,0.9527134738048526,magnitude_minus_disagreement,-0.01551731335111807,-0.03021804461771425,-0.004646337864348319,2
seen_context_seen_perturbation_pair_holdout,top20_error_enrichment,8,1.1427782175303751,1.1439365074828007,disagreement_minus_magnitude,-0.0011582899524256451,-0.016197406763109157,0.012722536905832221,1
seen_context_seen_perturbation_pair_holdout,reject20_remaining_error_reduction,8,0.06056366759397766,0.06117472822760718,disagreement_minus_magnitude,-0.0006110606336295205,-0.006074027536165955,0.004240845635277393,1
seen_context_seen_perturbation_pair_holdout,normalized_aurc_50_100,8,0.9627796788895447,0.9642087043706478,magnitude_minus_disagreement,0.0014290254811030745,-0.0016255383158376158,0.004801037395976288,4
