check,observed,required,gate_passed
test_tasks,48,48,True
baselines,4,4,True
selected_genes,2023,2023,True
pca_coordinates,10,10,True
control_prior_recomputed_max_abs_delta,2.1542018315834355e-06,<=5e-6,True
control_effect_max_abs,0.0,0.0,True
additive_minus_2x_matching_effect_max_abs,0.0,0.0,True
matching_post_minus_single_mean_max_abs,4.440892098500626e-16,<=1e-12,True
additive_rms_minus_2x_matching_rms_max_abs,0.0,<=1e-12,True
matching_unique_post_vectors,48,>=24,True
additive_unique_post_vectors,48,>=24,True
hash_random_unique_values,48,>=24,True
train_X_rows_indexed,11779,11779,True
validation_X_rows_indexed,0,0,True
test_X_rows_indexed,0,0,True
raw_file_opened,False,False,True
test_truth_or_error_used,False,False,True
