test_index,condition,gene_a,gene_b,score_name,raw_value,analysis_score,raw_orientation,analysis_orientation,estimability_before_truth,direction_frozen_before_E163
4,DOT1L+RCOR1,DOT1L,RCOR1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
5,DOT1L+RING1,DOT1L,RING1,min_single_cell_count_confidence,83,4.4308167988433134,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,min_train_pair_degree_confidence,3,1.3862943611198906,higher_train_pair_degree,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,matching_se_pca10_confidence,0.23388908288267987,-0.23388908288267987,higher_uncertainty,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,matching_se_gene_confidence,0.033537929803859105,-0.033537929803859105,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
5,DOT1L+RING1,DOT1L,RING1,matching_magnitude_confidence,0.040894712516141164,-0.040894712516141164,higher_effect_size,higher_expected_accuracy,estimable,True
5,DOT1L+RING1,DOT1L,RING1,hash_random_confidence,0.96603516309434223,0.96603516309434223,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
5,DOT1L+RING1,DOT1L,RING1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
5,DOT1L+RING1,DOT1L,RING1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,min_single_cell_count_confidence,76,4.3438054218536841,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,matching_se_pca10_confidence,0.23319977292770797,-0.23319977292770797,higher_uncertainty,higher_expected_accuracy,estimable,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,matching_se_gene_confidence,0.0343166160875309,-0.0343166160875309,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,matching_magnitude_confidence,0.059724855602439349,-0.059724855602439349,higher_effect_size,higher_expected_accuracy,estimable,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,hash_random_confidence,0.26886235642985085,0.26886235642985085,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
6,DOT1L+SMARCD1,DOT1L,SMARCD1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
7,EP300+IKZF1,EP300,IKZF1,min_single_cell_count_confidence,45,3.8286413964890951,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
