seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.022346881932268539,129,,
3407,GEARS,18,0.021581529950102169,,1432,4788
3408,scGPT,8,0.022343020917226872,129,,
3408,GEARS,23,0.021562505699694156,,1432,4788
3409,scGPT,4,0.022352110221982004,129,,
3409,GEARS,14,0.021573134263356528,,1432,4788
