seed,model,epoch,train_mse,validation_mse
3407,scGPT,1,0.22897638808159779,0.023960724286735059
3407,scGPT,2,0.010616897527749339,0.022346881932268539
3407,scGPT,3,0.010439944965764881,0.022582485278447469
3407,scGPT,4,0.010801130059796075,0.022371983838578066
3407,scGPT,5,0.010433435145144661,0.022350092139095067
3407,GEARS,1,0.012713494376900296,0.022088167505959669
3407,GEARS,2,0.010225983258957664,0.021856509956220786
3407,GEARS,3,0.0099879352608695619,0.021882327087223531
3407,GEARS,4,0.0098126171932866168,0.022043233333776394
3407,GEARS,5,0.0097534459860374526,0.022028231341391803
3407,GEARS,6,0.0095938955511276919,0.02181335591400663
3407,GEARS,7,0.0094953743042424325,0.021894269840170941
3407,GEARS,8,0.0094378076959401366,0.021901367604732512
3407,GEARS,9,0.0093881786412869893,0.021639530578007302
3407,GEARS,10,0.0092677194237088169,0.021809833838293949
3407,GEARS,11,0.0091894706090291343,0.021645479835569859
3407,GEARS,12,0.0091168483408788845,0.021614108482996622
3407,GEARS,13,0.00904065864160657,0.021719341414670149
3407,GEARS,14,0.0089824443527807794,0.021783828083425761
3407,GEARS,15,0.0089352290844544775,0.021631435863673686
3407,GEARS,16,0.0089168588320414233,0.021789907881369194
3407,GEARS,17,0.008815568770902853,0.021713341306895017
3407,GEARS,18,0.0087474794127047062,0.021581529950102169
3407,GEARS,19,0.0087078500461454187,0.02173384993026654
3407,GEARS,20,0.0086868030639986205,0.021734923403710128
3407,GEARS,21,0.0086212906908864784,0.021832370199263096
3407,GEARS,22,0.0085914096872632701,0.021734183157483735
3407,GEARS,23,0.008567844905580083,0.021845099267860255
3407,GEARS,24,0.0085131589478502669,0.021836464572697879
3408,scGPT,1,0.11399897697847336,0.023044188941518464
3408,scGPT,2,0.01043015878337125,0.023132177783797184
3408,scGPT,3,0.010498153643372159,0.022350511079033217
3408,scGPT,4,0.01054108056705445,0.022476798978944619
3408,scGPT,5,0.010564710688777268,0.023832173707584541
3408,scGPT,6,0.01079849664432307,0.022349634673446417
3408,scGPT,7,0.010614147867696981,0.02305370367442568
3408,scGPT,8,0.01045185059774667,0.022343020917226872
3408,scGPT,9,0.010353171677949528,0.023013649601489307
3408,scGPT,10,0.010584336107907195,0.022395076680307588
3408,GEARS,1,0.012564146510946254,0.022086827519039311
3408,GEARS,2,0.010249526511567334,0.022018323155740895
3408,GEARS,3,0.010018331208266317,0.022114127781242131
3408,GEARS,4,0.0098408667448287215,0.022076429488758247
3408,GEARS,5,0.0097312820687269173,0.022049300310512384
3408,GEARS,6,0.0095842765256141625,0.022102761951585611
3408,GEARS,7,0.0095625411253422495,0.021728006781389315
3408,GEARS,8,0.0094344950203473377,0.021861120002965133
3408,GEARS,9,0.0093658114861076072,0.021994512435048817
3408,GEARS,10,0.0092572178381184738,0.021784277384479842
3408,GEARS,11,0.0092396687561025221,0.021690789485971133
3408,GEARS,12,0.0091015634980673599,0.021842132477710646
3408,GEARS,13,0.0090339096883932744,0.021899109954635301
3408,GEARS,14,0.0089921569218859073,0.021797440325220425
3408,GEARS,15,0.0089394516699636984,0.021757590056707462
3408,GEARS,16,0.0088395313282186791,0.021752957068383694
3408,GEARS,17,0.0088222482862571876,0.021623528221001227
3408,GEARS,18,0.0087427119646842286,0.021757935329029959
3408,GEARS,19,0.0086947214867298794,0.021685944062968095
3408,GEARS,20,0.00869682819272081,0.021766594642152391
3408,GEARS,21,0.0086254097754135724,0.021755522396415473
3408,GEARS,22,0.0086231187917292125,0.021728233682612577
3408,GEARS,23,0.0085788681404665116,0.021562505699694156
3408,GEARS,24,0.0085789769965534408,0.021859019560118518
3408,GEARS,25,0.0085115086287260062,0.021732295118272304
3408,GEARS,26,0.0084970595237488546,0.021699379011988641
3408,GEARS,27,0.0084643310479198888,0.021684426131347814
3408,GEARS,28,0.0084703567127386737,0.021668421508123478
3408,GEARS,29,0.0083951101793597136,0.021677059897532065
3409,scGPT,1,0.23195466592442243,0.022394776220122974
3409,scGPT,2,0.010492941605237623,0.023574172426015137
3409,scGPT,3,0.010554389492608608,0.022373809913794198
3409,scGPT,4,0.010412187486266097,0.022352110221982004
3409,scGPT,5,0.010491048148833216,0.022622186907877526
3409,scGPT,6,0.010511032724753022,0.02319671263297399
3409,scGPT,7,0.010485010283688704,0.022610877190406123
3409,GEARS,1,0.012567053137657543,0.021984204246352116
3409,GEARS,2,0.010304295597597957,0.022100421196470658
3409,GEARS,3,0.010036333720199764,0.022051571185390154
3409,GEARS,4,0.0098697943923374016,0.021915551740676165
3409,GEARS,5,0.0097916862228885296,0.022165475630511841
3409,GEARS,6,0.0096181523986160755,0.021889407436052957
3409,GEARS,7,0.0095907390505696345,0.021799608226865531
3409,GEARS,8,0.0094617785963540275,0.021635298958669107
3409,GEARS,9,0.0093483731150627129,0.0217803372691075
3409,GEARS,10,0.0092377046278367438,0.02160684484988451
3409,GEARS,11,0.0091604769385109346,0.021722733788192273
3409,GEARS,12,0.0090751248256613817,0.02173477051158746
3409,GEARS,13,0.0090227486720929548,0.021678778404990832
3409,GEARS,14,0.0089037464077894885,0.021573134263356528
3409,GEARS,15,0.0088918300035099197,0.021644578346361718
3409,GEARS,16,0.0088128231232985858,0.021784545729557674
3409,GEARS,17,0.0088262835051864386,0.021728601865470411
3409,GEARS,18,0.0087248401483520869,0.021645811448494593
3409,GEARS,19,0.0087450212643792238,0.021723355073481797
3409,GEARS,20,0.0086733041253561783,0.021678559699406227
