culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.0149190337136407,True
Rest,seen_160,160,True,160,0.92650042822644807,True
Stim8hr,all_200,200,True,200,0.99506957927987005,True
Stim8hr,seen_160,160,True,160,0.90989092196676302,True
Stim48hr,all_200,200,True,200,0.99538410809286837,True
Stim48hr,seen_160,160,True,160,0.91156739730841974,True
