baseline,delta_E232_minus_baseline,ci95_lower,ci95_upper,positive_targets,n_bootstraps,n_unique_genes
M,0.016759856730681255,-0.011555263441763901,0.05328922886054699,4,1000,575
M+D,0.034422230646581536,0.00810278720547372,0.06214661757552317,4,1000,575
M+G,0.027407185414805302,-0.008005248726422632,0.046885571701615926,4,1000,575
M+H,0.0028319972130101123,-0.029783764007564398,0.02375091027419506,3,1000,575
M+N,0.031539505749912294,0.01291053294653107,0.06362425896605704,4,1000,575
M+C,0.04296495638795125,0.014829402459858318,0.07927505916424298,4,1000,575
E230,0.004765262849320551,-0.011310034470934567,0.01522630799218595,4,1000,575
