method,utility,capture,spearman
M,0.7688113334356239,0.28192630816426123,0.7421009069404305
M+D,0.7511489595197236,0.2800762003404285,0.7358625382019717
M+G,0.7581640047514999,0.2808346690879059,0.7558266197757879
M+H,0.7827391929532951,0.28335716377412,0.7537648276412783
M+N,0.7540316844163929,0.2804182701319126,0.7441223707611333
M+C,0.7426062337783539,0.27937150497197527,0.7375282477697664
E230,0.7808059273169846,0.2831784154448943,0.7597161471834102
E232,0.7855711901663052,0.2836591875834361,0.7589690687624917
