scope,target,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
primary,K562,M,0.1,566,0.8992579621117096,0.9485480829802301,0.17442893552854094,0.9180220481156106
primary,K562,M,0.2,566,0.8992579621117096,0.9337696931035814,0.309072757502704,0.8651876532156406
primary,K562,M,0.3,566,0.8992579621117096,0.9284130420476459,0.4280297491015706,0.8175130353750278
primary,K562,M+D,0.1,566,0.908234583177789,0.8945595607747561,0.17023288698100375,0.9226879881507895
primary,K562,M+D,0.2,566,0.908234583177789,0.9176881784190825,0.30721863318473336,0.8675094106580552
primary,K562,M+D,0.3,566,0.908234583177789,0.9288693703822125,0.4280925038807287,0.8174233404128978
primary,K562,M+G,0.1,566,0.9018564460111591,0.8468447879150899,0.16652444127486124,0.9268117214900364
primary,K562,M+G,0.2,566,0.9018564460111591,0.9083959227535782,0.30614727905322114,0.8688509735749487
primary,K562,M+G,0.3,566,0.9018564460111591,0.9331782278906114,0.42868506274872,0.8165764002126881
primary,K562,M+H,0.1,566,0.9003962142269487,0.9101874052721602,0.171447500597485,0.9213373568994567
primary,K562,M+H,0.2,566,0.9003962142269487,0.9384173707387384,0.3096086132535146,0.8645166480055547
primary,K562,M+H,0.3,566,0.9003962142269487,0.9262408808606838,0.42773103108373595,0.8179399909257712
primary,K562,M+N,0.1,566,0.9025190219159961,0.9170152751632117,0.17197817030965235,0.9207472605201116
primary,K562,M+N,0.2,566,0.9025190219159961,0.9369393126644794,0.30943819998880523,0.8647300416069387
primary,K562,M+N,0.3,566,0.9025190219159961,0.935137946987517,0.4289545654944896,0.8161912018437345
primary,K562,M+C,0.1,566,0.8944897536098011,0.9211338852744959,0.1722982733106116,0.9203913110141333
primary,K562,M+C,0.2,566,0.8944897536098011,0.926196210698938,0.30819956998438475,0.8662810694443325
primary,K562,M+C,0.3,566,0.8944897536098011,0.9310824325496304,0.42839684664680144,0.8169883454492688
primary,K562,E230,0.1,566,0.912333765015902,0.9350862313573903,0.17338266530958224,0.919185484154767
primary,K562,E230,0.2,566,0.912333765015902,0.9384555464311946,0.30961301473441527,0.8645111364166393
