dataset,fold_id,score,endpoint,n_tasks,spearman
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,error_centered_pearson_mean,69,0.3258312020460359
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,error_centered_cosine_mean,69,0.3491048593350384
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.00032882718304713194
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,69,0.389039093898429
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,error_centered_pearson_mean,69,0.295469492144684
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,error_centered_cosine_mean,69,0.3170990135184509
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.020825721592985024
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,error_two_predictor_mean_rmse,69,0.2489952502740227
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,error_centered_pearson_mean,69,0.16726342710997447
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,error_centered_cosine_mean,69,0.1720131530873219
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,69,-0.11885275849470223
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,error_two_predictor_mean_rmse,69,0.24965290464011697
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,error_centered_pearson_mean,69,0.16010230179028134
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,error_centered_cosine_mean,69,0.1618195104128608
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,69,-0.11001096090610159
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,69,0.05283156740957254
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,error_centered_pearson_mean,69,0.006211180124223603
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,error_centered_cosine_mean,69,-0.016587504567044213
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.04837413226160029
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,69,0.03997077091706249
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,error_centered_pearson_mean,69,-0.0029959810010960907
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,error_centered_cosine_mean,69,-0.023785166240409213
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.04683960540738035
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,error_two_predictor_mean_rmse,69,-0.013920350748995253
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,error_centered_pearson_mean,69,-0.02919254658385094
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,error_centered_cosine_mean,69,-0.05067592254293023
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,69,-0.051516258677384
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,error_two_predictor_mean_rmse,69,-0.004640116916331751
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,error_centered_pearson_mean,69,-0.03576909024479357
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,error_centered_cosine_mean,69,-0.05480453050785532
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,69,-0.07263427109974425
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,69,0.47025940811107053
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,error_centered_pearson_mean,69,-0.22553891121666061
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,error_centered_cosine_mean,69,-0.2168432590427476
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.35542564852027775
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,69,0.4699671172816953
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,error_centered_pearson_mean,69,-0.20069419071976619
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,error_centered_cosine_mean,69,-0.19236390208257217
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,-0.3302886371940081
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,error_two_predictor_mean_rmse,69,0.24833759590792842
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,error_centered_pearson_mean,69,-0.03580562659846548
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,error_centered_cosine_mean,69,-0.028973328461819516
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,69,-0.1133357690902448
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,error_two_predictor_mean_rmse,69,0.2491779320423822
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,error_centered_pearson_mean,69,-0.13039824625502378
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,error_centered_cosine_mean,69,-0.12678114724150533
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,69,-0.20489587139203508
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,69,0.5102667153818049
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,error_centered_pearson_mean,69,0.39177932042382174
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,error_centered_cosine_mean,69,0.4005115089514067
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,69,0.053635367190354416
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,69,0.40511508951406655
