dataset,score,endpoint,n_folds,spearman
Shifrut,risk_model_disagreement,error_centered_cosine_mean,4,0.06391573542736334
Shifrut,risk_model_disagreement,error_centered_pearson_mean,4,0.07437330111748716
Shifrut,risk_model_disagreement,error_two_predictor_mean_rmse,4,0.05134400483237692
Shifrut,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,4,0.0029447296889157266
Shifrut,safeconf_calibrated_pair_risk,error_centered_cosine_mean,4,0.09124886741165811
Shifrut,safeconf_calibrated_pair_risk,error_centered_pearson_mean,4,0.11877076411960133
Shifrut,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,4,0.1726819691935971
Shifrut,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,4,0.061839323467230436
Shifrut,safeconf_frozen_pair_risk,error_centered_cosine_mean,4,0.0796964663243733
Shifrut,safeconf_frozen_pair_risk,error_centered_pearson_mean,4,0.08819087888855329
Shifrut,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,4,0.053344910903050435
Shifrut,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,4,0.03658260344306856
Tian_CRISPRi,baseline_predicted_magnitude,error_centered_cosine_mean,4,0.029477649933815298
Tian_CRISPRi,baseline_predicted_magnitude,error_centered_pearson_mean,4,0.036091714771329886
Tian_CRISPRi,baseline_predicted_magnitude,error_two_predictor_mean_rmse,4,0.06673836676509522
Tian_CRISPRi,baseline_predicted_magnitude,excess_rmse_mean_vs_training_perturbed_mean,4,0.08803398134296211
Tian_CRISPRi,risk_model_disagreement,error_centered_cosine_mean,4,-0.06224446437383003
Tian_CRISPRi,risk_model_disagreement,error_centered_pearson_mean,4,-0.04911668872823542
Tian_CRISPRi,risk_model_disagreement,error_two_predictor_mean_rmse,4,-0.01786840208971356
Tian_CRISPRi,risk_model_disagreement,excess_rmse_mean_vs_training_perturbed_mean,4,-0.020877554377198
Tian_CRISPRi,safeconf_calibrated_pair_risk,error_centered_cosine_mean,4,-0.13554206840913902
Tian_CRISPRi,safeconf_calibrated_pair_risk,error_centered_pearson_mean,4,-0.20997930259334396
Tian_CRISPRi,safeconf_calibrated_pair_risk,error_two_predictor_mean_rmse,4,0.13421641615690086
Tian_CRISPRi,safeconf_calibrated_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,4,0.0661734470091562
Tian_CRISPRi,safeconf_frozen_pair_risk,error_centered_cosine_mean,4,-0.1234168539941883
Tian_CRISPRi,safeconf_frozen_pair_risk,error_centered_pearson_mean,4,-0.15362733310880142
Tian_CRISPRi,safeconf_frozen_pair_risk,error_two_predictor_mean_rmse,4,0.11136262169761815
Tian_CRISPRi,safeconf_frozen_pair_risk,excess_rmse_mean_vs_training_perturbed_mean,4,0.012273542565773492
