perturbation,n_cells,gears_ensemble_rmse,scgpt_finetuned_rmse,task_mean_rmse,task_max_rmse,risk_gears_scgpt_disagreement,risk_gears_predicted_magnitude,risk_scgpt_predicted_magnitude,true_l2_diagnostic,uses_target_truth_in_deployable_risk
APOD+ctrl,592,0.03911486538949053,0.04001716419194072,0.03956601479071563,0.04001716419194072,0.04060104172032373,0.6789626479148865,0.7630266547203064,0.6195641160011292,False
B2M+ctrl,707,0.03969454660934491,0.03697953422194974,0.038337040415647325,0.03969454660934491,0.045473502201328626,0.7363635897636414,0.8077191114425659,0.6043133735656738,False
BOLA2B+ctrl,360,0.04941278631218392,0.045809110739359685,0.0476109485257718,0.04941278631218392,0.04803505992897057,0.8365278840065002,0.7652937769889832,0.8172587156295776,False
CD63+ctrl,512,0.04438398315375789,0.03970611176438109,0.04204504745906949,0.04438398315375789,0.047148511712512504,0.814096212387085,0.8069957494735718,0.7172694802284241,False
CDK4+ctrl,505,0.04242850433882728,0.04531197591093808,0.04387024012488268,0.04531197591093808,0.04674000526572592,0.708603024482727,0.7850612998008728,0.8030662536621094,False
DDR1+ctrl,575,0.03848419251742137,0.038483440523944486,0.03848381652068293,0.03848419251742137,0.043115879487253886,0.6945531368255615,0.7845425605773926,0.6252177953720093,False
DDX39A+ctrl,411,0.049069826096900145,0.045711689283762034,0.04739075769033109,0.049069826096900145,0.04992990065247068,0.8147001266479492,0.7775324583053589,0.8169599175453186,False
EEA1+ctrl,498,0.04335729903821228,0.03798960460952543,0.04067345182386886,0.04335729903821228,0.04384296290484879,0.7556576728820801,0.7754645943641663,0.6935396194458008,False
ENPP1+ctrl,598,0.037791135345310124,0.03941740128093207,0.038604268313121096,0.03941740128093207,0.04606523035601177,0.7466024160385132,0.7608598470687866,0.5969244241714478,False
HLA-B+ctrl,415,0.04717935101183111,0.04382677011120786,0.04550306056151948,0.04717935101183111,0.04762310658551122,0.8031140565872192,0.8209497332572937,0.7799995541572571,False
IRF4+ctrl,507,0.0432180346137477,0.038768762558094506,0.040993398585921104,0.0432180346137477,0.04404577624672681,0.7133959531784058,0.7582152485847473,0.6744754910469055,False
JAK1+ctrl,796,0.10267620752066003,0.10276203611480629,0.10271912181773316,0.10276203611480629,0.039865311120746136,0.6321743130683899,0.7735013961791992,2.231212615966797,False
JAK2+ctrl,834,0.09128755351389345,0.0978923388954524,0.09458994620467293,0.0978923388954524,0.042315556532712975,0.6453697085380554,0.7707908749580383,2.0981273651123047,False
KLF4+ctrl,546,0.04170162118047083,0.04209910567005213,0.041900363425261475,0.04209910567005213,0.04378489363308386,0.682065486907959,0.7708436846733093,0.668186366558075,False
LRPAP1+ctrl,656,0.04577198362325244,0.046908675570674414,0.04634032959696342,0.046908675570674414,0.04463912916403994,0.7193921208381653,0.7793355584144592,0.8696925044059753,False
NOLC1+ctrl,232,0.05696888653639185,0.05026061543427315,0.0536147509853325,0.05696888653639185,0.04880702296260292,0.9305380582809448,0.7831403613090515,0.9135754108428955,False
NSG1+ctrl,590,0.03547040091768426,0.038089535901278365,0.03677996840948131,0.038089535901278365,0.043554065441710664,0.6656894683837891,0.7633493542671204,0.663472592830658,False
PSAP+ctrl,733,0.03862947206268202,0.03559409484176441,0.03711178345222321,0.03862947206268202,0.0429197047998681,0.6982007622718811,0.788068950176239,0.6809017658233643,False
S100A6+ctrl,592,0.03939525918905131,0.03928400739146844,0.03933963329025987,0.03939525918905131,0.0456008512161101,0.7047382593154907,0.8090377449989319,0.6433886289596558,False
SAT1+ctrl,576,0.04183555924398006,0.04364254781194885,0.042739053527964456,0.04364254781194885,0.046923976853703434,0.7769221663475037,0.7847595810890198,0.6892147660255432,False
SDCBP+ctrl,622,0.04709080443817005,0.04246686392505442,0.044778834181612236,0.04709080443817005,0.04586530977471868,0.7457821369171143,0.7935636043548584,0.8520963788032532,False
SET+ctrl,455,0.054140588717706176,0.050693711586381744,0.052417150152043956,0.054140588717706176,0.04669534348531159,0.7450013756752014,0.8089200854301453,1.0890074968338013,False
SHMT2+ctrl,448,0.045210046814727976,0.04327076949918406,0.04424040815695602,0.045210046814727976,0.04605542087228418,0.7272133231163025,0.7834064364433289,0.7554789781570435,False
STOM+ctrl,655,0.039738576388288954,0.04275948533005993,0.041249030859174446,0.04275948533005993,0.04542893917465086,0.677305281162262,0.7866463661193848,0.6883600354194641,False
