attempt,device,config,checkpoint,batch_size,n_genes,prediction_exact_equal,prediction_max_abs_delta,control_unchanged,status,raw_record_sha256
1,GPU1_Quadro_RTX_6000,config-gat,K562_unseen_pert_gat.ckpt,8,5000,False,2.384185791015625e-07,NOT_RECORDED,FAIL_EXACT,NOT_AVAILABLE
2,CPU,config-gat,K562_unseen_pert_gat.ckpt,8,5000,True,0.0,True,PASS,e692196a9a9062f4542ec9a835f01adf2ff5d448af4dc21e1da99c46700e2c64
