perturbation,predictor_name,rmse,cosine_error,pearson,spearman,pred_l2,true_l2
CCND3,GEARS_formal_seed1_subset512,0.28095316886901855,0.8937570658436359,0.07160426895038015,0.1745658917556448,1.591339349746704,6.326241970062256
CCND3,scGPT_whole_human_forward_subset512,0.27956342697143555,0.9663510339957959,0.06646799446199655,-0.0495639706063633,0.013617614284157753,6.326241970062256
DAD1,GEARS_formal_seed1_subset512,0.2790733575820923,0.8643581731630996,0.1524040472720815,0.23992236584612214,1.4020367860794067,6.350208759307861
DAD1,scGPT_whole_human_forward_subset512,0.28048276901245117,0.7824336754791418,0.224469729913514,0.06480622115761966,0.01668119803071022,6.350208759307861
DERL2,GEARS_formal_seed1_subset512,0.304555207490921,0.6221135825351254,0.38039772589456194,0.3871464298588938,1.4815491437911987,7.313259124755859
DERL2,scGPT_whole_human_forward_subset512,0.3231973648071289,0.983522731208041,-0.001579278798402791,0.05783656855591487,0.008667082525789738,7.313259124755859
NEDD8,GEARS_formal_seed1_subset512,0.2872130572795868,0.5565138790189694,0.4354346131783878,0.40787381553198065,1.5858964920043945,7.04486608505249
NEDD8,scGPT_whole_human_forward_subset512,0.3110988438129425,0.6982527854036316,0.30712075180943543,0.045574353295619055,0.01830846443772316,7.04486608505249
TIMM23,GEARS_formal_seed1_subset512,0.29637768864631653,0.6629224015797512,0.3179334419279093,0.36855060382119686,3.2933313846588135,7.056556701660156
TIMM23,scGPT_whole_human_forward_subset512,0.3118305504322052,0.952885753944826,0.08386938939468751,0.12405832584491223,0.013808312825858593,7.056556701660156
UFM1,GEARS_formal_seed1_subset512,0.21706321835517883,0.8963312904313782,0.09560467795400202,0.13871758448632998,1.2756943702697754,4.877110958099365
UFM1,scGPT_whole_human_forward_subset512,0.21549132466316223,0.9186442905268978,0.08538750167454665,-0.015548290614739392,0.013747237622737885,4.877110958099365
YIPF5,GEARS_formal_seed1_subset512,0.25648850202560425,0.7223442670286422,0.277853367289894,0.20341342797633355,1.6825594902038574,6.0412068367004395
YIPF5,scGPT_whole_human_forward_subset512,0.26698243618011475,0.9922785423038754,0.007065740885280795,-0.02621659616713077,0.012518052011728287,6.0412068367004395
