dataset,fold_id,score,spearman_mean_error,spearman_gears_error,spearman_scgpt_error
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_calibrated_pair_risk,0.4424187066130801,0.34574351479722326,0.44727804165144325
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,safeconf_frozen_pair_risk,0.389039093898429,0.2696382900986482,0.4255389112166606
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,risk_model_disagreement,0.2489952502740227,0.02915601023017903,0.37340153452685426
Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,baseline_predicted_magnitude,0.24965290464011697,0.058713920350749,0.3240409207161126
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_calibrated_pair_risk,0.05283156740957254,0.004567044208987943,0.0905736207526489
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,safeconf_frozen_pair_risk,0.03997077091706249,-0.0144318597004019,0.08224333211545488
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,risk_model_disagreement,-0.013920350748995253,-0.07767628790646694,0.0474607234198027
Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,baseline_predicted_magnitude,-0.004640116916331751,-0.06635001826817685,0.05575447570332481
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_calibrated_pair_risk,0.47025940811107053,0.4458165875045671,0.45144318597004024
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),safeconf_frozen_pair_risk,0.4699671172816953,0.4481549141395689,0.44833759590792843
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),risk_model_disagreement,0.24833759590792842,0.22612349287541106,0.26039459261965664
Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),baseline_predicted_magnitude,0.2491779320423822,0.22316404822798688,0.2674826452320059
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_calibrated_pair_risk,0.5102667153818049,0.41421264157837057,0.4963829009864816
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,safeconf_frozen_pair_risk,0.40511508951406655,0.27139203507489956,0.4472049689440994
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,risk_model_disagreement,0.07745706978443552,-0.11852393131165512,0.22919254658385096
Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,baseline_predicted_magnitude,0.008220679576178298,-0.2172816952868104,0.18586043112897335
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_calibrated_pair_risk,0.4598465473145781,0.43792473511143587,0.36247716477895514
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,safeconf_frozen_pair_risk,0.4709901351845086,0.4472415052977713,0.37581293386919984
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,risk_model_disagreement,0.31962002192181227,0.15560833028863721,0.37924735111435887
Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,baseline_predicted_magnitude,0.23511143587869934,0.043441724515893315,0.3441359152356595
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,safeconf_calibrated_pair_risk,0.1549902585804543,0.21051268352924513,0.11510861887255691
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,safeconf_frozen_pair_risk,-0.1588235294117647,-0.06751131221719456,-0.18959276018099544
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,risk_model_disagreement,-0.2048868778280543,-0.12552036199095024,-0.2232579185520362
Santinha,Santinha_context_holdout_1_Interneurons_Sst_Pvalb,baseline_predicted_magnitude,-0.24832579185520362,-0.17945701357466065,-0.26262443438914024
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,safeconf_calibrated_pair_risk,-0.05780309974713359,-0.059097198995203735,-0.04864854580708175
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,safeconf_frozen_pair_risk,0.005067873303167421,0.03538461538461538,-0.02063348416289593
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,risk_model_disagreement,-0.031040723981900453,-0.0028959276018099543,-0.05520361990950227
Santinha,Santinha_context_holdout_2_Interneurons_Vip_Adarb2,baseline_predicted_magnitude,-0.19719457013574657,-0.16968325791855202,-0.19954751131221718
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,safeconf_calibrated_pair_risk,0.24208144796380088,0.2337556561085973,0.2159276018099547
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,safeconf_frozen_pair_risk,0.14678733031674207,0.17493212669683258,0.10135746606334842
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,risk_model_disagreement,0.15665158371040722,0.21565610859728507,0.0804524886877828
Santinha,Santinha_context_holdout_3_Neurons_L_2_3,baseline_predicted_magnitude,0.12199095022624433,0.15520361990950227,0.05592760180995475
Santinha,Santinha_context_holdout_4_Neurons_L_5,safeconf_calibrated_pair_risk,-0.09020622061892905,-0.1097217623243338,-0.07362037282571579
Santinha,Santinha_context_holdout_4_Neurons_L_5,safeconf_frozen_pair_risk,-0.05945701357466063,-0.008868778280542985,-0.09864253393665158
Santinha,Santinha_context_holdout_4_Neurons_L_5,risk_model_disagreement,-0.061538461538461535,0.008506787330316741,-0.1160180995475113
Santinha,Santinha_context_holdout_4_Neurons_L_5,baseline_predicted_magnitude,0.12660633484162895,0.18796380090497736,0.0718552036199095
Santinha,Santinha_context_holdout_5_Neurons_L_6,safeconf_calibrated_pair_risk,0.07390292987617261,0.026292388513638337,0.12757730138239287
Santinha,Santinha_context_holdout_5_Neurons_L_6,safeconf_frozen_pair_risk,-0.4081447963800905,-0.37882352941176467,-0.4429864253393665
Santinha,Santinha_context_holdout_5_Neurons_L_6,risk_model_disagreement,-0.4932126696832579,-0.44932126696832575,-0.5494117647058824
Santinha,Santinha_context_holdout_5_Neurons_L_6,baseline_predicted_magnitude,-0.2495927601809955,-0.20416289592760178,-0.3073303167420814
