culture_condition,stratum,n_tasks,all_finite,n_levels,std,passed
Rest,all_200,200,True,200,1.1007831433051867,True
Rest,seen_160,160,True,160,0.91746472208703311,True
Stim8hr,all_200,200,True,200,1.1031466567843247,True
Stim8hr,seen_160,160,True,160,0.91882362023564046,True
Stim48hr,all_200,200,True,200,1.0910288672478092,True
Stim48hr,seen_160,160,True,160,0.90609013376698067,True
