seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,2,0.0098635845662405092,129,,
3407,GEARS,1,0.010247043954829374,,1347,4365
3408,scGPT,2,0.0098854156366238993,129,,
3408,GEARS,1,0.010300682329883178,,1347,4365
3409,scGPT,1,0.0099808245276411366,129,,
3409,GEARS,2,0.010432697118570406,,1347,4365
3410,scGPT,1,0.009932036061460774,129,,
3410,GEARS,2,0.010413170916338761,,1347,4365
3411,scGPT,5,0.0098462139877180267,129,,
3411,GEARS,1,0.010127529129385948,,1347,4365
