task_id,perturbation,guide_id,target_split,n_guide_cells,centroid_rmse,family_rms_error,family_diversity_lower,family_lower_violation,worst_member_error,worst_member_lower,worst_member_lower_violation,family_radius,family_diameter,hilbert_identity_residual,scGPT_seed3407_rmse,scGPT_seed3408_rmse,scGPT_seed3409_rmse,scGPT_seed3410_rmse,scGPT_seed3411_rmse,GEARS_seed3407_rmse,GEARS_seed3408_rmse,GEARS_seed3409_rmse,GEARS_seed3410_rmse,GEARS_seed3411_rmse,centroid_covered,family_rms_upper,worst_member_upper,family_upper_covered,worst_member_upper_covered,family_lower_tightness,worst_member_lower_tightness
E182::AGGF1::AGGF1_1,AGGF1,AGGF1_1,prospective_evaluation,18,0.15226139198406619,0.16839313091798963,0.071921589605887695,False,0.25721329425924105,0.10936035078010969,False,0.1783542160880501,0.21872070156021939,7.8062556418956319e-18,0.15549178571315939,0.15302187876253512,0.25721329425924105,0.15298477046585598,0.17250133878774027,0.15292963041622928,0.15617866233337763,0.14958120241673722,0.15155154123174375,0.15338739121571582,True,0.20295644516005476,0.36813989410556697,True,True,0.42710524600266953,0.42517378852854781
E182::AGGF1::AGGF1_2,AGGF1,AGGF1_2,prospective_evaluation,14,0.15340944362024286,0.16944623639570752,0.071955330843499796,False,0.26225365850395893,0.10936035078010969,False,0.17834604929594761,0.21872070156021939,1.1275702593849246e-17,0.15633736098227533,0.15094532002486044,0.26225365850395893,0.15088841601993758,0.17715602152473983,0.15105238057755921,0.15957830226624545,0.15055846380729632,0.15299828386907088,0.15035782865212063,True,0.20296840448051537,0.36813172731346444,True,True,0.42464992067137231,0.41700219323521398
E182::BUD13::BUD13_1,BUD13,BUD13_1,prospective_evaluation,17,0.12642150054593701,0.14606191999697926,0.073155236811301497,False,0.22049648466199548,0.1093277407078062,False,0.18007151462037749,0.21865548141561239,1.6479873021779667e-17,0.13277329252676776,0.14462160054499454,0.22049648466199548,0.14490704205392357,0.12931381205485942,0.13187334079871932,0.13917569303985095,0.13430210167961285,0.12974438823380671,0.12971802213226416,True,0.20339688358843208,0.36985719263789435,True,True,0.5008508501929485,0.49582532290887721
E182::BUD13::BUD13_2,BUD13,BUD13_2,prospective_evaluation,31,0.10558594738705741,0.12845264091695457,0.073155236811301497,False,0.23568169532116107,0.1093277407078062,False,0.18007151462037749,0.21865548141561239,1.6479873021779667e-17,0.1102546427925231,0.10514625259087677,0.23568169532116107,0.10552862792993303,0.1345369519682286,0.1101992020810376,0.10054184585374981,0.10563290407550117,0.10697025073000425,0.11024142939664994,True,0.20339688358843208,0.36985719263789435,True,True,0.56951134900057687,0.46387879448519065
E182::CPEB2::CPEB2_1,CPEB2,CPEB2_1,prospective_evaluation,24,0.11819482710932547,0.13807882085730258,0.071384477401881405,False,0.2414595457837295,0.1093079409076621,False,0.1806158411834575,0.21861588181532421,3.4694469519536142e-18,0.12222970077683985,0.11743403523959915,0.2414595457837295,0.11764126433758045,0.14494054548722535,0.11783509152835427,0.11452358592800407,0.1180798158805185,0.11915104829777044,0.11677430581885799,True,0.20276673098540673,0.37040151920097436,True,True,0.51698353852292545,0.45269670558217256
E182::CPEB2::CPEB2_2,CPEB2,CPEB2_2,prospective_evaluation,12,0.14225069147606523,0.15915716395864316,0.071384477401881405,False,0.2355241750938262,0.1093079409076621,False,0.1806158411834575,0.21861588181532421,8.6736173798840355e-18,0.14630644493746084,0.15514615376440494,0.2355241750938262,0.15605894483656191,0.14568049590960475,0.14810749351491551,0.14689408283700578,0.14185817767449183,0.14749931096296542,0.14625934094746806,True,0.20276673098540673,0.37040151920097436,True,True,0.44851564093232144,0.46410497293586483
E182::DDX42::DDX42_1,DDX42,DDX42_1,prospective_evaluation,35,0.10723301794019538,0.13033796470979106,0.074088223815451701,False,0.2378048859275495,0.10977661640304499,False,0.17962323310572831,0.2195532328060901,1.214306433183765e-17,0.11195595292510546,0.10490960430365352,0.2378048859275495,0.10468484119903165,0.13902404590359474,0.11831757568038,0.096963879363297756,0.11570381789882371,0.10597754811887249,0.10715534560342281,True,0.20373430857049346,0.36940891112324514,True,True,0.56843164599367224,0.46162473060578718
E182::DDX42::DDX42_2,DDX42,DDX42_2,prospective_evaluation,7,0.30916001846747293,0.31791348182632434,0.074088223815451701,False,0.38880766308669623,0.10977661640304499,False,0.17962323310572831,0.2195532328060901,-1.5612511283791264e-17,0.30978000292490904,0.29698131288614343,0.38880766308669623,0.29478991373047669,0.33770877282477846,0.31737840328559702,0.2940345494234119,0.31944372973801072,0.30720243306306455,0.30133961409531473,False,0.20373430857049346,0.36940891112324514,False,False,0.23304524045295438,0.28234169957336214
E182::DDX6::DDX6_1,DDX6,DDX6_1,prospective_evaluation,23,0.20020195016192646,0.21351596976763826,0.074217575392736504,False,0.31215328439570345,0.10955261581305289,False,0.17963909320250121,0.2191052316261059,-4.3368086899420177e-18,0.20021647874699794,0.18245639330136398,0.31215328439570345,0.18205348614869774,0.2349321500557581,0.19202820948549379,0.18436127359501556,0.20049964843201706,0.20460510939399207,0.20930883278244625,False,0.2037813830499369,0.36942477122001804,False,True,0.34759730372161302,0.35095775469777757
E182::DDX6::DDX6_2,DDX6,DDX6_2,prospective_evaluation,17,0.12148076681675357,0.14235808794572571,0.074217575392736504,False,0.21976641642933803,0.10955261581305289,False,0.17963909320250121,0.2191052316261059,-6.0715321659188248e-18,0.12684913864862191,0.14018027082361384,0.21976641642933803,0.14135030291353251,0.12046722088969097,0.13242678670013189,0.14354797986207793,0.12525259356249077,0.12244684393590972,0.12370604009717263,True,0.2037813830499369,0.36942477122001804,True,True,0.52134428372648622,0.49849571009534838
