dataset,predictor,method,n_folds,utility20_mean,delta_utility20_vs_M,positive_utility_folds_vs_M,spearman_mean,delta_spearman_vs_M,positive_spearman_folds_vs_M
CuiHacohen2023,ContextSimBaseline,P,5,0.4007703474569005,0.047391481725389616,3,0.3616191911642015,0.03549610780929431,5
CuiHacohen2023,ContextSimBaseline,P_plus_B,5,0.7560485272355194,0.4026696615040087,5,0.579517860171477,0.2533947768165698,5
CuiHacohen2023,ContextSimBaseline,P_plus_B_plus_E,5,0.8111482834147804,0.4577694176832695,5,0.7300931790908655,0.40397009573595816,5
CuiHacohen2023,ContextSimBaseline,P_plus_B_plus_E_dynamic,5,0.7963747000555421,0.4429958343240313,5,0.7347992656431929,0.4086761822882857,5
CuiHacohen2023,ContextSimBaseline,P_plus_E,5,0.817615141918067,0.4642362761865562,5,0.7288619895632615,0.4027389062083543,5
CuiHacohen2023,PertMeanPredictor,P,5,0.44875595133671975,0.09739811204657708,3,0.5131177585562282,0.09440851537762363,5
CuiHacohen2023,PertMeanPredictor,P_plus_B,5,0.6815068277838643,0.3301489884937217,5,0.6219209752153327,0.2032117320367282,5
CuiHacohen2023,PertMeanPredictor,P_plus_B_plus_E,5,0.772094487277499,0.4207366479873563,5,0.7334054533443962,0.3146962101657917,5
CuiHacohen2023,PertMeanPredictor,P_plus_B_plus_E_dynamic,5,0.8021322415083244,0.4507744022181819,5,0.7631190155494052,0.3444097723708005,5
CuiHacohen2023,PertMeanPredictor,P_plus_E,5,0.7602796219026597,0.40892178261251705,5,0.7261787283453678,0.3074694851667632,5
CuiHacohen2023,V0StrongBaseline,P,5,0.484895329527148,0.09317053592856399,4,0.49282752502198185,0.03771408190416435,5
CuiHacohen2023,V0StrongBaseline,P_plus_B,5,0.7328007725970245,0.34107597899844044,5,0.5933964950296348,0.13828305191181728,5
CuiHacohen2023,V0StrongBaseline,P_plus_B_plus_E,5,0.7933956298559082,0.40167083625732414,5,0.7241146221768119,0.26900117905899446,5
