dataset,predictor,held_fold,method,n_fit,n_test,utility20,spearman
CuiHacohen2023,ContextSimBaseline,0,M,1002,251,0.51945820532773,0.42314383629082036
CuiHacohen2023,ContextSimBaseline,0,P,1002,251,0.47055680894718677,0.4644492506165813
CuiHacohen2023,ContextSimBaseline,0,P_plus_B,1002,251,0.7140316826786547,0.6349907038512617
CuiHacohen2023,ContextSimBaseline,0,P_plus_E,1002,251,0.7965880433539937,0.7601995826218934
CuiHacohen2023,ContextSimBaseline,0,P_plus_B_plus_E,1002,251,0.7597039349554033,0.7619776133560994
CuiHacohen2023,ContextSimBaseline,0,P_plus_B_plus_E_dynamic,1002,251,0.7664030024350332,0.7730212589326295
CuiHacohen2023,ContextSimBaseline,1,M,1002,251,0.30902583138578554,0.24532913523290478
CuiHacohen2023,ContextSimBaseline,1,P,1002,251,0.5556294995284887,0.2748563839878581
CuiHacohen2023,ContextSimBaseline,1,P_plus_B,1002,251,0.6909874321351485,0.518056535761715
CuiHacohen2023,ContextSimBaseline,1,P_plus_E,1002,251,0.7705422102616468,0.717778030734206
CuiHacohen2023,ContextSimBaseline,1,P_plus_B_plus_E,1002,251,0.7528773224339312,0.7119301840258015
CuiHacohen2023,ContextSimBaseline,1,P_plus_B_plus_E_dynamic,1002,251,0.8061648910187581,0.7612672895411351
CuiHacohen2023,ContextSimBaseline,2,M,1003,250,0.3290591801915335,0.29600653747330935
CuiHacohen2023,ContextSimBaseline,2,P,1003,250,0.36816846583163954,0.32647703163250613
CuiHacohen2023,ContextSimBaseline,2,P_plus_B,1003,250,0.8384681951085701,0.6048845581529304
CuiHacohen2023,ContextSimBaseline,2,P_plus_E,1003,250,0.8318639808665047,0.7062483559736956
CuiHacohen2023,ContextSimBaseline,2,P_plus_B_plus_E,1003,250,0.8565647290556394,0.7186072097153553
CuiHacohen2023,ContextSimBaseline,2,P_plus_B_plus_E_dynamic,1003,250,0.8201121000085559,0.6861101318974284
CuiHacohen2023,ContextSimBaseline,3,M,1003,250,0.4190588027745144,0.3799359392457566
CuiHacohen2023,ContextSimBaseline,3,P,1003,250,0.48291784678814637,0.4502207075313205
CuiHacohen2023,ContextSimBaseline,3,P_plus_B,1003,250,0.8144514849760706,0.581046992751884
CuiHacohen2023,ContextSimBaseline,3,P_plus_E,1003,250,0.8638321737654916,0.7507354677674842
CuiHacohen2023,ContextSimBaseline,3,P_plus_B_plus_E,1003,250,0.8914242829282616,0.7404801996831949
CuiHacohen2023,ContextSimBaseline,3,P_plus_B_plus_E_dynamic,1003,250,0.801849430312102,0.7385881552194652
CuiHacohen2023,ContextSimBaseline,4,M,1002,251,0.19029230897799074,0.28619996853174484
CuiHacohen2023,ContextSimBaseline,4,P,1002,251,0.1265791161890409,0.2920925820527414
CuiHacohen2023,ContextSimBaseline,4,P_plus_B,1002,251,0.7223038412791538,0.558610510339594
CuiHacohen2023,ContextSimBaseline,4,P_plus_E,1002,251,0.8252493013426982,0.7093485107190286
CuiHacohen2023,ContextSimBaseline,4,P_plus_B_plus_E,1002,251,0.7951711477006667,0.7174706886738759
CuiHacohen2023,ContextSimBaseline,4,P_plus_B_plus_E_dynamic,1002,251,0.7873440765032611,0.715009492625306
CuiHacohen2023,PertMeanPredictor,0,M,1002,251,0.4271446560928001,0.5372792015772864
CuiHacohen2023,PertMeanPredictor,0,P,1002,251,0.5745470144120696,0.6235392436163845
CuiHacohen2023,PertMeanPredictor,0,P_plus_B,1002,251,0.7744616185254224,0.7068290646936065
CuiHacohen2023,PertMeanPredictor,0,P_plus_E,1002,251,0.694638290158266,0.7782242458736484
CuiHacohen2023,PertMeanPredictor,0,P_plus_B_plus_E,1002,251,0.7437682909621975,0.789075317776513
CuiHacohen2023,PertMeanPredictor,0,P_plus_B_plus_E_dynamic,1002,251,0.7869531357512898,0.799887838782934
CuiHacohen2023,PertMeanPredictor,1,M,1002,251,0.3251792521952881,0.3587434378930557
CuiHacohen2023,PertMeanPredictor,1,P,1002,251,0.5903142608331884,0.46069488980666135
CuiHacohen2023,PertMeanPredictor,1,P_plus_B,1002,251,0.6707499977198909,0.5586446594574084
CuiHacohen2023,PertMeanPredictor,1,P_plus_E,1002,251,0.781513341742388,0.7143669132991841
CuiHacohen2023,PertMeanPredictor,1,P_plus_B_plus_E,1002,251,0.7337402590373808,0.7086169607285144
CuiHacohen2023,PertMeanPredictor,1,P_plus_B_plus_E_dynamic,1002,251,0.7530518850171366,0.7602806153249421
CuiHacohen2023,PertMeanPredictor,2,M,1003,250,0.45500805484242474,0.395160688496621
CuiHacohen2023,PertMeanPredictor,2,P,1003,250,0.4453077234893724,0.4923379165802718
CuiHacohen2023,PertMeanPredictor,2,P_plus_B,1003,250,0.6677537278768291,0.6187955647290355
CuiHacohen2023,PertMeanPredictor,2,P_plus_E,1003,250,0.6972960963907754,0.697988383814141
CuiHacohen2023,PertMeanPredictor,2,P_plus_B_plus_E,1003,250,0.7586137138807562,0.704820621129938
CuiHacohen2023,PertMeanPredictor,2,P_plus_B_plus_E_dynamic,1003,250,0.8311493844666895,0.7564943761223372
CuiHacohen2023,PertMeanPredictor,3,M,1003,250,0.3348583345598584,0.43438619188256117
CuiHacohen2023,PertMeanPredictor,3,P,1003,250,0.5053190731389707,0.577572837847456
CuiHacohen2023,PertMeanPredictor,3,P_plus_B,1003,250,0.720666528081662,0.6464271108337732
CuiHacohen2023,PertMeanPredictor,3,P_plus_E,1003,250,0.8675364584931738,0.7650297124753995
CuiHacohen2023,PertMeanPredictor,3,P_plus_B_plus_E,1003,250,0.8571050210191324,0.7680833293332692
CuiHacohen2023,PertMeanPredictor,3,P_plus_B_plus_E_dynamic,1003,250,0.8459494674715717,0.7760561330812417
CuiHacohen2023,PertMeanPredictor,4,M,1002,251,0.2145988987603417,0.36797669604349864
CuiHacohen2023,PertMeanPredictor,4,P,1002,251,0.12829168480999742,0.4114439049303673
CuiHacohen2023,PertMeanPredictor,4,P_plus_B,1002,251,0.5739022667155169,0.5789084763628403
CuiHacohen2023,PertMeanPredictor,4,P_plus_E,1002,251,0.7604139227286953,0.6752843862644659
CuiHacohen2023,PertMeanPredictor,4,P_plus_B_plus_E,1002,251,0.7672451514880277,0.6964310377537468
CuiHacohen2023,PertMeanPredictor,4,P_plus_B_plus_E_dynamic,1002,251,0.7935573348349345,0.7228761144355704
CuiHacohen2023,V0StrongBaseline,0,M,1002,251,0.5303042921059798,0.5658029540133023
CuiHacohen2023,V0StrongBaseline,0,P,1002,251,0.5826451799432096,0.6046239140333891
CuiHacohen2023,V0StrongBaseline,0,P_plus_B,1002,251,0.770870060484168,0.6806420034149118
CuiHacohen2023,V0StrongBaseline,0,P_plus_E,1002,251,0.7168550374382109,0.757460823373174
CuiHacohen2023,V0StrongBaseline,0,P_plus_B_plus_E,1002,251,0.7152546690517602,0.7715310187820148
CuiHacohen2023,V0StrongBaseline,0,P_plus_B_plus_E_dynamic,1002,251,0.8550464414538697,0.8088042647020673
CuiHacohen2023,V0StrongBaseline,1,M,1002,251,0.36563273313374967,0.37756115147901653
CuiHacohen2023,V0StrongBaseline,1,P,1002,251,0.572668178828133,0.41014304686017833
CuiHacohen2023,V0StrongBaseline,1,P_plus_B,1002,251,0.6281964976466774,0.508900777841017
CuiHacohen2023,V0StrongBaseline,1,P_plus_E,1002,251,0.7558299865944209,0.6914983874027698
CuiHacohen2023,V0StrongBaseline,1,P_plus_B_plus_E,1002,251,0.7505604473763092,0.7017241510149876
CuiHacohen2023,V0StrongBaseline,1,P_plus_B_plus_E_dynamic,1002,251,0.7233967690966889,0.7415065755634447
CuiHacohen2023,V0StrongBaseline,2,M,1003,250,0.4431800009836087,0.4352478010507069
CuiHacohen2023,V0StrongBaseline,2,P,1003,250,0.4984157439420377,0.46950165602649635
CuiHacohen2023,V0StrongBaseline,2,P_plus_B,1003,250,0.7267446428940308,0.6044421830749291
CuiHacohen2023,V0StrongBaseline,2,P_plus_E,1003,250,0.7896387853496687,0.701261652186435
CuiHacohen2023,V0StrongBaseline,2,P_plus_B_plus_E,1003,250,0.8306461347037707,0.7059265588249412
CuiHacohen2023,V0StrongBaseline,2,P_plus_B_plus_E_dynamic,1003,250,0.8034116364277274,0.7368793943612342
CuiHacohen2023,V0StrongBaseline,3,M,1003,250,0.44738541723224995,0.4961326014404807
CuiHacohen2023,V0StrongBaseline,3,P,1003,250,0.6183047781260048,0.5692994767916286
CuiHacohen2023,V0StrongBaseline,3,P_plus_B,1003,250,0.8302326141778659,0.6283327413238611
CuiHacohen2023,V0StrongBaseline,3,P_plus_E,1003,250,0.8643153671681647,0.7608571017136273
CuiHacohen2023,V0StrongBaseline,3,P_plus_B_plus_E,1003,250,0.8587321084356881,0.7644298948783179
CuiHacohen2023,V0StrongBaseline,3,P_plus_B_plus_E_dynamic,1003,250,0.7857506918429354,0.7820999009990877
CuiHacohen2023,V0StrongBaseline,4,M,1002,251,0.17212152453733187,0.4008227076055809
CuiHacohen2023,V0StrongBaseline,4,P,1002,251,0.15244276679635482,0.41056953139821667
CuiHacohen2023,V0StrongBaseline,4,P_plus_B,1002,251,0.7079600477823803,0.5446647694934547
CuiHacohen2023,V0StrongBaseline,4,P_plus_E,1002,251,0.7705197822928583,0.6655374691709353
CuiHacohen2023,V0StrongBaseline,4,P_plus_B_plus_E,1002,251,0.8117847897120123,0.6769614873837981
