source,cell_name,tahoe_cell_line_metadata_match,Cell_ID_DepMap,Cell_ID_Cellosaur,Organ,in_tahoe_smoke_25_contexts
Srivatsan/sciplex3,A549,True,ACH-000681,CVCL_0023,Lung,True
Srivatsan/sciplex3,K562,False,,,,False
Srivatsan/sciplex3,MCF7,False,,,,False
