comparison,tahoe_smoke_drugs,other_drugs,overlap_drugs,pct_tahoe_overlap,pct_other_overlap,overlap_examples
tahoe_smoke_vs_srivatsan_sciplex3,273,188,18,0.0659,0.0957,"Altretamine ~= Altretamine; Belinostat ~= Belinostat (PXD101); Celecoxib ~= Celecoxib; Crizotinib (hydrochloride) ~= Crizotinib (PF-02341066); Decitabine ~= Decitabine; Fedratinib (hydrochloride hydrate) ~= Fedratinib (SAR302503, TG101348); Filgotinib ~= Filgotinib (GLPG0634); Fulvestrant ~= Fulvestrant; Lapatinib ditosylate ~= Lapatinib (GW-572016) Ditosylate; Panobinostat ~= Panobinostat (LBH589); Regorafenib ~= Regorafenib (BAY 73-4506); Roxadustat ~= Roxadustat (FG-4592); TAK-901 ~= TAK-901; Temsirolimus ~= Temsirolimus (CCI-779, NSC 683864); Trametinib ~= Trametinib (GSK1120212); Tucidinostat ~= Tucidinostat (Chidamide); Vandetanib ~= Vandetanib (ZD6474); Zileuton ~= Zileuton"
tahoe_smoke_vs_sciplex3_three_file,273,187,20,0.0733,0.107,Altretamine ~= Altretamine; Belinostat ~= Belinostat; Celecoxib ~= Celecoxib; Crizotinib (hydrochloride) ~= Crizotinib; Decitabine ~= Decitabine; Fedratinib (hydrochloride hydrate) ~= Fedratinib; Filgotinib ~= Filgotinib; Fulvestrant ~= Fulvestrant; Panobinostat ~= Panobinostat; Regorafenib ~= Regorafenib; Roxadustat ~= Roxadustat; Rucaparib (phosphate) ~= Rucaparib; TAK-901 ~= TAK901; Temsirolimus ~= Temsirolimus; Tofacitinib ~= Tofacitinib; Trametinib ~= Trametinib; Triamcinolone ~= Triamcinolone; Tucidinostat ~= Tucidinostat; Vandetanib ~= Vandetanib; Zileuton ~= Zileuton
