quadrant,score_name,target_error,n_tasks,spearman
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,20,0.362406015037594
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,20,0.08120300751879699
new_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,20,-0.26165413533834586
new_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,20,0.5293233082706766
new_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,20,0.41804511278195483
new_context_new_perturbation,predicted_magnitude_max,pair_max_rmse,20,-0.26165413533834586
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,16,0.8588235294117647
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,16,0.6647058823529411
new_context_seen_perturbation,predicted_magnitude_cpa,error_cpa_rmse,16,0.2352941176470588
new_context_seen_perturbation,predicted_magnitude_ridge,error_ridge_rmse,16,0.9676470588235294
new_context_seen_perturbation,predicted_magnitude_mean,pair_mean_rmse,16,0.95
new_context_seen_perturbation,predicted_magnitude_max,pair_max_rmse,16,0.3323529411764706
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,35,0.1546218487394958
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,35,0.38179271708683477
seen_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,35,0.36918767507002803
seen_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,35,0.6302521008403362
seen_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,35,0.5739495798319328
seen_context_new_perturbation,predicted_magnitude_max,pair_max_rmse,35,0.35742296918767513
seen_context_seen_perturbation_pair_holdout,cpa_ridge_disagreement_rmse,pair_mean_rmse,6,0.942857142857143
seen_context_seen_perturbation_pair_holdout,cpa_ridge_disagreement_rmse,pair_max_rmse,6,0.8857142857142858
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_cpa,error_cpa_rmse,6,0.5428571428571429
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_ridge,error_ridge_rmse,6,0.6571428571428573
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_mean,pair_mean_rmse,6,0.8857142857142858
seen_context_seen_perturbation_pair_holdout,predicted_magnitude_max,pair_max_rmse,6,0.8857142857142858
