study,partition,n_tasks,max_abs_difference__scgpt_rmse,max_abs_difference__gears_rmse,max_abs_difference__centroid_rmse,max_abs_difference__pair_lower
E176_primary_CD4,H01,480,9.71445146547e-17,9.71445146547e-17,2.35249889013e-10,9.88792381307e-17
E176_primary_CD4,H02,480,9.71445146547e-17,9.71445146547e-17,3.6114852775e-10,9.88792381307e-17
E176_primary_CD4,H03,480,1.11022302463e-16,1.11022302463e-16,1.80043702169e-10,1.00613961607e-16
E176_primary_CD4,H04,480,1.11022302463e-16,1.11022302463e-16,2.38185943191e-10,1.00613961607e-16
E177_Sunshine,all,400,1.11022302463e-16,1.11022302463e-16,1.38177053133e-10,2.31186331884e-09
E180_XuCao,all,73,9.71445146547e-17,9.71445146547e-17,,9.71445146547e-17
