study,study_cn,family,family_cn,n_tasks,n_target_clusters,family_lower_violations,worst_lower_violations,family_upper_task_coverage,family_upper_target_simultaneous_coverage,worst_upper_task_coverage,worst_upper_target_simultaneous_coverage,median_family_rms_error,median_diversity_lower,median_family_upper,median_centroid_reference_shift,max_centroid_reference_shift,median_family_interval_width,median_family_lower_tightness,family_lower_tightness_boot_ci95_low,family_lower_tightness_boot_ci95_high,median_worst_lower_tightness,worst_lower_tightness_boot_ci95_low,worst_lower_tightness_boot_ci95_high,max_family_identity_abs_residual
E176_primary_CD4,E176 四供体原代CD4,architecture_pair,2个架构均值,1920,640,0,0,0.952604166667,0.9046875,0.961458333333,0.91875,0.0963798238772,0.0150731401049,0.211060100905,0,0,0.191777019587,0.151759174933,0.145507381572,0.157425352921,0.147120868555,0.141733315666,0.15339618436,3.16315983823e-17
E176_primary_CD4,E176 四供体原代CD4,frozen_10_seed_family,冻结10模型家族,1920,640,0,0,0.952604166667,0.9046875,0.971354166667,0.93125,0.098193194071,0.0238418509923,0.21345604898,4.81230969442e-10,1.88854681705e-09,0.178249429659,0.240089731289,0.230683426721,0.248184029349,0.243853757291,0.23561681696,0.251815955592,9.22656048785e-17
E176_primary_CD4,E176 四供体原代CD4,nochange_negative_control,加入不变预测（反例）,1920,640,0,0,0.958854166667,0.915625,0.96875,0.9265625,0.0961581716485,0.0159558361625,0.223365976702,0.00680123541376,0.0197200657265,0.199903045646,0.159653025619,0.153129499164,0.166196771855,0.159326607181,0.154286867501,0.165128242498,5.7489820196e-17
E177_Sunshine,E177 独立公开研究,architecture_pair,2个架构均值,400,50,0,0,0.9825,0.88,0.985,0.9,0.216878554309,0.0179661936703,0.500778695164,0,0,0.483817788544,0.08412185795,0.0775745152116,0.0884678189888,0.0832811772581,0.0766113677619,0.0870511863971,3.87060175577e-17
E177_Sunshine,E177 独立公开研究,frozen_10_seed_family,冻结10模型家族,400,50,0,0,0.9825,0.88,0.9875,0.92,0.218991095346,0.0370108351079,0.501698767717,6.26121834462e-10,8.18713392582e-10,0.465616153199,0.169563646419,0.153086461352,0.182754495731,0.205882495354,0.187872422459,0.219436342956,9.6819254003e-17
E177_Sunshine,E177 独立公开研究,nochange_negative_control,加入不变预测（反例）,400,50,0,0,0.985,0.9,0.9875,0.92,0.218135436503,0.0198755270473,0.510138430588,0.00929598343369,0.0132147562711,0.490972159764,0.0924218504407,0.0856340327588,0.0986536990896,0.0857073181899,0.081247124058,0.0924175776981,9.43797991149e-17
E180_XuCao,E180 XuCao独立数据,architecture_pair,2个架构均值,73,27,0,0,1,1,1,1,0.0839387523511,0.0123578971652,0.217160938181,0,0,0.204803041015,0.140039245758,0.130792122342,0.16546636167,0.139160305499,0.129409386078,0.166795230296,6.83047368666e-18
E180_XuCao,E180 XuCao独立数据,frozen_10_seed_family,冻结10模型家族,73,27,0,0,1,1,1,1,0.0856008551319,0.0219588217584,0.217918208153,3.16683478978e-10,4.1668438462e-10,0.195959386395,0.255306431216,0.219494703686,0.291656480575,0.261764581313,0.224601383933,0.296284796074,4.11996825544e-18
E180_XuCao,E180 XuCao独立数据,nochange_negative_control,加入不变预测（反例）,73,27,0,0,1,1,1,1,0.0843794437877,0.0117931254969,0.221471913387,0.00434434897854,0.00554791736356,0.209624635927,0.133084820675,0.124369620959,0.163876623082,0.140677872516,0.129409386078,0.164004083928,3.72694496792e-18
