seed,model,best_epoch,best_validation_mse,pretrained_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,1,0.023279537819325923,129,,
3407,GEARS,13,0.022640309451768797,,1407,4821
3408,scGPT,1,0.023208361864089967,129,,
3408,GEARS,18,0.022620564606040717,,1407,4821
3409,scGPT,3,0.023336922020340958,129,,
3409,GEARS,22,0.022636466349164646,,1407,4821
