quadrant,score_name,target_error,n_tasks,spearman,manifest_id
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,28,0.4876847290640395,E81_r1_p25
new_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,28,0.2025177887246852,E81_r1_p25
new_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,28,0.2457580733442802,E81_r1_p25
new_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,28,0.395183360700602,E81_r1_p25
new_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,28,0.4482758620689655,E81_r1_p25
new_context_new_perturbation,predicted_magnitude_max,pair_max_rmse,28,0.3021346469622332,E81_r1_p25
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,8,0.9285714285714288,E81_r1_p25
new_context_seen_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,8,0.1666666666666667,E81_r1_p25
new_context_seen_perturbation,predicted_magnitude_cpa,error_cpa_rmse,8,0.7380952380952381,E81_r1_p25
new_context_seen_perturbation,predicted_magnitude_ridge,error_ridge_rmse,8,0.9761904761904764,E81_r1_p25
new_context_seen_perturbation,predicted_magnitude_mean,pair_mean_rmse,8,0.9523809523809524,E81_r1_p25
new_context_seen_perturbation,predicted_magnitude_max,pair_max_rmse,8,0.7380952380952381,E81_r1_p25
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_mean_rmse,51,0.3488687782805429,E81_r1_p25
seen_context_new_perturbation,cpa_ridge_disagreement_rmse,pair_max_rmse,51,-0.0289592760180995,E81_r1_p25
seen_context_new_perturbation,predicted_magnitude_cpa,error_cpa_rmse,51,0.412579185520362,E81_r1_p25
seen_context_new_perturbation,predicted_magnitude_ridge,error_ridge_rmse,51,0.7305882352941176,E81_r1_p25
seen_context_new_perturbation,predicted_magnitude_mean,pair_mean_rmse,51,0.5734841628959275,E81_r1_p25
