context,perturbation,n_guide_pairs,cross_guide_rmse_mean,cross_guide_pearson_error_mean,cross_guide_cosine_error_mean
HepG2,ABCF1,1,0.22320533647420412,1.0093386848054395,1.0093386848054395
HepG2,COPZ1,1,0.4064938066963911,0.8473935931172731,0.847393593117273
HepG2,ESF1,1,0.12332564698446241,0.787404279784643,0.7874042797846431
HepG2,GON4L,1,0.16068682091521674,1.1219970361501745,1.1219970361501748
HepG2,RSL1D1,1,0.21894088873595538,0.9692337822587466,0.9692337822587465
HepG2,SEC61A1,1,0.3327567078633102,0.5485911260369822,0.548591126036982
HepG2,SMARCB1,1,0.13757378785029417,1.0042208549211418,1.004220854921142
HepG2,TACC3,1,0.15867907385478608,0.7210420837993563,0.7210420837993562
HepG2,WDR74,1,0.27071399845780403,0.8340325280792622,0.8340325280792621
Jurkat,ABCF1,1,0.20504937215056782,1.0754088457914686,1.0754088457914686
Jurkat,COPZ1,1,0.16394665753344334,1.0251178237620524,1.0251178237620522
Jurkat,ESF1,1,0.19788152539942677,0.9314949673736024,0.9314949673736024
Jurkat,GON4L,1,0.2271934236555492,1.008818543817742,1.008818543817742
Jurkat,RSL1D1,1,0.18873449689831612,1.0655720998073979,1.0655720998073979
Jurkat,SEC61A1,1,0.35016816385971644,1.2755846439989713,1.2755846439989715
Jurkat,SMARCB1,1,0.1010755117086601,0.8019422223793023,0.8019422223793022
Jurkat,TACC3,1,0.11037578661783551,0.8360829996841703,0.8360829996841707
Jurkat,WDR74,1,0.16049637426138721,1.0695767974708517,1.0695767974708517
