context,perturbation,n_cells,n_batches,n_guide_ids,n_transcript_groups,n_transcript_groups_ge10,expression_values_opened_for_freeze
HepG2,ABCF1,96,47,2,2,2,False
HepG2,ACTR2,79,39,1,1,1,False
HepG2,ADAM10,161,54,3,1,1,False
HepG2,ARMC7,66,37,1,1,1,False
HepG2,ATP11B,62,35,1,1,1,False
HepG2,BAP1,100,47,1,1,1,False
HepG2,BPTF,242,54,1,1,1,False
HepG2,C17orf58,56,35,1,1,1,False
HepG2,CCNC,52,34,1,1,1,False
HepG2,CCT4,87,42,1,1,1,False
HepG2,CDIPT,54,41,1,1,1,False
HepG2,CNOT10,86,38,1,1,1,False
HepG2,COPS2,78,42,1,1,1,False
HepG2,COPZ1,55,32,2,2,2,False
HepG2,CSNK2B,111,47,1,1,1,False
HepG2,DBR1,76,40,1,1,1,False
HepG2,DDX1,55,31,1,1,1,False
HepG2,DDX51,147,54,1,1,1,False
HepG2,DHX37,124,50,1,1,1,False
HepG2,DNAJC17,60,33,1,1,1,False
HepG2,DNAJC19,52,30,1,1,1,False
HepG2,DNTTIP2,55,35,1,1,1,False
HepG2,DRAP1,52,34,1,1,1,False
HepG2,DYNLL2,81,40,1,1,1,False
HepG2,EHMT2,101,46,1,1,1,False
HepG2,EIF2B1,189,52,1,1,1,False
HepG2,ELL,232,54,1,1,1,False
HepG2,ELP3,102,41,1,1,1,False
HepG2,ENY2,77,39,1,1,1,False
HepG2,ESF1,165,51,2,2,2,False
HepG2,EXOC5,64,38,1,1,1,False
HepG2,EXOSC7,55,31,1,1,1,False
HepG2,FCF1,65,40,1,1,1,False
HepG2,GINS1,86,42,1,1,1,False
HepG2,GNB1L,55,35,1,1,1,False
HepG2,GON4L,69,39,2,2,2,False
HepG2,GTF2F2,76,39,1,1,1,False
HepG2,IGBP1,61,34,1,1,1,False
HepG2,INO80C,52,35,1,1,1,False
HepG2,IST1,52,32,1,1,1,False
HepG2,KIF18B,80,42,1,1,1,False
HepG2,LAMTOR1,126,46,3,1,1,False
HepG2,LSG1,83,37,1,1,1,False
HepG2,LSM12,69,38,1,1,1,False
HepG2,MED11,90,36,1,1,1,False
HepG2,MICOS10,56,36,1,1,1,False
HepG2,MKRN1,73,41,1,1,1,False
HepG2,MNAT1,69,37,1,1,1,False
HepG2,MPHOSPH6,83,43,1,1,1,False
HepG2,MRPL24,61,35,1,1,1,False
HepG2,MRPL38,55,37,1,1,1,False
HepG2,MRPL41,52,35,1,1,1,False
HepG2,MRPL54,55,35,1,1,1,False
HepG2,MTG2,86,45,1,1,1,False
HepG2,NAA38,96,44,1,1,1,False
HepG2,NAA50,65,36,1,1,1,False
HepG2,NOL11,58,41,1,1,1,False
HepG2,NPLOC4,54,33,1,1,1,False
HepG2,ORC6,52,33,1,1,1,False
HepG2,PFN1,74,37,1,1,1,False
HepG2,PIAS1,50,33,1,1,1,False
HepG2,PNN,170,54,1,1,1,False
HepG2,POLRMT,65,37,1,1,1,False
HepG2,PPIA,51,35,1,1,1,False
HepG2,PPP6C,459,55,1,1,1,False
HepG2,RBM15,75,44,1,1,1,False
HepG2,RCCD1,52,36,1,1,1,False
HepG2,RCL1,109,50,1,1,1,False
HepG2,RHOQ,149,50,1,1,1,False
HepG2,RNGTT,51,33,1,1,1,False
HepG2,RPL37A,76,37,1,1,1,False
HepG2,RPL7L1,56,32,1,1,1,False
HepG2,RPL9,63,36,1,1,1,False
HepG2,RPP14,73,43,1,1,1,False
HepG2,RPS13,148,51,1,1,1,False
HepG2,RSL1D1,166,53,2,2,2,False
HepG2,SART3,355,54,1,1,1,False
HepG2,SEC61A1,110,45,2,2,2,False
HepG2,SIRT7,242,54,3,1,1,False
HepG2,SKA3,57,33,1,1,1,False
HepG2,SMARCB1,81,44,2,2,2,False
HepG2,SRP54,118,49,1,1,1,False
HepG2,TACC3,68,43,2,2,2,False
HepG2,TAF10,50,29,1,1,1,False
HepG2,TAF8,68,39,1,1,1,False
HepG2,TAZ,50,31,1,1,1,False
HepG2,TFAM,1213,56,1,1,1,False
HepG2,TGS1,55,33,1,1,1,False
HepG2,TTC1,76,42,1,1,1,False
HepG2,TUBGCP2,64,36,1,1,1,False
HepG2,UBE2L3,53,34,1,1,1,False
HepG2,USP14,93,44,1,1,1,False
HepG2,WDR33,63,42,1,1,1,False
HepG2,WDR74,79,38,2,2,2,False
HepG2,WDR75,50,36,1,1,1,False
HepG2,YRDC,96,44,1,1,1,False
Jurkat,ABCF1,145,50,2,2,2,False
Jurkat,ACTR2,89,45,1,1,1,False
Jurkat,ADAM10,290,55,3,1,1,False
Jurkat,ARMC7,168,52,1,1,1,False
Jurkat,ATP11B,192,52,1,1,1,False
Jurkat,BAP1,200,54,1,1,1,False
Jurkat,BPTF,62,37,1,1,1,False
Jurkat,C17orf58,151,50,1,1,1,False
Jurkat,CCNC,82,44,1,1,1,False
Jurkat,CCT4,60,37,1,1,1,False
Jurkat,CDIPT,175,53,1,1,1,False
Jurkat,CNOT10,100,48,1,1,1,False
Jurkat,COPS2,66,38,1,1,1,False
Jurkat,COPZ1,133,52,2,2,2,False
Jurkat,CSNK2B,149,50,1,1,1,False
Jurkat,DBR1,155,51,1,1,1,False
Jurkat,DDX1,116,48,1,1,1,False
Jurkat,DDX51,295,55,1,1,1,False
Jurkat,DHX37,134,49,1,1,1,False
Jurkat,DNAJC17,79,40,1,1,1,False
Jurkat,DNAJC19,114,50,1,1,1,False
Jurkat,DNTTIP2,70,39,1,1,1,False
Jurkat,DRAP1,141,48,1,1,1,False
Jurkat,DYNLL2,164,53,1,1,1,False
Jurkat,EHMT2,125,46,1,1,1,False
Jurkat,EIF2B1,257,53,1,1,1,False
Jurkat,ELL,92,46,1,1,1,False
Jurkat,ELP3,210,51,1,1,1,False
Jurkat,ENY2,102,41,1,1,1,False
Jurkat,ESF1,238,55,2,2,2,False
Jurkat,EXOC5,102,42,1,1,1,False
Jurkat,EXOSC7,74,42,1,1,1,False
Jurkat,FCF1,86,43,1,1,1,False
Jurkat,GINS1,238,53,1,1,1,False
Jurkat,GNB1L,139,47,1,1,1,False
Jurkat,GON4L,101,45,2,2,2,False
Jurkat,GTF2F2,121,51,1,1,1,False
Jurkat,IGBP1,72,40,1,1,1,False
Jurkat,INO80C,188,53,1,1,1,False
Jurkat,IST1,122,49,1,1,1,False
Jurkat,KIF18B,90,41,1,1,1,False
Jurkat,LAMTOR1,293,53,3,1,1,False
Jurkat,LSG1,167,53,1,1,1,False
Jurkat,LSM12,108,45,1,1,1,False
Jurkat,MED11,95,43,1,1,1,False
Jurkat,MICOS10,150,50,1,1,1,False
Jurkat,MKRN1,181,53,1,1,1,False
Jurkat,MNAT1,145,48,1,1,1,False
Jurkat,MPHOSPH6,263,54,1,1,1,False
Jurkat,MRPL24,147,49,1,1,1,False
Jurkat,MRPL38,131,51,1,1,1,False
Jurkat,MRPL41,151,53,1,1,1,False
Jurkat,MRPL54,156,52,1,1,1,False
Jurkat,MTG2,182,51,1,1,1,False
Jurkat,NAA38,52,34,1,1,1,False
Jurkat,NAA50,73,42,1,1,1,False
Jurkat,NOL11,151,52,1,1,1,False
Jurkat,NPLOC4,136,50,1,1,1,False
Jurkat,ORC6,52,35,1,1,1,False
Jurkat,PFN1,133,51,1,1,1,False
Jurkat,PIAS1,60,37,1,1,1,False
Jurkat,PNN,94,45,1,1,1,False
Jurkat,POLRMT,190,53,1,1,1,False
Jurkat,PPIA,140,50,1,1,1,False
Jurkat,PPP6C,1186,55,1,1,1,False
Jurkat,RBM15,134,49,1,1,1,False
Jurkat,RCCD1,59,38,1,1,1,False
Jurkat,RCL1,199,53,1,1,1,False
Jurkat,RHOQ,313,54,1,1,1,False
Jurkat,RNGTT,62,35,1,1,1,False
Jurkat,RPL37A,68,37,1,1,1,False
Jurkat,RPL7L1,76,42,1,1,1,False
Jurkat,RPL9,50,31,1,1,1,False
Jurkat,RPP14,224,54,1,1,1,False
Jurkat,RPS13,290,54,1,1,1,False
Jurkat,RSL1D1,274,54,2,2,2,False
Jurkat,SART3,201,55,1,1,1,False
Jurkat,SEC61A1,163,52,2,2,2,False
Jurkat,SIRT7,271,55,3,1,1,False
Jurkat,SKA3,93,42,1,1,1,False
Jurkat,SMARCB1,204,53,2,2,2,False
Jurkat,SRP54,171,51,1,1,1,False
Jurkat,TACC3,148,51,2,2,2,False
Jurkat,TAF10,120,49,1,1,1,False
Jurkat,TAF8,174,53,1,1,1,False
Jurkat,TAZ,92,49,1,1,1,False
Jurkat,TFAM,2555,55,1,1,1,False
Jurkat,TGS1,157,50,1,1,1,False
Jurkat,TTC1,173,52,1,1,1,False
Jurkat,TUBGCP2,58,35,1,1,1,False
Jurkat,UBE2L3,101,42,1,1,1,False
Jurkat,USP14,175,52,1,1,1,False
Jurkat,WDR33,51,35,1,1,1,False
Jurkat,WDR74,138,50,2,2,2,False
Jurkat,WDR75,149,50,1,1,1,False
Jurkat,YRDC,226,54,1,1,1,False
