metric,n_bootstrap,median,ci95_low,ci95_high,fraction_above_zero
directional_risk_vs_model_direction_error,3000,0.38094528547812245,0.23583766257978003,0.513339387677592,1.0
directional_risk_vs_split_half_direction_noise,3000,-0.12737220042547673,-0.2916063403079609,0.03249216339964697,0.060333333333333336
high_repro_directional_risk_vs_model_direction_error,3000,0.3250979594209405,0.08268694845973266,0.5291914192882184,0.9966666666666667
partial_directional_risk_vs_model_error_control_noise_ncells,3000,0.5153684144483455,0.3728452878829361,0.6385065865242416,1.0
