context,perturbation,n_cells_noise,n_split_repeats,split_half_rmse_mean,split_half_rmse_sd,split_half_pearson_error_mean,split_half_cosine_error_mean
HepG2,ABCF1,96,50,0.10886103371839924,0.009033464076039095,0.25792652065859983,0.2579265206585999
HepG2,ACTR2,79,50,0.11571917297729799,0.007618544317301197,0.6872665299301123,0.6872665299301123
HepG2,ADAM10,161,50,0.08701857055604326,0.007182389254283066,0.2677702944632225,0.2677702944632224
HepG2,ARMC7,66,50,0.13806275599867424,0.011300140723922495,0.6622762402505766,0.6622762402505766
HepG2,ATP11B,62,50,0.13009993765904823,0.011707345824457432,0.21258807926008225,0.2125880792600823
HepG2,BAP1,100,50,0.10517427616228303,0.007640920980156829,0.4463061984869687,0.4463061984869687
HepG2,BPTF,242,50,0.0680322784509798,0.006922758122697934,0.22327401021044127,0.2232740102104412
HepG2,CCT4,87,50,0.1259387008716853,0.010554455065560001,0.164361963920366,0.164361963920366
HepG2,CNOT10,86,50,0.10353000450368705,0.005750887916456288,0.3598744070782179,0.3598744070782179
HepG2,COPS2,78,50,0.12307429187533529,0.009413225150191102,0.293885798926733,0.29388579892673294
HepG2,CSNK2B,111,50,0.10292614345836885,0.006077914929771935,0.24408573331561978,0.2440857333156198
HepG2,DBR1,76,50,0.12101751759286289,0.006182411725607247,0.23182643651640522,0.2318264365164052
HepG2,DDX51,147,50,0.08694635290492082,0.005258014186007831,0.07070043690146971,0.07070043690146964
HepG2,DHX37,124,50,0.09404327825505222,0.005517414635422741,0.5230297947102122,0.5230297947102122
HepG2,DNAJC17,60,50,0.1483257042958512,0.010672053635756722,0.16170585802835788,0.16170585802835788
HepG2,DYNLL2,81,50,0.11868926500242144,0.008243378170009733,0.8993169382878619,0.8993169382878619
HepG2,EHMT2,101,50,0.09941884270121411,0.006422508026981919,0.6006488477668773,0.6006488477668773
HepG2,EIF2B1,189,50,0.08313100887632384,0.0066300618038084526,0.08600793361706263,0.08600793361706258
HepG2,ELL,232,50,0.07000266716365668,0.005129256405678743,0.31321578469116157,0.31321578469116157
HepG2,ELP3,102,50,0.10648692567990162,0.008054836650054137,0.30720431460553765,0.3072043146055376
HepG2,ENY2,77,50,0.12595799154385812,0.010609297356171282,0.29601484126828886,0.29601484126828886
HepG2,ESF1,165,50,0.08294868583674925,0.006760550245186317,0.4094913081594389,0.409491308159439
HepG2,EXOC5,64,50,0.129811651531989,0.005819992426802572,0.7171101495405797,0.7171101495405797
HepG2,GINS1,86,50,0.11671741962373133,0.007285863517635154,0.19947651086748977,0.1994765108674897
HepG2,GTF2F2,76,50,0.12704222070627164,0.0077830220056779205,0.26454968035194426,0.26454968035194426
HepG2,IGBP1,61,50,0.17962928884747584,0.02023072659138643,0.2549302409084069,0.2549302409084069
HepG2,KIF18B,80,50,0.11524009955364609,0.007371307874531287,0.24992944141534781,0.2499294414153478
HepG2,LAMTOR1,126,50,0.08539040508473922,0.004343111677523335,0.5808514182855619,0.5808514182855619
HepG2,LSG1,83,50,0.12411437211910363,0.01106350868184235,0.09752134950710253,0.09752134950710245
HepG2,LSM12,69,50,0.1224507593673233,0.010195191781406928,0.572111499079893,0.572111499079893
HepG2,MED11,90,50,0.12235228738072741,0.004845837016171421,0.2242307377576666,0.22423073775766666
HepG2,MKRN1,73,50,0.12577785773529226,0.008344664974288924,1.0220016605262037,1.0220016605262037
HepG2,MNAT1,69,50,0.13592076038951856,0.008636200833498406,0.6519923822012004,0.6519923822012004
HepG2,MPHOSPH6,83,50,0.11351315756019681,0.008911102135519636,0.3941620227375269,0.3941620227375269
HepG2,MRPL24,61,50,0.12669465858978626,0.0092292309855772,0.3274029239337621,0.327402923933762
HepG2,MTG2,86,50,0.11461278683165264,0.0067330463071890315,0.9171359433586663,0.9171359433586663
HepG2,NAA38,96,50,0.12628207722843807,0.009072094100745788,0.126528017767641,0.12652801776764103
HepG2,NAA50,65,50,0.1451166460917987,0.019238835221948292,0.6186098709278948,0.6186098709278948
HepG2,PFN1,74,50,0.12080727525656945,0.008116226101725393,0.28408469867028346,0.28408469867028363
HepG2,PNN,170,50,0.08267848956197779,0.007494989019852235,0.13361600794947084,0.13361600794947076
HepG2,POLRMT,65,50,0.15185234550100968,0.020644837354328694,0.1376804769518734,0.13768047695187347
HepG2,PPP6C,459,50,0.046693811384664156,0.002508445524542644,0.16492243103169418,0.1649224310316942
HepG2,RBM15,75,50,0.12552447402765535,0.006766490232884947,0.6167292027929854,0.6167292027929854
