context,perturbation,guide_group_left,guide_group_right,n_left,n_right,cross_guide_rmse,cross_guide_pearson_error,cross_guide_cosine_error
HepG2,ABCF1,P1,P2,64,32,0.22320533647420412,1.0093386848054395,1.0093386848054395
HepG2,COPZ1,P2,P1,44,11,0.4064938066963911,0.8473935931172731,0.847393593117273
HepG2,ESF1,P1,P2,138,27,0.12332564698446241,0.787404279784643,0.7874042797846431
HepG2,GON4L,P1,P2,39,30,0.16068682091521674,1.1219970361501745,1.1219970361501748
HepG2,RSL1D1,P1,P2,102,64,0.21894088873595538,0.9692337822587466,0.9692337822587465
HepG2,SEC61A1,P1,P2,73,37,0.3327567078633102,0.5485911260369822,0.548591126036982
HepG2,SMARCB1,P1,P2,46,35,0.13757378785029417,1.0042208549211418,1.004220854921142
HepG2,TACC3,P1,P2,51,17,0.15867907385478608,0.7210420837993563,0.7210420837993562
HepG2,WDR74,P1,P2,43,36,0.27071399845780403,0.8340325280792622,0.8340325280792621
Jurkat,ABCF1,P1,P2,74,71,0.20504937215056782,1.0754088457914686,1.0754088457914686
Jurkat,COPZ1,P2,P1,114,19,0.16394665753344334,1.0251178237620524,1.0251178237620522
Jurkat,ESF1,P1,P2,155,83,0.19788152539942677,0.9314949673736024,0.9314949673736024
Jurkat,GON4L,P2,P1,62,39,0.2271934236555492,1.008818543817742,1.008818543817742
Jurkat,RSL1D1,P1,P2,156,118,0.18873449689831612,1.0655720998073979,1.0655720998073979
Jurkat,SEC61A1,P1,P2,92,71,0.35016816385971644,1.2755846439989713,1.2755846439989715
Jurkat,SMARCB1,P1,P2,111,93,0.1010755117086601,0.8019422223793023,0.8019422223793022
Jurkat,TACC3,P1,P2,104,44,0.11037578661783551,0.8360829996841703,0.8360829996841707
Jurkat,WDR74,P1,P2,105,33,0.16049637426138721,1.0695767974708517,1.0695767974708517
