input_batch,pair_group,directional_pair,source_dataset,target_dataset,n_tasks,score_name,spearman_vs_error,top20_error_enrichment,deployable
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_cross_dataset,0.6024710710399187,1.3722015657417654,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_disagreement,0.5472568071435144,1.3722015657417654,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_low_context_similarity,0.6024710710399187,1.3722015657417654,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_low_source_support,,0.9206923654162368,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_predicted_magnitude,0.6034769472791941,1.3722015657417654,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,risk_without_predicted_magnitude,0.5501547225038196,1.3722015657417654,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_cross_dataset,-0.1533857797849622,0.8541222059547124,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_disagreement,0.14213381090374028,1.0205981135450308,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_low_context_similarity,-0.1533857797849622,0.8541222059547124,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_low_source_support,,1.0205981135450308,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_predicted_magnitude,-0.14213381090374028,0.9513566261511143,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,risk_without_predicted_magnitude,0.14111491740216522,0.8541222059547124,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_cross_dataset,0.29701403707121016,0.96771513487836,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_disagreement,0.4438335239571218,1.0475419932662913,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_low_context_similarity,0.29701403707121016,0.96771513487836,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_low_source_support,,1.0475419932662913,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_predicted_magnitude,0.4438335239571218,1.0475419932662913,True
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,risk_without_predicted_magnitude,0.29701403707121016,0.96771513487836,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_cross_dataset,0.0023325760493802163,1.0583819539355181,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_disagreement,0.01779118358724039,0.9678750116430874,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_low_context_similarity,0.04848425931211735,1.036739512545085,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_low_source_support,,1.063389566976277,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_predicted_magnitude,0.01957030194596443,0.9678750116430874,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,risk_without_predicted_magnitude,0.08963756532618258,1.0583819539355181,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_cross_dataset,-0.22701095408174404,0.864677424922807,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_disagreement,0.28426762180748055,1.0354436908436482,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_low_context_similarity,-0.22701095408174404,0.864677424922807,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_low_source_support,,1.0354436908436482,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_predicted_magnitude,-0.28426762180748055,0.9271651382302124,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,risk_without_predicted_magnitude,0.23928181646454103,0.864677424922807,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_cross_dataset,0.30283784171966527,1.0666327239960194,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_disagreement,0.3833107706902416,1.0666327239960194,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_low_context_similarity,-0.05823804648455101,0.8870965482171148,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_low_source_support,,1.0666327239960194,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_predicted_magnitude,0.3833107706902416,1.0666327239960194,True
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,risk_without_predicted_magnitude,0.30283784171966527,1.0666327239960194,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_cross_dataset,-0.017835013579811404,0.6394452798312752,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_disagreement,,0.9950152417262343,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_low_context_similarity,-0.017835013579811404,0.6394452798312752,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_low_source_support,,0.9950152417262343,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_predicted_magnitude,,0.9950152417262343,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,risk_without_predicted_magnitude,-0.017835013579811404,0.6394452798312752,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_cross_dataset,-0.2094745746691245,0.7074859606673278,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_disagreement,,0.9070647568958646,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_low_context_similarity,-0.2094745746691245,0.7074859606673278,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_low_source_support,,0.9070647568958646,True
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,risk_predicted_magnitude,,0.9070647568958646,True
