input_batch,pair_group,directional_pair,source_dataset,target_dataset,n_tasks,rho_full,rho_predicted_magnitude,rho_without_predicted_magnitude,delta_full_minus_predicted_magnitude,bootstrap_delta_full_minus_predicted_magnitude_ci95_low,bootstrap_delta_full_minus_predicted_magnitude_ci95_high,delta_full_minus_without_magnitude,bootstrap_delta_full_minus_without_magnitude_ci95_low,bootstrap_delta_full_minus_without_magnitude_ci95_high,verdict
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> McFarland_cellline,KaggleCrossCell_celltype,McFarland_cellline,42,0.6024710710399187,0.6034769472791941,0.5501547225038196,-0.001005876239275394,-0.21287739121512145,0.2397037897745931,0.05231634853609912,-0.01773484588099569,0.16440806197825852,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> crossPatient_patient,KaggleCrossCell_celltype,crossPatient_patient,10,-0.1533857797849622,-0.14213381090374028,0.14111491740216522,-0.01125196888122193,-0.95948374255985,0.8384870208285548,-0.29450069718712746,-0.9903181989989287,0.3364749978331765,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,KaggleCrossCell_celltype -> sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline,27,0.29701403707121016,0.4438335239571218,0.29701403707121016,-0.14681948688591162,-0.3665883474242429,0.02666555124763572,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> McFarland_cellline,KaggleCrossPatient_celltype,McFarland_cellline,42,0.0023325760493802163,0.01957030194596443,0.08963756532618258,-0.017237725896584212,-0.2022757298785566,0.14628796112698111,-0.08730498927680237,-0.44373417895713063,0.27702920637600376,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> crossPatient_patient,KaggleCrossPatient_celltype,crossPatient_patient,10,-0.22701095408174404,-0.28426762180748055,0.23928181646454103,0.05725666772573651,-0.8915308180899886,0.979932108395757,-0.46629277054628504,-1.133845387052967,0.07695571128445142,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,KaggleCrossPatient_celltype -> sciplex3_cellline,KaggleCrossPatient_celltype,sciplex3_cellline,27,0.30283784171966527,0.3833107706902416,0.30283784171966527,-0.08047292897057634,-0.343649629871703,0.142750952702333,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype,24,-0.017835013579811404,,-0.017835013579811404,,,,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,McFarland_cellline -> KaggleCrossPatient_celltype,McFarland_cellline,KaggleCrossPatient_celltype,38,-0.2094745746691245,,-0.2094745746691245,,,,0.0,0.0,0.0,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,McFarland_cellline -> crossPatient_patient,McFarland_cellline,crossPatient_patient,10,0.4540219081634881,,0.4540219081634881,,,,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,McFarland_cellline -> sciplex3_cellline,McFarland_cellline,sciplex3_cellline,27,-0.05823804648455101,0.050435627722400206,-0.05823804648455101,-0.10867367420695122,-0.35171940042219413,0.13123580828856674,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,crossPatient_patient -> KaggleCrossCell_celltype,crossPatient_patient,KaggleCrossCell_celltype,24,0.09786392066870875,-0.03705398374899089,0.10243700107378859,0.13491790441769963,-0.17929831905923532,0.46818799627552016,-0.004573080405079838,-0.2120317237811716,0.24394649269336968,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,crossPatient_patient -> KaggleCrossPatient_celltype,crossPatient_patient,KaggleCrossPatient_celltype,38,0.10679751042407784,0.18529229431693678,0.05490216125033407,-0.07849478389285894,-0.33101373690031716,0.1738754845614465,0.05189534917374377,-0.04136430623614717,0.17766713333830392,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,crossPatient_patient -> McFarland_cellline,crossPatient_patient,McFarland_cellline,42,0.251501681895674,0.21810544311908917,0.251501681895674,0.03339623877658485,-0.13633121387915242,0.19694469203716947,0.0,0.0,0.0,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,crossPatient_patient -> sciplex3_cellline,crossPatient_patient,sciplex3_cellline,27,-0.4484329579310428,,-0.4484329579310428,,,,0.0,0.0,0.0,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,sciplex3_cellline -> KaggleCrossCell_celltype,sciplex3_cellline,KaggleCrossCell_celltype,24,0.22499555592992848,0.3038426667417252,-0.22499555592992848,-0.07884711081179674,-0.3658289607651084,0.19441920680774008,0.44999111185985696,-0.09161258216434696,0.9525834620180464,任务数不足 30：只作探索性比较
E55,hard_chemical_cross_dataset,sciplex3_cellline -> KaggleCrossPatient_celltype,sciplex3_cellline,KaggleCrossPatient_celltype,38,0.09944752534796822,0.202330029747047,-0.13842471893339808,-0.10288250439907878,-0.3715101185088915,0.1817127610704265,0.2378722442813663,-0.09752904456443748,0.5758425890557853,总分与预测幅度差异不明确
E55,hard_chemical_cross_dataset,sciplex3_cellline -> McFarland_cellline,sciplex3_cellline,McFarland_cellline,42,0.0003332251499114595,0.055344022822403874,-0.04248620661371108,-0.055010797672492416,-0.28763579624933744,0.17331011155252396,0.04281943176362254,-0.2651093817586386,0.37376688942076236,总分与预测幅度差异不明确
