seed,model,best_epoch,best_validation_mse,matched_pretrained_parameter_tensors,n_go_edges,n_coexpression_edges
3407,scGPT,6,0.022317130118608475,129,,
3407,GEARS,14,0.020780949853360653,,1570,4137
3408,scGPT,8,0.021672267466783524,129,,
3408,GEARS,13,0.020244983956217766,,1570,4137
3409,scGPT,2,0.065036159008741379,129,,
3409,GEARS,15,0.020849589258432388,,1570,4137
3410,scGPT,9,0.021854011341929436,129,,
3410,GEARS,13,0.020331420935690403,,1570,4137
3411,scGPT,3,0.02745349146425724,129,,
3411,GEARS,24,0.020932527258992195,,1570,4137
