perturbation,guide_id,n_guide_cells,target_split,cell_count_quartile,selection_hash,task_id,target_cluster_id,truth_access_phase,primary_task_unit,selection_used_expression_matrix_or_truth_effect,effect_asset_key,pretruth_x_access,family_diversity_lower,family_radius,family_diameter,worst_member_lower,two_architecture_mean_lower,registered_family_centroid_magnitude,scgpt_seed_spread,gears_seed_spread,constant_centroid_base,calibration_or_evaluation_truth_present,registered_family_size,learned_or_adaptive_upper_fitted
AGGF1,AGGF1_1,18,prospective_evaluation,Q1_low,f3b26705e31294d7a5134a9d0a7180c2e0dc12b30cb8721f3165d2df9844cf44,E182::AGGF1::AGGF1_1,AGGF1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071921589605887709,0.17835421608805013,0.21872070156021942,0.10936035078010971,0.032669065748161127,0.036762099278573858,0.083677127957344055,0.034771151840686798,0,False,10,False
AGGF1,AGGF1_2,14,prospective_evaluation,Q1_low,f3b26705e31294d7a5134a9d0a7180c2e0dc12b30cb8721f3165d2df9844cf44,E182::AGGF1::AGGF1_2,AGGF1,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.071955330843499851,0.17834604929594766,0.21872070156021942,0.10936035078010971,0.032728988087321449,0.036850764370555809,0.083677127957344055,0.034798052161931992,0,False,10,False
AKAP8L,AKAP8L_1,28,supervised_train,Q3,2d45d481e0b3e41fc3a202b9320cc4179bc7d66649b8d526e129da4d2238cef3,E182::AKAP8L::AKAP8L_1,AKAP8L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::AKAP8L::AKAP8L_1,SEEN_TARGET_EFFECT_AVAILABLE,0.071728072355246003,0.18076743063465889,0.21862865648692578,0.10931432824346289,0.035198106731947496,0.033686232556399576,0.083678789436817169,0.028458390384912491,0,False,10,False
AKAP8L,AKAP8L_2,30,supervised_train,Q3,2d45d481e0b3e41fc3a202b9320cc4179bc7d66649b8d526e129da4d2238cef3,E182::AKAP8L::AKAP8L_2,AKAP8L,F2_PRETRUTH_SUPERVISED,guide_replicate_effect_vs_negative_guide_controls,False,E182::AKAP8L::AKAP8L_2,SEEN_TARGET_EFFECT_AVAILABLE,0.071728072355246003,0.18076743063465889,0.21862865648692578,0.10931432824346289,0.035198106731947496,0.033686232556399576,0.083678789436817169,0.028458390384912491,0,False,10,False
ANKHD1,ANKHD1_1,26,model_validation,Q2,57da725d2495c7837595ff87e7384efbe6116ea8881f408d79ab23191ce3b74b,E182::ANKHD1::ANKHD1_1,ANKHD1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::ANKHD1::ANKHD1_1,SEEN_TARGET_EFFECT_AVAILABLE,0.073189072770917268,0.17903702078539893,0.21878242091324407,0.10939121045662203,0.032546249261714399,0.034991880065714943,0.083699077367782593,0.039865139871835709,0,False,10,False
ANKHD1,ANKHD1_2,16,model_validation,Q2,57da725d2495c7837595ff87e7384efbe6116ea8881f408d79ab23191ce3b74b,E182::ANKHD1::ANKHD1_2,ANKHD1,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::ANKHD1::ANKHD1_2,SEEN_TARGET_EFFECT_AVAILABLE,0.073189072770917268,0.17903702078539893,0.21878242091324407,0.10939121045662203,0.032546249261714399,0.034991880065714943,0.083699077367782593,0.039865139871835709,0,False,10,False
BUD13,BUD13_1,17,prospective_evaluation,Q3,f8e8558f83e9619f652244d24f3711b6a5a141512a2555599a914530dbb67a2f,E182::BUD13::BUD13_1,BUD13,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073155236811301594,0.18007151462037757,0.21865548141561242,0.10932774070780621,0.03380073144331721,0.03413022622080214,0.083644263446331024,0.037709895521402359,0,False,10,False
BUD13,BUD13_2,31,prospective_evaluation,Q3,f8e8558f83e9619f652244d24f3711b6a5a141512a2555599a914530dbb67a2f,E182::BUD13::BUD13_2,BUD13,F4_EVALUATION_ONLY,guide_replicate_effect_vs_negative_guide_controls,False,,QUERY_ONLY,0.073155236811301594,0.18007151462037757,0.21865548141561242,0.10932774070780621,0.03380073144331721,0.03413022622080214,0.083644263446331024,0.037709895521402359,0,False,10,False
CNOT4,CNOT4_1,14,model_validation,Q1_low,9696b70c3015f8e25aeb440593e09c8da1bc9e98453423ae924ae056ca6b2fb6,E182::CNOT4::CNOT4_1,CNOT4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::CNOT4::CNOT4_1,SEEN_TARGET_EFFECT_AVAILABLE,0.072568508153444414,0.17836098192768204,0.21867049387775081,0.10933524693887541,0.033154323295659628,0.037100739356010569,0.083669193089008331,0.03651607409119606,0,False,10,False
CNOT4,CNOT4_2,19,model_validation,Q1_low,9696b70c3015f8e25aeb440593e09c8da1bc9e98453423ae924ae056ca6b2fb6,E182::CNOT4::CNOT4_2,CNOT4,F2_PRETRUTH_VALIDATION,guide_replicate_effect_vs_negative_guide_controls,False,E182::CNOT4::CNOT4_2,SEEN_TARGET_EFFECT_AVAILABLE,0.072568508153444414,0.17836098192768204,0.21867049387775081,0.10933524693887541,0.033154323295659628,0.037100739356010569,0.083669193089008331,0.03651607409119606,0,False,10,False
