dataset,predictor,fold_id,method,n_tasks,utility20,spearman
CuiHacohen2023,V0StrongBaseline,2,Ridge_M,250,0.4431800009836087,0.4356661066577065
CuiHacohen2023,V0StrongBaseline,2,Ridge_M_Qbasic,250,0.4178255725024003,0.43843632698123164
CuiHacohen2023,V0StrongBaseline,2,Ridge_M_Qbasic_Hraw,250,0.4537798089849997,0.43522526760428165
CuiHacohen2023,V0StrongBaseline,3,Ridge_M,250,0.44738541723224995,0.49610867373877976
CuiHacohen2023,V0StrongBaseline,3,Ridge_M_Qbasic,250,0.5279331034512852,0.4776103297652761
CuiHacohen2023,V0StrongBaseline,3,Ridge_M_Qbasic_Hraw,250,0.4486095870471207,0.48370911534584554
CuiHacohen2023,V0StrongBaseline,4,Ridge_M,251,0.17212152453733187,0.4007945361411497
CuiHacohen2023,V0StrongBaseline,4,Ridge_M_Qbasic,251,0.1829359874677693,0.40279491557579206
CuiHacohen2023,V0StrongBaseline,4,Ridge_M_Qbasic_Hraw,251,0.2278505971014328,0.4023980269398596
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,Ridge_M,64,0.009610443029533925,0.09368131868131868
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,Ridge_M_Qbasic,64,-0.11426358263869985,0.02600732600732601
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,0,Ridge_M_Qbasic_Hraw,64,0.12011210643795187,0.07989926739926738
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,Ridge_M,64,-0.1505269845749414,0.21034798534798532
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,Ridge_M_Qbasic,64,0.0399212812771461,0.2641483516483516
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,1,Ridge_M_Qbasic_Hraw,64,0.1517691901115002,0.22623626373626374
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,Ridge_M,66,0.3494489620842786,0.11370420624151971
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,Ridge_M_Qbasic,66,0.3749227577573214,0.2156977351007202
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,2,Ridge_M_Qbasic_Hraw,66,0.7589892795695397,0.2301429913370212
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,Ridge_M,65,0.16194567743522056,0.12058566433566432
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,Ridge_M_Qbasic,65,0.29217158327391207,0.2495192307692308
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,3,Ridge_M_Qbasic_Hraw,65,0.4143897484263414,0.2675699300699301
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,Ridge_M,64,-0.1205425234233369,0.17756410256410252
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,Ridge_M_Qbasic,64,-0.02621256093439001,0.22811355311355308
LaraAstiasoHuntly2023_exvivo,ContextSimBaseline,4,Ridge_M_Qbasic_Hraw,64,0.12110205783237693,0.24436813186813183
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,Ridge_M,64,0.08856385942476924,0.2711282352153499
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,Ridge_M_Qbasic,64,0.0855542529769354,0.27048694525200895
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,0,Ridge_M_Qbasic_Hraw,64,0.08856385942476924,0.2625624335621533
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,Ridge_M,64,0.40730931679147775,0.44745561293114633
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,Ridge_M_Qbasic,64,0.403659209930748,0.44053749512511525
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,1,Ridge_M_Qbasic_Hraw,64,0.403659209930748,0.4614751099420439
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,Ridge_M,66,0.5187908854708175,0.7156823102580506
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,Ridge_M_Qbasic,66,0.4942655553591836,0.7084135312488923
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,2,Ridge_M_Qbasic_Hraw,66,0.5208237989014283,0.7120882590758199
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,Ridge_M,65,-0.006375972309450717,0.3621436566473236
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,Ridge_M_Qbasic,65,-0.007727231884115173,0.3829587723345936
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,3,Ridge_M_Qbasic_Hraw,65,-0.010390822932928404,0.3760932824965655
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,Ridge_M,64,0.07104233228897783,0.5283910613062359
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,Ridge_M_Qbasic,64,0.06838550402596018,0.5139579027637919
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,4,Ridge_M_Qbasic_Hraw,64,0.07104233228897783,0.5462148666173811
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,Ridge_M,64,0.032428562078923126,0.2923534798534798
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,Ridge_M_Qbasic,64,0.03322969582402763,0.27358058608058605
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,0,Ridge_M_Qbasic_Hraw,64,0.032428562078923126,0.2672161172161172
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,Ridge_M,64,0.3313291137268835,0.5367216117216117
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,Ridge_M_Qbasic,64,0.3299461403467875,0.5416666666666666
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,1,Ridge_M_Qbasic_Hraw,64,0.3299461403467875,0.5263278388278387
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,Ridge_M,66,0.4467007432781854,0.7041644922241939
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,Ridge_M_Qbasic,66,0.42269531285907747,0.7001983091535331
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,2,Ridge_M_Qbasic_Hraw,66,0.44710001858822424,0.7111366245694605
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,Ridge_M,65,-0.04522316098522805,0.4468531468531468
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,Ridge_M_Qbasic,65,-0.04641287295005639,0.4551136363636364
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,3,Ridge_M_Qbasic_Hraw,65,-0.04982704589058491,0.4314685314685315
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,Ridge_M,64,0.020791605350027827,0.6162087912087911
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,Ridge_M_Qbasic,64,0.019751120239943087,0.6128663003663003
LaraAstiasoHuntly2023_exvivo,V0StrongBaseline,4,Ridge_M_Qbasic_Hraw,64,0.019751120239943087,0.5841575091575092
SantinhaPlatt2023,ContextSimBaseline,0,Ridge_M,55,0.25188463822314094,0.42041847041847047
SantinhaPlatt2023,ContextSimBaseline,0,Ridge_M_Qbasic,55,0.1398180727892399,0.34473304473304484
SantinhaPlatt2023,ContextSimBaseline,0,Ridge_M_Qbasic_Hraw,55,0.1299181304012489,0.31450216450216456
SantinhaPlatt2023,ContextSimBaseline,1,Ridge_M,53,0.25377323769706744,0.3969521044992743
SantinhaPlatt2023,ContextSimBaseline,1,Ridge_M_Qbasic,53,0.16384374248507866,0.4147718109982261
SantinhaPlatt2023,ContextSimBaseline,1,Ridge_M_Qbasic_Hraw,53,0.15439048378048334,0.40477342364134816
SantinhaPlatt2023,ContextSimBaseline,2,Ridge_M,55,0.22685144164091617,0.2164502164502165
SantinhaPlatt2023,ContextSimBaseline,2,Ridge_M_Qbasic,55,0.07626100996140826,0.28730158730158734
SantinhaPlatt2023,ContextSimBaseline,2,Ridge_M_Qbasic_Hraw,55,0.1650210139521034,0.2683261183261184
SantinhaPlatt2023,ContextSimBaseline,3,Ridge_M,56,0.0007860809654339806,0.22863978127136023
SantinhaPlatt2023,ContextSimBaseline,3,Ridge_M_Qbasic,56,0.024817606289876018,0.15974025974025977
SantinhaPlatt2023,ContextSimBaseline,3,Ridge_M_Qbasic_Hraw,56,0.024817606289876018,0.1664388243335612
SantinhaPlatt2023,ContextSimBaseline,4,Ridge_M,54,0.5081012952783043,0.3747284162378502
SantinhaPlatt2023,ContextSimBaseline,4,Ridge_M_Qbasic,54,0.505928490373656,0.3500285877644368
SantinhaPlatt2023,ContextSimBaseline,4,Ridge_M_Qbasic_Hraw,54,0.30253225319806326,0.31320754716981125
SantinhaPlatt2023,PertMeanPredictor,0,Ridge_M,55,0.19135464533778085,0.3698088122028092
SantinhaPlatt2023,PertMeanPredictor,0,Ridge_M_Qbasic,55,0.11272031260616955,0.3193934702267231
SantinhaPlatt2023,PertMeanPredictor,0,Ridge_M_Qbasic_Hraw,55,0.11024522053417157,0.3057423246200179
SantinhaPlatt2023,PertMeanPredictor,1,Ridge_M,53,0.07666483799477762,0.32737415265650105
SantinhaPlatt2023,PertMeanPredictor,1,Ridge_M_Qbasic,53,0.07666483799477762,0.33697906492625546
SantinhaPlatt2023,PertMeanPredictor,1,Ridge_M_Qbasic_Hraw,53,0.07666483799477762,0.329311277820149
SantinhaPlatt2023,PertMeanPredictor,2,Ridge_M,55,0.23785339644709486,0.32860665603969175
SantinhaPlatt2023,PertMeanPredictor,2,Ridge_M_Qbasic,55,0.23785339644709486,0.33243648622553085
SantinhaPlatt2023,PertMeanPredictor,2,Ridge_M_Qbasic_Hraw,55,0.23785339644709486,0.3255716962697814
SantinhaPlatt2023,PertMeanPredictor,3,Ridge_M,56,-0.1434704307521423,0.19455537017558286
SantinhaPlatt2023,PertMeanPredictor,3,Ridge_M_Qbasic,56,-0.07268855212924222,0.10338641570808017
SantinhaPlatt2023,PertMeanPredictor,3,Ridge_M_Qbasic_Hraw,56,-0.12126430022889284,0.1000326028185099
SantinhaPlatt2023,PertMeanPredictor,4,Ridge_M,54,0.3838514133516217,0.3312149638295518
SantinhaPlatt2023,PertMeanPredictor,4,Ridge_M_Qbasic,54,0.3838514133516217,0.3467907712572209
SantinhaPlatt2023,PertMeanPredictor,4,Ridge_M_Qbasic_Hraw,54,0.2594319279186825,0.32304530012974497
