source_id,source_label,source_status,record_id,dataset_name,dataset_family,fold_id,split,context,perturbation,predictor_name,true_error_rmse,score_name,score_type,score_value
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::dixit::seed2::single::NR2C2+ctrl,dixit,gears_supplement,2,test,GEARS_single_heldout,NR2C2+ctrl,GEARS,0.3556548357009887,gears_prediction_magnitude_risk,risk,40.11287307739258
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::dixit::seed3::single::NR2C2+ctrl,dixit,gears_supplement,3,test,GEARS_single_heldout,NR2C2+ctrl,GEARS,0.3719817996025085,gears_prediction_magnitude_risk,risk,39.09829711914063
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::ARID1A+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,ARID1A+ctrl,GEARS,0.0817164257168769,gears_prediction_magnitude_risk,risk,4.339491367340088
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::BCL2L11+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,BCL2L11+ctrl,GEARS,0.0663120076060295,gears_prediction_magnitude_risk,risk,4.561640739440918
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::CBL+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,CBL+ctrl,GEARS,0.0714248418807983,gears_prediction_magnitude_risk,risk,4.13971757888794
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::CDKN1C+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,CDKN1C+ctrl,GEARS,0.0693537518382072,gears_prediction_magnitude_risk,risk,3.610428810119629
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::CELF2+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,CELF2+ctrl,GEARS,0.0490056611597538,gears_prediction_magnitude_risk,risk,4.196183681488037
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::HES7+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,HES7+ctrl,GEARS,0.0881343483924865,gears_prediction_magnitude_risk,risk,5.079013347625732
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::NCL+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,NCL+ctrl,GEARS,0.0630299299955368,gears_prediction_magnitude_risk,risk,4.307242393493652
GEARS_FORMAL_54,Norman/Adamson/Dixit formal,formal_existing,GEARS::norman::seed1::single::PTPN12+ctrl,norman,gears_supplement,1,test,GEARS_single_heldout,PTPN12+ctrl,GEARS,0.0633028596639633,gears_prediction_magnitude_risk,risk,3.369448661804199
