dataset_name,comparison,observed_partial_rho,n_finite_null_permutations,null_mean_partial_rho,null_sd_partial_rho,empirical_p_one_sided,bh_fdr
CuiHacohen2023,shuffled_train_targets,0.5644500770798385,200,0.004373206142984984,0.047995999089144224,0.004975124378109453,0.004975124378109453
CuiHacohen2023,jointly_shuffled_train_features,0.5644500770798385,200,0.0023566154779532805,0.046403165272755696,0.004975124378109453,0.004975124378109453
CuiHacohen2023,missingness_shuffled_train_targets,0.019993431699905844,200,0.01999343169990584,3.469446951953614e-18,1.0,1.0
Frangieh,shuffled_train_targets,0.6780633929038952,200,-0.01116204758538379,0.12241558444222657,0.004975124378109453,0.004975124378109453
Frangieh,jointly_shuffled_train_features,0.6780633929038952,200,0.002390209846831206,0.11317540642945867,0.004975124378109453,0.004975124378109453
Frangieh,missingness_shuffled_train_targets,-0.5751278433228875,200,-0.04507014060931345,0.2946848054949927,0.9502487562189055,1.0
LaraAstiasoHuntly2023_exvivo,shuffled_train_targets,0.8195612037720149,200,0.0018915999262978573,0.09833091984231176,0.004975124378109453,0.004975124378109453
LaraAstiasoHuntly2023_exvivo,jointly_shuffled_train_features,0.8195612037720149,200,0.001937079236226497,0.10742532177643058,0.004975124378109453,0.004975124378109453
LaraAstiasoHuntly2023_exvivo,missingness_shuffled_train_targets,-0.11947642999026903,200,0.0013002072847236876,0.0766579356177001,0.9353233830845771,1.0
LaraAstiasoHuntly2023_invivo,shuffled_train_targets,0.724744937933092,200,-0.0005225421696505296,0.07518498940186823,0.004975124378109453,0.004975124378109453
LaraAstiasoHuntly2023_invivo,jointly_shuffled_train_features,0.724744937933092,200,-0.008790569765215408,0.0845869126781674,0.004975124378109453,0.004975124378109453
LaraAstiasoHuntly2023_invivo,missingness_shuffled_train_targets,-0.06233890140132774,200,-0.008293508511708922,0.09962241442034805,0.6766169154228856,1.0
McFarlandTsherniak2020,shuffled_train_targets,0.33054239630053095,200,-0.003339914573114422,0.042933585826941366,0.004975124378109453,0.004975124378109453
McFarlandTsherniak2020,jointly_shuffled_train_features,0.33054239630053095,200,-0.0019660346437438926,0.04475399193323154,0.004975124378109453,0.004975124378109453
McFarlandTsherniak2020,missingness_shuffled_train_targets,0.08057609552716476,200,-0.0018104774163794314,0.039659381131293546,0.009950248756218905,0.06965174129353234
SantinhaPlatt2023,shuffled_train_targets,0.3910595180936552,200,-0.011596274754024754,0.07637538986618313,0.004975124378109453,0.004975124378109453
SantinhaPlatt2023,jointly_shuffled_train_features,0.3910595180936552,200,-0.0022478680813335255,0.07406267875302343,0.004975124378109453,0.004975124378109453
SantinhaPlatt2023,missingness_shuffled_train_targets,0.028539043907914865,200,0.00012749137250150504,0.04127667628094317,0.25870646766169153,0.9054726368159204
SrivatsanTrapnell2020_sciplex3,shuffled_train_targets,0.7092935822173035,200,-0.0003003833349920698,0.09424774946197596,0.004975124378109453,0.004975124378109453
SrivatsanTrapnell2020_sciplex3,jointly_shuffled_train_features,0.7092935822173035,200,-0.0056364394484607495,0.10140287635715879,0.004975124378109453,0.004975124378109453
SrivatsanTrapnell2020_sciplex3,missingness_shuffled_train_targets,-0.2562857935656081,200,-0.020921489531221374,0.13193154148976238,0.9701492537313433,1.0
