dataset_name,n,n_task_clusters,n_bootstrap,delta_partial_rho_control_magnitude_point,delta_partial_rho_control_magnitude_ci_low,delta_partial_rho_control_magnitude_ci_high
CuiHacohen2023,1253,1253,1000,0.006161103693097081,0.0010104043495207079,0.01150490491788103
Frangieh,633,633,1000,0.0014472710132220623,-0.00911247807827587,0.012802281023019281
LaraAstiasoHuntly2023_exvivo,323,323,1000,0.0013368850375901076,-0.0038203866990567494,0.00665767714394361
LaraAstiasoHuntly2023_invivo,375,375,1000,0.0076912129680505315,-0.002120828255822374,0.016928336937207158
McFarlandTsherniak2020,1163,1163,1000,0.002653130828682515,-0.005955395929070115,0.012221526847777569
SantinhaPlatt2023,273,273,1000,-0.005904927928295445,-0.02130836223138798,0.008226328682306033
SrivatsanTrapnell2020_sciplex3,564,564,1000,0.010916531994961898,0.004471992656579724,0.017799427687307846
