support,e189_setting,association,n_tasks,n_clusters,spearman,cluster_bootstrap_valid,ci95_lower,ci95_upper
1,random_missing_pair,diversity_to_family_rms,480,480,0.40198243047929894,2000,0.32599912265947184,0.4743280665532241
1,random_missing_pair,diameter_half_to_worst,480,480,0.4181222574750758,2000,0.33586458359622384,0.48971017886363666
1,random_missing_pair,magnitude_to_family_rms,480,480,0.20705667125291338,2000,0.11974518333428572,0.2935277868286918
1,unseen_context_row,diversity_to_family_rms,1440,480,-0.09503139629857718,2000,-0.17630448252765854,-0.007941671145020757
1,unseen_context_row,diameter_half_to_worst,1440,480,0.04015027334921875,2000,-0.044277495811612846,0.12172756659714103
1,unseen_context_row,magnitude_to_family_rms,1440,480,0.04578330156087716,2000,-0.03815989680340441,0.132961703750374
1,unseen_perturbation_column,diversity_to_family_rms,960,160,0.22412546020557744,2000,0.12711785649131355,0.31608641195423065
1,unseen_perturbation_column,diameter_half_to_worst,960,160,0.28920706022901493,2000,0.1908067527353617,0.37900379416646957
1,unseen_perturbation_column,magnitude_to_family_rms,960,160,-0.04830182378670115,2000,-0.15503013653613804,0.062358443923948126
1,double_unseen,diversity_to_family_rms,480,160,-0.34846299246090473,2000,-0.4677521964477602,-0.2168704588070817
1,double_unseen,diameter_half_to_worst,480,160,-0.1213268069739886,2000,-0.2457497149612318,0.006641226272555473
1,double_unseen,magnitude_to_family_rms,480,160,-0.07620247917742698,2000,-0.21092404565968992,0.055934243549996966
2,random_missing_pair,diversity_to_family_rms,480,480,0.3856619386368864,2000,0.3011467192577222,0.4593200008408919
2,random_missing_pair,diameter_half_to_worst,480,480,0.37811850311850304,2000,0.29471072180063207,0.4599549913554536
2,random_missing_pair,magnitude_to_family_rms,480,480,0.2843960911288677,2000,0.20027100029207492,0.36251242350248464
2,unseen_context_row,diversity_to_family_rms,1440,480,-0.056216136774757314,2000,-0.13932764007173473,0.02664768226009879
2,unseen_context_row,diameter_half_to_worst,1440,480,0.08500149980782205,2000,0.005147644921193189,0.1664451809581058
2,unseen_context_row,magnitude_to_family_rms,1440,480,-0.08419759558140219,2000,-0.16370727263395293,-0.004200923049496613
2,unseen_perturbation_column,diversity_to_family_rms,960,160,0.20981260559093484,2000,0.1176595701378684,0.30323527234674924
2,unseen_perturbation_column,diameter_half_to_worst,960,160,0.2068065666303891,2000,0.1044078193753302,0.30219659664169984
2,unseen_perturbation_column,magnitude_to_family_rms,960,160,0.09657983027325331,2000,-0.003914616578215182,0.19884124990466484
2,double_unseen,diversity_to_family_rms,480,160,-0.24117183668331887,2000,-0.3922044598336679,-0.07575108433906745
2,double_unseen,diameter_half_to_worst,480,160,-0.0763828185018164,2000,-0.2324650546535782,0.08411135275303752
2,double_unseen,magnitude_to_family_rms,480,160,-0.3462426052196407,2000,-0.4636576317824325,-0.2181488651098792
3,random_missing_pair,diversity_to_family_rms,480,480,0.3677225161567541,2000,0.2890746785374333,0.43759833572076107
3,random_missing_pair,diameter_half_to_worst,480,480,0.39432549620441054,2000,0.31370258322261874,0.46932178492520793
3,random_missing_pair,magnitude_to_family_rms,480,480,0.2410912156736791,2000,0.16115361022366,0.3217810525038637
3,unseen_context_row,diversity_to_family_rms,1440,480,-0.06747332777456007,2000,-0.14832866703172887,0.013898571501302045
3,unseen_context_row,diameter_half_to_worst,1440,480,0.018297269626383887,2000,-0.06999802418787605,0.10327304114086579
3,unseen_context_row,magnitude_to_family_rms,1440,480,0.01834732752089483,2000,-0.06130539518483039,0.10200968308668432
3,unseen_perturbation_column,diversity_to_family_rms,960,160,0.22220475032458784,2000,0.12129993590081452,0.3180411964495955
3,unseen_perturbation_column,diameter_half_to_worst,960,160,0.24664805408860027,2000,0.14412700534360243,0.3422551589626621
3,unseen_perturbation_column,magnitude_to_family_rms,960,160,-0.03834840315581939,2000,-0.1465484483227383,0.07257621618326655
3,double_unseen,diversity_to_family_rms,480,160,-0.3042607606803849,2000,-0.43190177611776537,-0.1608485364209543
3,double_unseen,diameter_half_to_worst,480,160,-0.17244041857820563,2000,-0.3167878191942456,-0.026221793351874238
3,double_unseen,magnitude_to_family_rms,480,160,-0.10009950129991883,2000,-0.24451911107556973,0.04396578217502382
5,random_missing_pair,diversity_to_family_rms,480,480,0.411697207887187,2000,0.3334784096776516,0.47971416721737525
5,random_missing_pair,diameter_half_to_worst,480,480,0.4401519754860047,2000,0.36276558201337716,0.5112829451349057
5,random_missing_pair,magnitude_to_family_rms,480,480,0.11509663670415236,2000,0.027952446166464306,0.19692346885984283
5,unseen_context_row,diversity_to_family_rms,1440,480,-0.012876412781191863,2000,-0.09876373854954745,0.07472373535498057
5,unseen_context_row,diameter_half_to_worst,1440,480,0.07146419100317852,2000,-0.014622782682783804,0.1595977352549439
5,unseen_context_row,magnitude_to_family_rms,1440,480,0.19595736285881055,2000,0.11646520566682472,0.2730296338452749
5,unseen_perturbation_column,diversity_to_family_rms,960,160,0.24663010973319194,2000,0.14256324196712292,0.3398199738679509
5,unseen_perturbation_column,diameter_half_to_worst,960,160,0.29179971440941227,2000,0.19979085159483842,0.38087191315913566
5,unseen_perturbation_column,magnitude_to_family_rms,960,160,-0.22173599906249894,2000,-0.31586835837105365,-0.12744989403544849
5,double_unseen,diversity_to_family_rms,480,160,-0.2655587697863272,2000,-0.38750523364472794,-0.13350587750812054
5,double_unseen,diameter_half_to_worst,480,160,-0.19658158238534018,2000,-0.32416611044124094,-0.06346146564051616
5,double_unseen,magnitude_to_family_rms,480,160,0.1720216884621895,2000,0.021597439091931705,0.31207222101130583
