analysis,min_genes_per_task,n_tasks,n_contexts,n_perturbations,n_test_task_clusters,aligned_rho,partial_rho,partial_ci_low,partial_ci_high,rc80_improvement_pct,gate
D1_main,850,9000,25,1028,8057,0.39893325695776743,0.4533516300453082,0.4414793941708075,0.4669490713617965,4.277368806307063,PASS
D4_min900,900,9000,25,1023,7997,0.3714121093419794,0.461170844942792,0.44946228004920546,0.47170948579177935,4.062050882103709,PASS
