block,predictor_name,n_tasks,all_finite,n_unique_vectors,max_repeat_fraction,max_coordinate_std,passed
hidden_all,scGPT_seed3407,640,True,640,0.0015625000000000001,0.0014490896791722792,True
hidden_all,scGPT_seed3408,640,True,640,0.0015625000000000001,0.0048206528624407247,True
hidden_all,scGPT_seed3409,640,True,640,0.0015625000000000001,0.0014451590514179846,True
hidden_all,scGPT_seed3410,640,True,640,0.0015625000000000001,0.0033710685921038495,True
hidden_all,scGPT_seed3411,640,True,640,0.0015625000000000001,0.00096545495618599435,True
hidden_all,GEARS_seed3407,640,True,514,0.010937499999999999,0.10910817539211833,True
hidden_all,GEARS_seed3408,640,True,521,0.010937499999999999,0.095079944163473901,True
hidden_all,GEARS_seed3409,640,True,490,0.010937499999999999,0.10232370089353882,True
hidden_all,GEARS_seed3410,640,True,492,0.012500000000000001,0.067428698133270987,True
hidden_all,GEARS_seed3411,640,True,535,0.0093749999999999997,0.12623498578632644,True
hidden_all,scGPT_seed_mean,640,True,640,0.0015625000000000001,0.0018321552627965062,True
hidden_all,GEARS_seed_mean,640,True,439,0.012500000000000001,0.049039372630234841,True
hidden_all,ensemble_seed_family_mean,640,True,640,0.0015625000000000001,0.024520758833779077,True
calibration,scGPT_seed3407,240,True,240,0.0041666666666666666,0.0014505942898110154,True
calibration,scGPT_seed3408,240,True,240,0.0041666666666666666,0.0048211156448719752,True
calibration,scGPT_seed3409,240,True,240,0.0041666666666666666,0.0014444673084850633,True
calibration,scGPT_seed3410,240,True,240,0.0041666666666666666,0.0033700557174373828,True
calibration,scGPT_seed3411,240,True,240,0.0041666666666666666,0.00096672627941326943,True
calibration,GEARS_seed3407,240,True,203,0.016666666666666666,0.11226923206878416,True
calibration,GEARS_seed3408,240,True,182,0.029166666666666667,0.10085406276672049,True
calibration,GEARS_seed3409,240,True,191,0.029166666666666667,0.10212675228096066,True
calibration,GEARS_seed3410,240,True,177,0.033333333333333333,0.083878496599765026,True
calibration,GEARS_seed3411,240,True,204,0.025000000000000001,0.12602530606256937,True
calibration,scGPT_seed_mean,240,True,240,0.0041666666666666666,0.0018327349225109668,True
calibration,GEARS_seed_mean,240,True,160,0.033333333333333333,0.055769979239730164,True
calibration,ensemble_seed_family_mean,240,True,240,0.0041666666666666666,0.027885797045495517,True
evaluation,scGPT_seed3407,400,True,400,0.0025000000000000001,0.0014481842783659092,True
evaluation,scGPT_seed3408,400,True,400,0.0025000000000000001,0.0048203749540732237,True
evaluation,scGPT_seed3409,400,True,400,0.0025000000000000001,0.0014455737285705901,True
evaluation,scGPT_seed3410,400,True,400,0.0025000000000000001,0.0033716751707948585,True
evaluation,scGPT_seed3411,400,True,400,0.0025000000000000001,0.00096469011666761256,True
evaluation,GEARS_seed3407,400,True,311,0.017500000000000002,0.11398877793200622,True
evaluation,GEARS_seed3408,400,True,339,0.012500000000000001,0.091315052734568788,True
evaluation,GEARS_seed3409,400,True,299,0.017500000000000002,0.10232667743792385,True
evaluation,GEARS_seed3410,400,True,315,0.014999999999999999,0.050690327928312996,True
evaluation,GEARS_seed3411,400,True,331,0.012500000000000001,0.12563762017947397,True
evaluation,scGPT_seed_mean,400,True,400,0.0025000000000000001,0.0018318070102099993,True
evaluation,GEARS_seed_mean,400,True,279,0.014999999999999999,0.044241435082319473,True
evaluation,ensemble_seed_family_mean,400,True,400,0.0025000000000000001,0.022122054065267592,True
hidden_G1,scGPT_seed3407,80,True,80,0.012500000000000001,4.8828125000000016e-05,True
hidden_G1,scGPT_seed3408,80,True,80,0.012500000000000001,0.00018711084913875561,True
hidden_G1,scGPT_seed3409,80,True,80,0.012500000000000001,0.00054219048735734926,True
hidden_G1,scGPT_seed3410,80,True,80,0.012500000000000001,0.00048327190742705734,True
hidden_G1,scGPT_seed3411,80,True,80,0.012500000000000001,3.1333353904953845e-05,True
hidden_G1,GEARS_seed3407,80,True,80,0.012500000000000001,0.10903997337065799,True
hidden_G1,GEARS_seed3408,80,True,80,0.012500000000000001,0.094941136796966683,True
hidden_G1,GEARS_seed3409,80,True,80,0.012500000000000001,0.10217880977333105,True
hidden_G1,GEARS_seed3410,80,True,80,0.012500000000000001,0.067337183889174312,True
hidden_G1,GEARS_seed3411,80,True,80,0.012500000000000001,0.12640166388502452,True
hidden_G1,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00010795007944777187,True
hidden_G1,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049036562824840459,True
hidden_G1,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.0245175088780837,True
hidden_G2,scGPT_seed3407,80,True,80,0.012500000000000001,5.1156782880371746e-05,True
hidden_G2,scGPT_seed3408,80,True,80,0.012500000000000001,0.00021788548916001956,True
hidden_G2,scGPT_seed3409,80,True,80,0.012500000000000001,0.00060535668422987971,True
hidden_G2,scGPT_seed3410,80,True,80,0.012500000000000001,0.00055786198412232583,True
hidden_G2,scGPT_seed3411,80,True,80,0.012500000000000001,2.9987105672103676e-05,True
hidden_G2,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791203610526,True
hidden_G2,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099699453383493,True
hidden_G2,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234425725926796,True
hidden_G2,GEARS_seed3410,80,True,80,0.012500000000000001,0.06744161091241202,True
hidden_G2,GEARS_seed3411,80,True,80,0.012500000000000001,0.1262111518268319,True
hidden_G2,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00013132268113006933,True
hidden_G2,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049039675824400233,True
hidden_G2,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.024519463310968763,True
hidden_G3,scGPT_seed3407,80,True,80,0.012500000000000001,5.5316727618622801e-05,True
hidden_G3,scGPT_seed3408,80,True,80,0.012500000000000001,0.00021008415941744119,True
hidden_G3,scGPT_seed3409,80,True,80,0.012500000000000001,0.00056807671987288595,True
hidden_G3,scGPT_seed3410,80,True,80,0.012500000000000001,0.00064885314445820204,True
hidden_G3,scGPT_seed3411,80,True,80,0.012500000000000001,3.8051366207739289e-05,True
hidden_G3,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791627157699,True
hidden_G3,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099710254286735,True
hidden_G3,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234425725926796,True
hidden_G3,GEARS_seed3410,80,True,80,0.012500000000000001,0.067441604371312053,True
hidden_G3,GEARS_seed3411,80,True,80,0.012500000000000001,0.12621115212175568,True
hidden_G3,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00012983552039796741,True
hidden_G3,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049039680418127327,True
hidden_G3,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.024518477820080969,True
hidden_G4,scGPT_seed3407,80,True,80,0.012500000000000001,5.0555893728727174e-05,True
hidden_G4,scGPT_seed3408,80,True,80,0.012500000000000001,0.00018652075603953395,True
hidden_G4,scGPT_seed3409,80,True,80,0.012500000000000001,0.00057088695532238277,True
hidden_G4,scGPT_seed3410,80,True,80,0.012500000000000001,0.00058578269034163951,True
hidden_G4,scGPT_seed3411,80,True,80,0.012500000000000001,3.4781503832920857e-05,True
hidden_G4,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791029182002,True
hidden_G4,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099710254286735,True
hidden_G4,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234425281921118,True
hidden_G4,GEARS_seed3410,80,True,80,0.012500000000000001,0.067441598568146563,True
hidden_G4,GEARS_seed3411,80,True,80,0.012500000000000001,0.12621115062373758,True
hidden_G4,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00011697219898473157,True
hidden_G4,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049039679501019014,True
hidden_G4,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.024520112942461324,True
hidden_G5,scGPT_seed3407,80,True,80,0.012500000000000001,5.0532501466736635e-05,True
hidden_G5,scGPT_seed3408,80,True,80,0.012500000000000001,0.00014757051832666997,True
hidden_G5,scGPT_seed3409,80,True,80,0.012500000000000001,0.00051204267361667263,True
hidden_G5,scGPT_seed3410,80,True,80,0.012500000000000001,0.00052492040483651263,True
hidden_G5,scGPT_seed3411,80,True,80,0.012500000000000001,2.9504007761893749e-05,True
hidden_G5,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791181555291,True
hidden_G5,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099699453383493,True
hidden_G5,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234425412257636,True
hidden_G5,GEARS_seed3410,80,True,80,0.012500000000000001,0.067441610757684206,True
hidden_G5,GEARS_seed3411,80,True,80,0.012500000000000001,0.12621116086685263,True
hidden_G5,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00010465888667144352,True
hidden_G5,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049039679057026747,True
hidden_G5,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.024519750096461745,True
hidden_G6,scGPT_seed3407,80,True,80,0.012500000000000001,5.4097464557748526e-05,True
hidden_G6,scGPT_seed3408,80,True,80,0.012500000000000001,0.00015326894136153633,True
hidden_G6,scGPT_seed3409,80,True,80,0.012500000000000001,0.00057661815167035476,True
hidden_G6,scGPT_seed3410,80,True,80,0.012500000000000001,0.0005375044311234919,True
hidden_G6,scGPT_seed3411,80,True,80,0.012500000000000001,2.916805530181458e-05,True
hidden_G6,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791101773158,True
hidden_G6,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099714804797009,True
hidden_G6,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234425412257636,True
hidden_G6,GEARS_seed3410,80,True,80,0.012500000000000001,0.067441608454654287,True
hidden_G6,GEARS_seed3411,80,True,80,0.012500000000000001,0.12621116086685263,True
hidden_G6,scGPT_seed_mean,80,True,80,0.012500000000000001,0.00012340928621194092,True
hidden_G6,GEARS_seed_mean,80,True,80,0.012500000000000001,0.049039680505184841,True
hidden_G6,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.024519136111317348,True
hidden_G7,scGPT_seed3407,80,True,80,0.012500000000000001,5.1462726237294236e-05,True
hidden_G7,scGPT_seed3408,80,True,80,0.012500000000000001,0.0002856355426119247,True
hidden_G7,scGPT_seed3409,80,True,80,0.012500000000000001,0.00058619916671146747,True
hidden_G7,scGPT_seed3410,80,True,80,0.012500000000000001,0.00055594255118404483,True
hidden_G7,scGPT_seed3411,80,True,80,0.012500000000000001,2.9196727904698088e-05,True
hidden_G7,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791178175546,True
hidden_G7,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099710254286735,True
hidden_G7,GEARS_seed3409,80,True,80,0.012500000000000001,0.10234424968251957,True
hidden_G7,GEARS_seed3410,80,True,80,0.012500000000000001,0.067441606413727304,True
hidden_G7,GEARS_seed3411,80,True,80,0.012500000000000001,0.12621116588578432,True
hidden_G7,scGPT_seed_mean,80,True,80,0.012500000000000001,0.0001219117925137079,True
hidden_G7,GEARS_seed_mean,80,True,80,0.012500000000000001,0.04903968073340316,True
hidden_G7,ensemble_seed_family_mean,80,True,80,0.012500000000000001,0.02451919615342649,True
hidden_G8,scGPT_seed3407,80,True,80,0.012500000000000001,5.319246203378426e-05,True
hidden_G8,scGPT_seed3408,80,True,80,0.012500000000000001,0.0001800979892834063,True
hidden_G8,scGPT_seed3409,80,True,80,0.012500000000000001,0.00054503203307121198,True
hidden_G8,scGPT_seed3410,80,True,80,0.012500000000000001,0.00065888373945184489,True
hidden_G8,scGPT_seed3411,80,True,80,0.012500000000000001,3.19728470713159e-05,True
hidden_G8,GEARS_seed3407,80,True,80,0.012500000000000001,0.10911791621147404,True
hidden_G8,GEARS_seed3408,80,True,80,0.012500000000000001,0.095099714804797009,True
