block,n_tasks,risk_magnitude_operational_weak_order_identical
hidden_all,640,False
calibration,240,False
evaluation,400,False
hidden_G1,80,False
hidden_G2,80,False
hidden_G3,80,False
hidden_G4,80,False
hidden_G5,80,False
hidden_G6,80,False
hidden_G7,80,False
hidden_G8,80,False
