block,n_tasks,n_estimators,n_pairwise_correlations,minimum_pairwise_spearman,median_pairwise_spearman,maximum_pairwise_spearman,kendall_w,bootstrap_valid,bootstrap_ci95_lower,passed
hidden_all,640,5,10,0.35686628873605658,0.65974757476214552,0.84654131235671981,0.72746982048296016,2000,0.62590019642101768,True
calibration,240,5,10,0.40712859598256912,0.71984713276272139,0.92350388027569896,0.75285098699630204,2000,0.6524465844783166,True
evaluation,400,5,10,0.28982356139725873,0.61333217707610665,0.80865542909643184,0.70289510809442557,2000,0.56741928362812233,True
hidden_G1,80,5,10,0.36172058134083451,0.66583450539146738,0.84971870604782007,0.73033098921706519,2000,0.56569550061432916,True
hidden_G2,80,5,10,0.35651664322550403,0.65779418659165501,0.84210032817627756,0.72636099390529774,2000,0.55893973250501339,True
hidden_G3,80,5,10,0.35651664322550403,0.66087669948429439,0.84946085325832177,0.72844631973745899,2000,0.56782425475776999,True
hidden_G4,80,5,10,0.36528363806844821,0.66867088607594938,0.85482887951242381,0.73150117205813403,2000,0.5641924490370982,True
hidden_G5,80,5,10,0.35241443975621195,0.651136896390061,0.84303797468354436,0.72341115799343647,2000,0.55850633626361401,True
hidden_G6,80,5,10,0.35283638068448198,0.65157055789967178,0.84369432723863103,0.72358368495077352,2000,0.55638891288804515,True
hidden_G7,80,5,10,0.35379746835443043,0.65675105485232077,0.84554617909048291,0.7255733708391936,2000,0.56693548699680285,True
hidden_G8,80,5,10,0.36045475855602438,0.65850914205344591,0.84081106422878582,0.72632911392405064,2000,0.55835339175973386,True
