block,n_tasks,all_finite,n_levels,std,passed
hidden_all,640,True,640,0.15811043779409445,True
calibration,240,True,240,0.19222052504329437,True
evaluation,400,True,400,0.13136502806334732,True
hidden_G1,80,True,80,0.15872124251025077,True
hidden_G2,80,True,80,0.15801725314263437,True
hidden_G3,80,True,80,0.15938760794327042,True
hidden_G4,80,True,80,0.16166717433860572,True
hidden_G5,80,True,80,0.15587218898457786,True
hidden_G6,80,True,80,0.1558238598295863,True
hidden_G7,80,True,80,0.15780903960790549,True
hidden_G8,80,True,80,0.15740917575563659,True
