dataset,score,endpoint,spearman
Frangieh,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,0.05797131879749657
Frangieh,baseline_predicted_magnitude,progeny_activity_rmse_mean,0.113353372601458
Frangieh,directional_risk_frozen,progeny_activity_cosine_error_mean,-0.1279310192399076
Frangieh,directional_risk_frozen,progeny_activity_rmse_mean,-0.028258315006980603
Frangieh,risk_model_disagreement,progeny_activity_cosine_error_mean,0.05280697101305131
Frangieh,risk_model_disagreement,progeny_activity_rmse_mean,0.07688964036144356
Frangieh,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,0.19010399897945898
Frangieh,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.1758329705668049
Lara_exvivo,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.1736499817318232
Lara_exvivo,baseline_predicted_magnitude,progeny_activity_rmse_mean,0.12016806722689075
Lara_exvivo,directional_risk_frozen,progeny_activity_cosine_error_mean,0.19093167701863356
Lara_exvivo,directional_risk_frozen,progeny_activity_rmse_mean,0.16591158202411402
Lara_exvivo,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.1090537084398977
Lara_exvivo,risk_model_disagreement,progeny_activity_rmse_mean,0.12062111801242237
Lara_exvivo,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,0.02078918523931312
Lara_exvivo,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.2665107782243333
Liang,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.11354565620321239
Liang,baseline_predicted_magnitude,progeny_activity_rmse_mean,0.017465952420336512
Liang,directional_risk_frozen,progeny_activity_cosine_error_mean,0.14077947856624803
Liang,directional_risk_frozen,progeny_activity_rmse_mean,0.15875015374958112
Liang,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.1369452821145763
Liang,risk_model_disagreement,progeny_activity_rmse_mean,0.043469778134052665
Liang,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,0.09700283375142772
Liang,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.15556124706701607
Nadig_two_cellline,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.3224026048342794
Nadig_two_cellline,baseline_predicted_magnitude,progeny_activity_rmse_mean,0.3635237364951474
Nadig_two_cellline,directional_risk_frozen,progeny_activity_cosine_error_mean,-0.07318628554563625
Nadig_two_cellline,directional_risk_frozen,progeny_activity_rmse_mean,0.27480347861181353
Nadig_two_cellline,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.11816746017212963
Nadig_two_cellline,risk_model_disagreement,progeny_activity_rmse_mean,0.22412332906061158
Nadig_two_cellline,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,-0.2022768541061774
Nadig_two_cellline,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.18181271154355777
Santinha,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.024452488687782804
Santinha,baseline_predicted_magnitude,progeny_activity_rmse_mean,-0.06778280542986426
Santinha,directional_risk_frozen,progeny_activity_cosine_error_mean,-0.10642533936651584
Santinha,directional_risk_frozen,progeny_activity_rmse_mean,0.04184615384615384
Santinha,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.11091402714932126
Santinha,risk_model_disagreement,progeny_activity_rmse_mean,-0.1026425339366516
Santinha,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,0.022971142617595225
Santinha,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.07884719295918931
Shifrut,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.1396103896103896
Shifrut,baseline_predicted_magnitude,progeny_activity_rmse_mean,-0.04171700392630625
Shifrut,directional_risk_frozen,progeny_activity_cosine_error_mean,0.12443370582905466
Shifrut,directional_risk_frozen,progeny_activity_rmse_mean,-0.049796134098459705
Shifrut,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.03348686197523407
Shifrut,risk_model_disagreement,progeny_activity_rmse_mean,-0.09415584415584415
Shifrut,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,-0.08237692540018121
Shifrut,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,-0.10982331621866506
Tian_CRISPRi,baseline_predicted_magnitude,progeny_activity_cosine_error_mean,-0.0719401322127623
Tian_CRISPRi,baseline_predicted_magnitude,progeny_activity_rmse_mean,0.01533948054796238
Tian_CRISPRi,directional_risk_frozen,progeny_activity_cosine_error_mean,-0.11496655518394651
Tian_CRISPRi,directional_risk_frozen,progeny_activity_rmse_mean,-0.008504147313840825
Tian_CRISPRi,risk_model_disagreement,progeny_activity_cosine_error_mean,-0.07554161803983615
Tian_CRISPRi,risk_model_disagreement,progeny_activity_rmse_mean,0.010360941624305845
Tian_CRISPRi,safeconf_calibrated_pair_risk,progeny_activity_cosine_error_mean,0.07314340150227536
Tian_CRISPRi,safeconf_calibrated_pair_risk,progeny_activity_rmse_mean,0.0688330735550978
