metric,n_bootstrap,median,ci95_low,ci95_high,fraction_above_zero
safeconf_calibrated_pair_risk__progeny_activity_rmse_mean,3000,0.12150608983725178,0.029262619731563105,0.20590814993421142,0.995
delta_vs_magnitude__safeconf_calibrated_pair_risk__progeny_activity_rmse_mean,3000,0.04328341588035208,-0.06041974914849176,0.13475918670324893,0.808
directional_risk_frozen__progeny_activity_cosine_error_mean,3000,-0.0026721754082275543,-0.098778961881965,0.10536509973277493,0.4766666666666667
delta_vs_magnitude__directional_risk_frozen__progeny_activity_cosine_error_mean,3000,0.11324575742957127,-0.03761069039908046,0.2549211828785963,0.9256666666666666
