stratum,predictor,endpoint,direction,n,mean,median,std
primary_ge30,batch_matched_control,de_auprc,higher_better,263,0.2178935930582414,0.18646190107382918,0.14868406385652194
primary_ge30,batch_matched_control,energy_distance_pca_k=50,lower_better,263,2.889349429731612,2.3858668140760044,1.3865648475478114
primary_ge30,batch_matched_control,mse,lower_better,263,0.002536783963328759,0.0017553594046578716,0.002135668572315343
primary_ge30,batch_matched_control,pearson_pert,higher_better,263,0.0926443756951877,0.10883924633005952,0.31347313880201116
primary_ge30,batch_matched_control,rank,lower_better,263,0.3995733317853307,0.3511450381679389,0.28917252535325355
primary_ge30,exphormer,de_auprc,higher_better,263,0.3394988972411006,0.2868678414189128,0.22816941560618942
primary_ge30,exphormer,energy_distance_pca_k=50,lower_better,263,2.391019184050717,2.191650807855366,0.8239619618409859
primary_ge30,exphormer,mse,lower_better,263,0.0014561498278048502,0.0011012282298210354,0.0012452325883168616
primary_ge30,exphormer,pearson_pert,higher_better,263,0.523472227695107,0.5474613936633014,0.2862595394364483
primary_ge30,exphormer,rank,lower_better,263,0.10846660668156619,0.03816793893129771,0.15804349832899053
primary_ge30,exphormer_mg,de_auprc,higher_better,263,0.3435133902524716,0.2785377639510397,0.2332753055912957
primary_ge30,exphormer_mg,energy_distance_pca_k=50,lower_better,263,2.340507624114464,2.1551354866086023,0.7980557365562019
primary_ge30,exphormer_mg,mse,lower_better,263,0.0014299186126057438,0.0010352967317835357,0.0012248161446531158
primary_ge30,exphormer_mg,pearson_pert,higher_better,263,0.5281725167238454,0.5604818954453903,0.2806858609252382
primary_ge30,exphormer_mg,rank,lower_better,263,0.10723304211534554,0.03816793893129771,0.15618279078083672
primary_ge30,family_centroid,de_auprc,higher_better,263,0.34816589590447555,0.28669514860841805,0.23072246137396474
primary_ge30,family_centroid,energy_distance_pca_k=50,lower_better,263,2.336177884655148,2.1318819110228033,0.7808929864357407
primary_ge30,family_centroid,mse,lower_better,263,0.0013930482024247218,0.0010617080937839949,0.0011847291749085634
primary_ge30,family_centroid,pearson_pert,higher_better,263,0.5490075071234427,0.59411548743242,0.27227320469965594
primary_ge30,family_centroid,rank,lower_better,263,0.10025251792296752,0.03435114503816794,0.1580866565006688
primary_ge30,gat,de_auprc,higher_better,263,0.33107784829091397,0.28879354053719875,0.22861401605460918
primary_ge30,gat,energy_distance_pca_k=50,lower_better,263,2.425395340583629,2.190955665585396,0.843236442311666
primary_ge30,gat,mse,lower_better,263,0.0015428919336916702,0.001147700385371666,0.0012748468771468279
primary_ge30,gat,pearson_pert,higher_better,263,0.4941835753517897,0.5546656819597627,0.3159825163749111
primary_ge30,gat,rank,lower_better,263,0.14532841842510086,0.05343511450381679,0.2072049663683883
primary_ge30,general_baseline,de_auprc,higher_better,263,0.13177108066716325,0.08255895619493304,0.12364066750836789
