comparison,quantity,n_tasks,spearman,ci95_lower,ci95_upper,bootstrap_valid
gat_vs_exphormer,task_error_rank_agreement,263,0.8324700580237105,0.7734826833463289,0.880077651744733,5000
gat_vs_exphormer_mg,task_error_rank_agreement,263,0.8212842000828532,0.7631121537935424,0.8676290677244306,5000
exphormer_vs_exphormer_mg,task_error_rank_agreement,263,0.9469501270505536,0.926102320271095,0.9618342774331715,5000
diversity_vs_gat,family_risk_to_member_error,263,0.42550259510321037,0.31155887263349,0.5257029274527413,5000
diversity_vs_exphormer,family_risk_to_member_error,263,0.3197498304673296,0.20353175451817593,0.4284169611909449,5000
diversity_vs_exphormer_mg,family_risk_to_member_error,263,0.28903407276843546,0.1698507010783952,0.40057764668447465,5000
