endpoint,predictor,n_tasks,spearman
de_auprc,diversity_lower_bound,263,-0.07548359688957022
de_auprc,predicted_magnitude,263,-0.42328415786460066
de_auprc,model_baseline_gap,263,-0.5695407181852483
de_auprc,negative_string_train_neighbor_count,263,0.4721972754202246
de_auprc,negative_go_train_neighbor_count,263,0.3884975807583161
de_auprc,graph_isolated_risk,263,0.11331871424231207
energy_distance_pca_k=50,diversity_lower_bound,263,0.23384690078446788
energy_distance_pca_k=50,predicted_magnitude,263,0.17682719277645698
energy_distance_pca_k=50,model_baseline_gap,263,-0.06388611098650862
energy_distance_pca_k=50,negative_string_train_neighbor_count,263,-0.0891072547642925
energy_distance_pca_k=50,negative_go_train_neighbor_count,263,-0.09712282477837522
energy_distance_pca_k=50,graph_isolated_risk,263,-0.061610174733684235
mse,diversity_lower_bound,263,0.3251498088304752
mse,predicted_magnitude,263,0.07806088927471679
mse,model_baseline_gap,263,-0.01976012116638477
mse,negative_string_train_neighbor_count,263,-0.07553548615192274
mse,negative_go_train_neighbor_count,263,-0.10125945319564282
mse,graph_isolated_risk,263,-0.10121671563390984
pearson_pert,diversity_lower_bound,263,0.027212302398788326
pearson_pert,predicted_magnitude,263,-0.5531765277070474
pearson_pert,model_baseline_gap,263,-0.6879187193093093
pearson_pert,negative_string_train_neighbor_count,263,0.5156803078457614
pearson_pert,negative_go_train_neighbor_count,263,0.4448769960393777
pearson_pert,graph_isolated_risk,263,0.10415053347837099
rank,diversity_lower_bound,263,0.06227574824113844
rank,predicted_magnitude,263,-0.2915909562035115
rank,model_baseline_gap,263,-0.42337112129625987
rank,negative_string_train_neighbor_count,263,0.36115050155416795
rank,negative_go_train_neighbor_count,263,0.25421453311691355
rank,graph_isolated_risk,263,0.08540939642877293
