fold_id,score,endpoint,n_tasks,spearman
frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,protein_rmse_two_predictor_mean,279,0.2354087237122744
frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,protein_cosine_error_two_predictor_mean,279,0.12101802429024522
frangieh_context_holdout_1_Co-culture,safeconf_calibrated_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,0.2294682226568975
frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,protein_rmse_two_predictor_mean,279,0.2662185459006067
frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,protein_cosine_error_two_predictor_mean,279,0.09634264938279792
frangieh_context_holdout_1_Co-culture,safeconf_frozen_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,0.2788648343997613
frangieh_context_holdout_1_Co-culture,directional_risk_frozen,protein_rmse_two_predictor_mean,279,0.15297163191106103
frangieh_context_holdout_1_Co-culture,directional_risk_frozen,protein_cosine_error_two_predictor_mean,279,-0.19945794516460563
frangieh_context_holdout_1_Co-culture,directional_risk_frozen,protein_excess_rmse_over_true_rna_oracle,279,0.1584673275204721
frangieh_context_holdout_1_Co-culture,risk_model_disagreement,protein_rmse_two_predictor_mean,279,0.3254119285216988
frangieh_context_holdout_1_Co-culture,risk_model_disagreement,protein_cosine_error_two_predictor_mean,279,0.1436743692603521
frangieh_context_holdout_1_Co-culture,risk_model_disagreement,protein_excess_rmse_over_true_rna_oracle,279,0.35367392721767293
frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,protein_rmse_two_predictor_mean,279,0.3177192807965609
frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,protein_cosine_error_two_predictor_mean,279,0.14060051497972129
frangieh_context_holdout_1_Co-culture,baseline_predicted_magnitude,protein_excess_rmse_over_true_rna_oracle,279,0.332171313640332
frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,protein_rmse_two_predictor_mean,279,0.42687066936312706
frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,protein_cosine_error_two_predictor_mean,279,0.2346252030633558
frangieh_context_holdout_2_Control,safeconf_calibrated_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,0.05298876106488081
frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,protein_rmse_two_predictor_mean,279,0.4246875310811259
frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,protein_cosine_error_two_predictor_mean,279,0.22051851606272585
frangieh_context_holdout_2_Control,safeconf_frozen_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,0.0765689752345589
frangieh_context_holdout_2_Control,directional_risk_frozen,protein_rmse_two_predictor_mean,279,-0.27003834720242237
frangieh_context_holdout_2_Control,directional_risk_frozen,protein_cosine_error_two_predictor_mean,279,-0.1812933063687299
frangieh_context_holdout_2_Control,directional_risk_frozen,protein_excess_rmse_over_true_rna_oracle,279,0.04337764811192521
frangieh_context_holdout_2_Control,risk_model_disagreement,protein_rmse_two_predictor_mean,279,0.16851772038590326
frangieh_context_holdout_2_Control,risk_model_disagreement,protein_cosine_error_two_predictor_mean,279,-0.044835283846655395
frangieh_context_holdout_2_Control,risk_model_disagreement,protein_excess_rmse_over_true_rna_oracle,279,0.17077766358341898
frangieh_context_holdout_2_Control,baseline_predicted_magnitude,protein_rmse_two_predictor_mean,279,0.2114665870989844
frangieh_context_holdout_2_Control,baseline_predicted_magnitude,protein_cosine_error_two_predictor_mean,279,-0.011783752721325244
frangieh_context_holdout_2_Control,baseline_predicted_magnitude,protein_excess_rmse_over_true_rna_oracle,279,0.15924753284929657
frangieh_context_holdout_3_IFNγ,safeconf_calibrated_pair_risk,protein_rmse_two_predictor_mean,279,-0.0028508492210330013
frangieh_context_holdout_3_IFNγ,safeconf_calibrated_pair_risk,protein_cosine_error_two_predictor_mean,279,0.08258275344215063
frangieh_context_holdout_3_IFNγ,safeconf_calibrated_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,-0.03614965011278941
frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,protein_rmse_two_predictor_mean,279,0.02862613135298213
frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,protein_cosine_error_two_predictor_mean,279,-0.027663030865630073
frangieh_context_holdout_3_IFNγ,safeconf_frozen_pair_risk,protein_excess_rmse_over_true_rna_oracle,279,0.02643028434395341
frangieh_context_holdout_3_IFNγ,directional_risk_frozen,protein_rmse_two_predictor_mean,279,-0.10494701013382841
frangieh_context_holdout_3_IFNγ,directional_risk_frozen,protein_cosine_error_two_predictor_mean,279,-0.19597906927913888
frangieh_context_holdout_3_IFNγ,directional_risk_frozen,protein_excess_rmse_over_true_rna_oracle,279,-0.05877565228922852
frangieh_context_holdout_3_IFNγ,risk_model_disagreement,protein_rmse_two_predictor_mean,279,0.1001878681386688
frangieh_context_holdout_3_IFNγ,risk_model_disagreement,protein_cosine_error_two_predictor_mean,279,-0.08569439379372079
frangieh_context_holdout_3_IFNγ,risk_model_disagreement,protein_excess_rmse_over_true_rna_oracle,279,0.1258954127020964
frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,protein_rmse_two_predictor_mean,279,0.10178806263744765
frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,protein_cosine_error_two_predictor_mean,279,-0.10634441755351479
frangieh_context_holdout_3_IFNγ,baseline_predicted_magnitude,protein_excess_rmse_over_true_rna_oracle,279,0.1196255898507001
