dataset,n_folds,A_rho,A_utility20,A+B_rho,A+B_utility20,A+C_rho,A+C_utility20,A+B+C_rho,A+B+C_utility20,delta_C_given_A_rho,positive_folds_C_given_A_rho,delta_C_given_AB_rho,positive_folds_C_given_AB_rho,delta_B_given_A_rho,positive_folds_B_given_A_rho,delta_C_given_A_utility20,positive_folds_C_given_A_utility20,delta_C_given_AB_utility20,positive_folds_C_given_AB_utility20,delta_B_given_A_utility20,positive_folds_B_given_A_utility20,M_only_utility20,M_only_rho
CuiHacohen2023,5,0.729959694900098,0.815947023599158,0.7396532685539243,0.7981165435335446,0.7324056791177732,0.8067032817317459,0.7402087024836705,0.8055594444003326,0.0024459842176751457,2,0.0005554339297461075,3,0.009693573653826438,2,-0.009243741867412059,2,0.007442900866787982,3,-0.017830480065613406,0,0.35457965975587236,0.4189228080181529
Frangieh,5,0.9092377474146736,0.9555980168188112,0.9064641769091013,0.9447605552234011,0.9129608264063982,0.9607145729408384,0.9113203050568419,0.9528735446047367,0.0037230789917246597,3,0.004856128147740635,4,-0.002773570505572187,0,0.0051165561220273045,2,0.008112989381335667,3,-0.010837461595410148,1,0.9338857105801605,0.8608968951766413
LaraAstiasoHuntly2023_exvivo,5,0.9219364138558823,0.9008005237680857,0.9334978650123759,0.9293780128468911,0.9324664685341408,0.9329864509436913,0.9451944058963434,0.9329471026134302,0.010530054678258516,4,0.011696540883967677,3,0.01156145115649343,5,0.03218592717560551,2,0.0035690897665390684,1,0.028577489078805373,2,0.2158660843333183,0.46496017527162137
LaraAstiasoHuntly2023_invivo,5,0.861742793435899,0.7890243598170367,0.866719543191218,0.8334707075385351,0.8618263211191998,0.7946602684646616,0.8675909995451436,0.8009653779895449,8.352768330108785e-05,2,0.0008714563539256037,3,0.004976749755319055,3,0.00563590864762491,3,-0.032505329548990144,0,0.04444634772149849,4,0.36028850881383423,0.5248142175465877
McFarlandTsherniak2020,5,0.4883405649813543,0.6262590601603257,0.5215434758963449,0.6095632338271648,0.5251389036056134,0.5926036277878903,0.5269766137828846,0.5654957387368424,0.036798338624259144,5,0.005433137886539807,4,0.03320291091499056,5,-0.0336554323724354,1,-0.04406749509032241,2,-0.016695826333160836,3,0.1496906005472513,0.06279401678379162
SantinhaPlatt2023,5,0.7449011047575806,0.6635741688484131,0.7471508103653536,0.6499702557674863,0.7338267153380499,0.5863384998154366,0.7408629040273591,0.5733318865025877,-0.011074389419530784,3,-0.00628790633799452,3,0.002249705607772934,2,-0.07723566903297648,0,-0.07663836926489857,0,-0.013603913080926766,0,0.14925077247582658,0.31031199098082735
SrivatsanTrapnell2020_sciplex3,5,0.7102238065288053,0.8458956331639037,0.6864990450073978,0.8032285346025535,0.7161139557677421,0.8183413661185656,0.6813416054591821,0.7999387927391495,0.0058901492389366265,3,-0.0051574395482157035,2,-0.023724761521407612,2,-0.027554267045338098,2,-0.0032897418634040276,0,-0.042667098561350224,2,0.7921145214642611,0.5985667766391304
