dataset,fold,group,n_source_rows,n_test_tasks,source_target_task_overlap,spearman,utility_20,magnitude_utility_20,magnitude_spearman
CuiHacohen2023,0,A,2004,251,0,0.7846995115410913,0.8332440443989875,0.4271446560928001,0.5365377773944612
CuiHacohen2023,0,A+B,2004,251,0,0.7790471661233805,0.7759322670046263,0.4271446560928001,0.5365377773944612
CuiHacohen2023,0,A+C,2004,251,0,0.7794894872423049,0.8187358819068741,0.4271446560928001,0.5365377773944612
CuiHacohen2023,0,A+B+C,2004,251,0,0.7826532448267878,0.8116314413022477,0.4271446560928001,0.5365377773944612
CuiHacohen2023,1,A,2004,251,0,0.6981904871906073,0.7514014655964533,0.3333897582407738,0.358119865237793
CuiHacohen2023,1,A+B,2004,251,0,0.7454133208882722,0.7463665145046636,0.3333897582407738,0.358119865237793
CuiHacohen2023,1,A+C,2004,251,0,0.7182013279392457,0.7267524610048621,0.3333897582407738,0.358119865237793
CuiHacohen2023,1,A+B+C,2004,251,0,0.7460720188995378,0.7492423665371533,0.3333897582407738,0.358119865237793
CuiHacohen2023,2,A,2006,250,0,0.7103537924477501,0.8309253371289563,0.45500805484242474,0.39574492486173934
CuiHacohen2023,2,A+B,2006,250,0,0.7225832435752334,0.8216571100166048,0.45500805484242474,0.39574492486173934
CuiHacohen2023,2,A+C,2006,250,0,0.7149208757728468,0.839876940766068,0.45500805484242474,0.39574492486173934
CuiHacohen2023,2,A+B+C,2006,250,0,0.7270760053642221,0.8184226020287032,0.45500805484242474,0.39574492486173934
CuiHacohen2023,3,A,2006,250,0,0.7507015697437296,0.8899485661600671,0.34781235303685354,0.43514564530209016
CuiHacohen2023,3,A+B,2006,250,0,0.7462455503266351,0.8864185306237169,0.34781235303685354,0.43514564530209016
CuiHacohen2023,3,A+C,2006,250,0,0.7494928595340448,0.8738491024270342,0.34781235303685354,0.43514564530209016
CuiHacohen2023,3,A+B+C,2006,250,0,0.7459521733946142,0.8855172196101436,0.34781235303685354,0.43514564530209016
CuiHacohen2023,4,A,2004,251,0,0.7058531135773115,0.7742157047113257,0.2095434765665096,0.36906582729468085
CuiHacohen2023,4,A+B,2004,251,0,0.7049770618561008,0.7602082955181113,0.2095434765665096,0.36906582729468085
CuiHacohen2023,4,A+C,2004,251,0,0.6999238451004233,0.7743020225538912,0.2095434765665096,0.36906582729468085
CuiHacohen2023,4,A+B+C,2004,251,0,0.6992900699331906,0.762983592523415,0.2095434765665096,0.36906582729468085
Frangieh,0,A,1014,126,0,0.9225968967231967,0.9512480718039569,0.9112707009596375,0.8846733023388025
Frangieh,0,A+B,1014,126,0,0.918093175767695,0.9320565476140285,0.9112707009596375,0.8846733023388025
Frangieh,0,A+C,1014,126,0,0.9196811667827373,0.9512480718039569,0.9112707009596375,0.8846733023388025
Frangieh,0,A+B+C,1014,126,0,0.9191799576328115,0.9512480718039569,0.9112707009596375,0.8846733023388025
Frangieh,1,A,1012,127,0,0.9264260803086563,0.9127479296158478,0.8970787952531799,0.8788094944392757
Frangieh,1,A+B,1012,127,0,0.9203918021451342,0.931434159688863,0.8970787952531799,0.8788094944392757
Frangieh,1,A+C,1012,127,0,0.9368489154750281,0.9408927239270589,0.8970787952531799,0.8788094944392757
Frangieh,1,A+B+C,1012,127,0,0.9356712850899128,0.931434159688863,0.8970787952531799,0.8788094944392757
Frangieh,2,A,1012,127,0,0.8988251949988181,0.972651604969264,0.9612330177866234,0.8705893732346599
Frangieh,2,A+B,1012,127,0,0.8976609435308538,0.9418613163850361,0.9612330177866234,0.8705893732346599
Frangieh,2,A+C,1012,127,0,0.9077431832801319,0.9549675199372356,0.9612330177866234,0.8705893732346599
Frangieh,2,A+B+C,1012,127,0,0.908476877160724,0.9252209424949226,0.9612330177866234,0.8705893732346599
Frangieh,3,A,1012,127,0,0.8870817852801443,0.9632111656063347,0.9275213996487983,0.8082217469382003
Frangieh,3,A+B,1012,127,0,0.885638960754876,0.940319440330425,0.9275213996487983,0.8082217469382003
