dataset_name,calibration_method,n,n_task_clusters,n_bootstrap,residual_partial_rho_point,residual_partial_rho_ci_low,residual_partial_rho_ci_high,aurc_improvement_magnitude_minus_combined_point,aurc_improvement_magnitude_minus_combined_ci_low,aurc_improvement_magnitude_minus_combined_ci_high
CuiHacohen2023,isotonic,1253,1253,1000,0.6002536719019343,0.554509009219221,0.6440538504734318,0.04531566468655507,0.03580569608150402,0.05486970704998706
CuiHacohen2023,natural_spline_df4,1253,1253,1000,0.6100615383899043,0.5610365671239039,0.6524148434682567,0.046587469162471945,0.03737886599832391,0.05700768987062667
Frangieh,isotonic,633,633,1000,0.2321731871370478,0.13173824423938463,0.3274851658079259,0.000823096369029587,0.0006295473996753969,0.0010186238647814938
Frangieh,natural_spline_df4,633,633,1000,0.3684803088115043,0.266177434324474,0.4712895251136915,0.0008870052335688272,0.0007042306582351106,0.0010622892776527859
LaraAstiasoHuntly2023_exvivo,isotonic,323,323,1000,0.6378195722811827,0.5556940364983232,0.7002788414410711,1.1322381421787604,0.7796377363541745,1.4684883091069605
LaraAstiasoHuntly2023_exvivo,natural_spline_df4,323,323,1000,0.6121875544434449,0.5160432417919137,0.6889682961060178,1.2272811886529333,0.8427652724702058,1.6070759663018463
LaraAstiasoHuntly2023_invivo,isotonic,375,375,1000,0.6146654346032584,0.51900462017183,0.6880028507098103,2.4332209922624504,1.4683410019747858,3.1925666216349535
LaraAstiasoHuntly2023_invivo,natural_spline_df4,375,375,1000,0.673888847851564,0.59020499331615,0.7486983424097426,2.000673425404304,0.7617320926907223,3.197389452556596
McFarlandTsherniak2020,isotonic,1163,1163,1000,0.22565658856480544,0.1726383537077405,0.28073943218125635,0.3074783000029637,0.2515596252879514,0.37449925854441585
McFarlandTsherniak2020,natural_spline_df4,1163,1163,1000,0.1288372030064803,0.07612297521770522,0.18018130659106313,0.20224740433050048,0.15082858120888307,0.2625202137291225
SantinhaPlatt2023,isotonic,273,273,1000,0.29066738369773504,0.17523843640291342,0.40880394637274164,0.08773000419142107,0.05757024504007016,0.116732209010446
SantinhaPlatt2023,natural_spline_df4,273,273,1000,0.19043808206569837,0.07506058247473164,0.30840032353978575,0.08418337669820858,0.059103955384530844,0.11171508739927703
SrivatsanTrapnell2020_sciplex3,isotonic,564,564,1000,0.15381787731339383,0.06450283744095697,0.24095848502522169,0.0027408686057636064,0.0018423046830183495,0.0036440749277655126
SrivatsanTrapnell2020_sciplex3,natural_spline_df4,564,564,1000,0.24292523862736687,0.14722292269857637,0.3382217633751707,0.002926464768145544,0.0020127700912160795,0.0038713074925801737
